date,open,high,low,close,volume
2023-12-26,481.25,482.9,474.0,478.05,239363
2023-12-27,480.4,497.4,480.05,485.15,847394
2023-12-28,486.0,486.0,476.6,479.55,210931
2023-12-29,482.9,483.4,465.1,478.9,755393
2024-01-01,484.25,507.75,480.0,482.55,1467656
2024-01-02,482.5,499.0,477.2,484.0,770736
2024-01-03,485.9,495.95,481.0,484.5,595384
2024-01-04,486.55,505.05,486.55,502.5,1593134
2024-01-05,505.8,522.0,503.55,517.95,1175340
2024-01-08,519.0,523.9,501.35,508.35,579935
2024-01-09,512.7,531.85,508.2,510.35,880428
2024-01-10,513.0,517.35,491.15,493.95,737535
2024-01-11,497.0,511.95,496.55,499.5,852700
2024-01-12,503.0,514.0,502.45,505.55,670552
2024-01-15,512.0,512.5,496.3,498.6,377490
2024-01-16,498.65,507.5,495.6,499.25,446813
2024-01-17,501.2,532.7,498.0,503.95,1983749
2024-01-18,503.65,526.0,503.0,518.55,1591118
2024-01-19,526.0,533.65,522.65,530.1,804092
2024-01-20,532.95,536.25,515.7,518.15,286867
2024-01-23,523.0,534.95,517.55,530.7,931754
2024-01-24,538.0,554.0,526.95,535.95,2250831
2024-01-25,539.0,551.3,537.45,546.6,820300
2024-01-29,551.55,553.2,530.1,537.1,611783
2024-01-30,539.0,542.45,530.35,535.65,401609
2024-01-31,538.8,550.0,489.05,515.15,3933427
2024-02-01,516.95,534.95,500.4,508.2,2028888
2024-02-02,513.8,519.0,503.75,509.7,1312955
2024-02-05,512.0,514.45,490.55,496.2,934186
2024-02-06,498.9,501.95,495.15,498.6,600077
2024-02-07,504.8,509.8,489.5,492.3,371024
2024-02-08,497.2,497.7,457.0,461.7,954298
2024-02-09,464.15,466.0,443.5,445.6,1210738
2024-02-12,445.75,467.6,440.0,445.75,1648048
2024-02-13,450.0,465.95,428.4,432.35,750223
2024-02-14,432.0,514.9,429.0,481.6,9760123
2024-02-15,476.5,482.0,465.1,466.9,1396475
2024-02-16,471.45,476.9,462.15,472.0,778106
2024-02-19,474.35,488.0,472.0,474.5,722077
2024-02-20,476.75,492.7,468.1,469.7,1495446
2024-02-21,472.25,480.0,467.6,471.45,837248
2024-02-22,473.6,474.2,466.6,471.0,522928
2024-02-23,473.9,474.6,467.5,469.7,578033
2024-02-26,472.4,478.65,468.3,475.65,397150
2024-02-27,477.0,482.0,463.5,467.05,504334
2024-02-28,468.45,484.8,465.0,468.95,1070640
2024-02-29,472.0,473.6,451.6,462.05,1104553
2024-03-01,455.35,459.95,437.05,452.45,2929783
2024-03-02,454.85,456.45,445.0,449.1,57394
2024-03-04,450.0,454.45,432.0,434.05,1291513
2024-03-05,436.5,447.5,426.7,434.75,1122732
2024-03-06,437.5,437.5,415.05,423.8,964369
2024-03-07,424.05,433.0,419.85,429.5,1222727
2024-03-11,429.95,435.95,414.0,432.6,1437636
2024-03-12,432.6,437.5,420.4,425.7,919452
2024-03-13,425.7,425.7,388.3,399.65,2125307
2024-03-14,390.4,430.75,390.4,424.7,1760139
2024-03-15,423.9,431.95,407.05,427.4,4811950
2024-03-18,427.4,429.45,413.1,415.85,508111
2024-03-19,413.4,418.95,401.0,404.85,397055
2024-03-20,408.85,423.75,403.8,419.65,580850
2024-03-21,425.85,427.05,414.2,418.6,555858
2024-03-22,418.6,426.0,415.7,424.25,216321
2024-03-26,419.25,431.3,415.0,427.75,349827
2024-03-27,431.05,449.0,425.55,446.3,870431
2024-03-28,450.0,455.75,433.3,439.95,669527
2024-04-01,448.5,449.35,440.1,443.95,207166
2024-04-02,447.8,466.0,444.05,448.65,779083
2024-04-03,448.65,449.7,441.9,443.25,308087
2024-04-04,446.85,448.55,432.0,435.7,437256
2024-04-05,435.35,447.0,435.35,444.35,266448
2024-04-08,447.0,455.0,439.3,444.65,332677
2024-04-09,447.0,450.0,439.45,442.8,257915
2024-04-10,445.0,445.8,436.05,439.15,158463
2024-04-12,439.15,441.3,421.2,435.0,1098832
2024-04-15,426.0,440.45,421.35,428.55,549523
2024-04-16,421.0,426.85,411.5,413.45,868011
2024-04-18,415.55,420.2,412.55,414.5,322614
2024-04-19,409.0,414.0,405.0,410.15,174855
2024-04-22,414.95,422.0,412.95,416.8,127890
2024-04-23,416.8,424.0,412.05,420.95,229489
2024-04-24,424.4,428.6,420.0,421.6,452162
2024-04-25,422.55,465.95,421.0,426.7,4219762
2024-04-26,429.5,429.9,417.55,420.45,546589
