date,open,high,low,close,volume
2023-12-26,335.8,345.0,335.8,343.3,2761293
2023-12-27,346.0,357.0,334.7,352.15,3992940
2023-12-28,355.0,362.0,343.0,345.45,2346425
2023-12-29,346.65,359.85,338.2,354.1,2482256
2024-01-01,355.15,364.9,351.05,362.3,2369504
2024-01-02,362.25,370.0,351.45,362.7,4853351
2024-01-03,363.05,366.6,355.6,359.6,1674304
2024-01-04,361.0,364.95,355.35,363.8,1562063
2024-01-05,370.0,379.75,350.1,357.75,5025301
2024-01-08,360.05,375.0,359.0,372.35,3287702
2024-01-09,376.35,386.7,374.85,382.3,3539948
2024-01-10,384.05,392.9,376.15,380.15,3090700
2024-01-11,382.2,393.0,380.75,390.7,2157983
2024-01-12,392.25,395.0,385.55,389.4,1777386
2024-01-15,391.8,391.8,378.0,384.75,2492467
2024-01-16,386.2,386.2,363.3,367.9,2463512
2024-01-17,365.3,375.9,357.3,362.15,2670645
2024-01-18,363.0,367.95,352.2,361.95,1550854
2024-01-19,365.15,370.25,362.55,364.6,1391457
2024-01-20,365.0,366.4,361.0,361.4,586923
2024-01-23,363.35,363.35,343.0,352.15,2550212
2024-01-24,353.15,365.0,351.25,361.5,2124510
2024-01-25,361.55,366.2,354.0,354.95,930473
2024-01-29,356.0,359.3,350.1,354.95,1462470
2024-01-30,361.35,370.25,358.2,367.4,2508283
2024-01-31,368.0,379.2,347.75,350.2,7522247
2024-02-01,358.5,360.0,321.95,334.05,6299102
2024-02-02,336.15,351.9,336.15,347.9,7042693
2024-02-05,348.95,349.55,336.3,339.85,2074851
2024-02-06,342.45,344.85,329.15,330.0,2308551
2024-02-07,331.7,342.4,329.25,337.25,6414327
2024-02-08,350.0,368.7,343.75,352.05,17258388
2024-02-09,357.15,362.0,345.0,357.95,5257247
2024-02-12,358.4,366.25,351.2,363.9,5777513
2024-02-13,366.0,369.8,354.1,366.5,2719522
2024-02-14,362.0,368.6,356.7,364.25,1901847
2024-02-15,362.5,409.7,362.5,391.65,6344879
2024-02-16,388.95,390.0,382.05,384.6,1641450
2024-02-19,384.45,388.4,372.1,374.15,1973586
2024-02-20,374.8,376.0,363.0,364.55,1869396
2024-02-21,364.55,388.0,364.55,376.25,3400773
2024-02-22,379.7,385.7,375.0,383.85,1697046
2024-02-23,384.0,387.8,380.0,384.65,1181055
2024-02-26,384.0,387.5,377.0,379.35,1061251
2024-02-27,376.25,383.1,366.25,370.5,918920
2024-02-28,371.0,390.0,368.1,378.5,2389486
2024-02-29,378.55,398.6,370.3,396.85,7149833
2024-03-01,398.6,409.7,385.7,399.45,4913833
2024-03-02,401.6,419.4,399.65,412.4,782453
2024-03-04,414.0,414.35,402.25,408.95,1706642
2024-03-05,410.0,413.0,398.3,403.25,1993796
2024-03-06,405.0,409.9,391.7,405.65,1650504
2024-03-07,409.25,412.4,405.05,409.45,1056298
2024-03-11,409.45,419.0,393.5,396.3,1842870
2024-03-12,397.1,401.95,377.05,381.5,1360992
2024-03-13,381.5,406.0,352.15,390.1,3899830
2024-03-14,385.0,391.65,375.6,385.8,1275548
2024-03-15,384.0,391.5,364.5,370.05,4403727
2024-03-18,371.0,397.0,370.0,373.1,1852436
2024-03-19,375.0,375.5,365.0,366.8,689243
2024-03-20,366.8,370.9,357.4,367.75,1290666
2024-03-21,375.0,380.0,370.95,378.25,901194
2024-03-22,383.75,387.85,378.25,385.2,870215
2024-03-26,390.0,409.95,384.3,400.85,3966704
2024-03-27,400.85,418.0,393.6,415.15,4455320
2024-03-28,420.75,439.0,416.3,427.8,4223254
2024-04-01,437.95,449.7,419.65,425.9,3144784
2024-04-02,429.95,438.7,422.15,428.6,2463011
2024-04-03,428.65,430.9,426.9,428.85,1850105
2024-04-04,434.25,434.75,422.8,430.95,1272984
2024-04-05,440.05,443.0,428.05,430.5,3841134
2024-04-08,436.05,439.0,431.0,433.45,1879085
2024-04-09,435.65,436.0,421.2,425.7,853868
2024-04-10,425.0,426.35,412.7,417.95,1303575
2024-04-12,415.85,430.9,414.0,427.75,2128444
2024-04-15,419.15,437.8,410.05,418.8,2401867
2024-04-16,418.0,427.9,410.6,413.25,2521585
2024-04-18,417.4,422.2,400.0,402.15,1500527
2024-04-19,402.3,411.95,396.8,408.55,1984552
2024-04-22,415.0,415.0,400.15,401.7,1372201
2024-04-23,405.0,418.65,402.7,414.65,1815454
2024-04-24,417.6,424.0,413.15,421.8,1655182
2024-04-25,421.75,422.0,414.65,417.8,983530
2024-04-26,418.0,421.8,415.5,419.4,1347012
2024-04-29,422.8,425.0,409.1,411.65,975696
2024-04-30,414.1,421.35,412.9,414.1,2271167
2024-05-02,414.85,418.4,408.3,411.8,982676
2024-05-03,414.8,415.8,403.5,406.1,1243796
2024-05-06,408.0,408.0,389.1,400.05,2556156
2024-05-07,401.0,401.0,378.9,388.5,1381721
2024-05-08,387.5,399.2,382.4,393.3,701015
2024-05-09,394.3,407.9,391.6,397.15,1530390
2024-05-10,402.05,420.0,388.65,410.55,1807755
2024-05-13,415.0,417.45,395.95,400.1,1560214
2024-05-14,400.0,403.5,393.3,397.3,1173903
2024-05-15,401.6,410.0,399.05,409.15,1400855
2024-05-16,412.0,417.0,405.1,411.1,1006356
2024-05-17,412.95,416.5,411.25,414.9,899177
2024-05-18,415.0,416.65,410.15,413.2,145654
2024-05-21,413.2,415.5,399.0,401.5,1419658
2024-05-22,401.5,406.25,397.7,399.8,777505
2024-05-23,400.0,405.0,399.1,403.0,1097655
2024-05-24,404.0,405.7,400.1,401.95,454189
2024-05-27,400.0,409.4,395.2,406.45,1433957
2024-05-28,406.45,409.95,396.1,402.45,1093554
2024-05-29,402.45,404.4,392.0,394.8,787171
2024-05-30,396.0,400.0,384.0,384.85,816008
2024-05-31,384.85,398.0,377.05,388.45,2500856
2024-06-03,394.0,403.0,388.0,390.95,1233765
2024-06-04,394.0,399.0,336.05,378.65,1884318
2024-06-05,386.0,420.0,372.35,402.55,3824865
2024-06-06,402.95,409.55,398.0,399.65,1618400
2024-06-07,401.0,410.25,400.0,407.85,2765843
2024-06-10,410.0,416.0,406.0,409.25,1808548
2024-06-11,409.5,412.45,405.0,408.95,724141
2024-06-12,410.9,413.55,403.1,404.2,1232741
2024-06-13,406.0,408.5,398.0,398.4,1364525
2024-06-14,398.4,404.9,398.4,400.5,1260917
2024-06-18,400.75,430.25,398.85,424.0,4970051
2024-06-19,428.85,447.0,420.0,423.55,5991651
2024-06-20,426.0,435.0,420.55,431.2,1872534
2024-06-21,437.0,464.95,431.0,453.0,16803770
2024-06-24,452.5,452.5,436.3,446.1,1996316
2024-06-25,447.4,453.25,435.0,438.15,1131725
2024-06-26,438.95,460.5,438.95,456.65,3875868
2024-06-27,459.0,480.0,454.05,476.3,4380406
2024-06-28,481.1,546.0,481.1,501.15,9439333
2024-07-01,504.25,505.7,483.0,497.5,4170640
2024-07-02,500.4,502.5,493.05,495.95,1250414
2024-07-03,493.15,497.85,485.45,488.9,1082260
2024-07-04,490.65,495.95,486.0,490.55,820820
2024-07-05,496.55,505.0,485.1,495.3,3717652
2024-07-08,497.75,501.9,490.0,496.2,1426120
2024-07-09,496.2,498.8,493.0,496.85,1619702
2024-07-10,500.0,518.0,497.0,503.9,3284158
2024-07-11,509.25,512.45,500.25,503.25,1094045
2024-07-12,503.2,509.0,498.1,505.25,1073604
2024-07-15,506.6,524.75,499.0,513.35,2154561
2024-07-16,517.4,533.0,515.1,527.55,2814459
2024-07-18,527.4,527.4,512.5,519.45,1077417
2024-07-19,515.0,536.0,514.5,528.95,2017760
2024-07-22,531.4,540.95,525.1,529.3,1672590
2024-07-23,529.0,561.65,497.55,552.75,7427646
2024-07-24,555.5,633.6,555.45,587.25,11701050
2024-07-25,590.0,612.5,563.0,573.7,5340282
2024-07-26,578.9,578.9,565.1,567.8,1232940
2024-07-29,571.95,582.0,555.35,572.65,2281355
2024-07-30,572.95,580.0,563.0,572.8,1643832
2024-07-31,573.5,582.95,565.3,579.4,1474850
2024-08-01,584.7,593.0,560.0,564.7,2000667
2024-08-02,569.0,582.65,551.0,559.75,2733406
2024-08-05,535.0,552.15,515.95,544.6,4660448
2024-08-06,550.0,556.95,533.1,540.6,1838943
2024-08-07,549.0,549.95,529.05,540.4,1603455
2024-08-08,539.75,540.0,532.0,536.55,935337
2024-08-09,537.0,541.0,530.05,538.8,1224809
2024-08-12,534.0,555.8,528.7,551.85,1301803
2024-08-13,556.8,572.0,546.25,558.15,1572865
2024-08-14,563.25,570.1,550.0,568.6,981048
2024-08-16,570.5,578.0,562.0,572.95,1100664
2024-08-19,577.95,584.0,543.4,549.55,4745870
2024-08-20,555.0,558.0,530.65,541.9,3850252
2024-08-21,543.0,557.0,532.45,544.45,19835421
2024-08-22,572.0,605.0,571.65,596.4,37054765
2024-08-23,605.0,618.7,582.25,588.9,13074002
2024-08-26,589.0,624.95,580.4,616.75,14952921
2024-08-27,619.0,624.0,605.2,614.85,4312858
2024-08-28,613.9,616.0,599.0,611.2,3634480
2024-08-29,610.0,619.8,606.6,610.6,3453436
2024-08-30,612.9,624.5,609.0,615.2,4242992
2024-09-02,617.45,645.0,616.0,639.85,11013380
2024-09-03,639.05,654.0,631.05,650.85,7622641
2024-09-04,646.0,658.75,630.25,654.2,7164996
2024-09-05,655.0,662.75,642.0,647.95,5581923
2024-09-06,649.0,655.0,633.0,648.2,4108813
2024-09-09,649.0,654.5,637.75,642.6,3672960
2024-09-10,645.75,652.0,637.0,640.2,2475182
2024-09-11,643.0,669.5,636.5,656.8,7816468
2024-09-12,664.25,694.7,660.55,689.3,11117000
2024-09-13,697.9,749.0,694.05,716.05,32170819
2024-09-16,723.2,725.6,675.9,699.95,15769280
2024-09-17,703.1,719.0,694.75,712.85,8598067
2024-09-18,716.0,719.0,692.2,697.4,5517474
2024-09-19,699.4,711.15,684.35,708.25,5859129
2024-09-20,709.9,734.0,702.1,730.5,6892361
2024-09-23,733.4,786.25,733.0,768.65,24917201
2024-09-24,772.0,779.0,755.45,772.0,11461515
2024-09-25,775.7,785.1,754.05,758.2,7681483
2024-09-26,763.0,763.4,711.0,716.7,11069317
2024-09-27,720.95,729.8,704.0,706.7,10943231
2024-09-30,709.75,733.05,705.7,730.25,11688363
2024-10-01,731.1,757.9,724.75,750.15,9072279
2024-10-03,725.0,752.5,721.0,730.55,8786672
2024-10-04,735.0,742.65,708.3,712.95,7585125
2024-10-07,727.0,729.3,673.4,702.2,11725010
2024-10-08,704.2,718.75,685.05,709.95,9040443
2024-10-09,713.9,727.4,703.15,721.55,5926533
2024-10-10,726.0,735.4,715.55,718.8,4158843
2024-10-11,722.3,726.7,712.0,720.3,3731104
2024-10-14,722.0,754.9,718.4,750.8,9422733
2024-10-15,758.0,773.0,741.55,751.0,10212032
2024-10-16,751.0,756.6,737.0,751.4,5034401
2024-10-17,749.05,751.4,721.0,728.05,6400169
2024-10-18,726.0,738.9,708.0,718.95,7456179
2024-10-21,724.9,728.05,700.0,704.05,5844773
2024-10-22,707.35,714.05,668.7,675.9,6306617
2024-10-23,674.8,706.95,658.85,694.65,7648461
2024-10-24,694.9,713.0,690.15,696.1,4518689
2024-10-25,697.0,701.5,665.25,671.7,4954602
2024-10-28,672.3,680.0,662.05,669.05,3340348
2024-10-29,673.55,677.0,650.6,673.15,5632005
2024-10-30,673.15,683.95,663.2,674.25,3631337
2024-10-31,674.0,679.7,652.55,657.15,3772763
2024-11-01,670.0,675.0,665.8,670.8,1003182
2024-11-04,664.1,665.95,652.0,659.5,3492119
2024-11-05,658.8,669.0,632.4,652.3,10046234
2024-11-06,649.0,706.0,648.0,700.0,10523346
2024-11-07,704.0,718.3,692.75,706.05,9310382
2024-11-08,707.85,707.9,690.7,694.1,4230373
2024-11-11,692.05,710.95,685.35,700.2,4262338
2024-11-12,705.0,719.45,695.6,704.3,4319306
2024-11-13,703.95,709.55,665.0,670.45,6086731
2024-11-14,664.95,694.5,642.65,653.9,9828648
2024-11-18,656.0,675.4,654.1,668.25,6958109
2024-11-19,674.0,707.0,670.35,701.35,7435686
2024-11-21,707.75,720.0,696.7,711.75,7498145
2024-11-22,714.0,714.25,683.8,706.45,5902907
2024-11-25,722.85,736.8,681.8,699.4,52990269
2024-11-26,694.8,708.95,691.1,693.35,4388024
2024-11-27,697.0,706.0,685.35,697.65,2897301
2024-11-28,702.3,712.0,692.0,707.65,3683966
2024-11-29,707.65,728.0,705.6,724.45,4281944
2024-12-02,722.5,741.55,715.75,722.1,4677259
2024-12-03,725.0,731.7,720.55,726.85,2741760
2024-12-04,730.6,731.6,701.0,722.75,6581665
2024-12-05,723.0,724.7,711.35,720.65,2571259
2024-12-06,720.65,750.0,716.95,730.5,7793780
2024-12-09,731.85,778.7,731.85,775.45,12146633
2024-12-10,778.0,781.3,745.05,758.9,8400100
2024-12-11,761.0,767.0,753.05,762.95,3352324
2024-12-12,762.0,784.45,751.85,760.1,6556832
2024-12-13,760.0,763.0,737.4,747.1,3505764
2024-12-16,750.45,765.35,748.35,763.25,2591969
2024-12-17,764.0,768.85,753.1,756.35,2620852
2024-12-18,758.95,762.5,734.0,754.2,3734611
2024-12-19,739.2,748.5,736.0,742.45,1943250
2024-12-20,744.5,747.85,715.35,719.2,3319528
2024-12-23,727.7,738.9,714.55,723.95,2639988
2024-12-24,723.95,728.65,712.25,720.0,1527876
2024-12-26,725.0,735.9,717.3,726.45,2236160
2024-12-27,725.05,734.8,719.5,721.65,1437302
2024-12-30,723.75,753.15,715.0,744.4,8766154
2024-12-31,741.0,774.0,726.0,766.25,5013928
2025-01-01,760.0,780.0,754.1,775.85,3494514
2025-01-02,778.1,795.4,767.3,787.9,5574250
