date,open,high,low,close,volume
2023-12-26,121.7,122.15,119.75,120.45,3138284
2023-12-27,121.1,121.45,117.5,118.3,4175173
2023-12-28,118.45,120.3,117.95,119.6,2734817
2023-12-29,120.55,122.0,119.55,119.85,3679246
2024-01-01,119.9,120.75,118.5,118.7,1627367
2024-01-02,121.25,133.7,121.0,129.85,80174681
2024-01-03,132.0,135.8,127.5,128.9,21584469
2024-01-04,130.0,132.5,129.0,129.6,10193376
2024-01-05,130.55,131.9,128.4,129.35,4645556
2024-01-08,129.5,130.6,126.25,127.3,3593865
2024-01-09,129.8,132.0,129.0,130.05,8736211
2024-01-10,130.45,135.0,129.5,133.95,14712335
2024-01-11,134.9,135.9,130.1,133.95,6771821
2024-01-12,133.95,135.0,132.35,133.8,3860515
2024-01-15,134.5,138.5,132.65,136.9,9584092
2024-01-16,136.8,137.65,133.0,134.65,3722022
2024-01-17,133.0,137.25,132.4,133.85,3340330
2024-01-18,133.0,135.0,128.25,134.05,3805381
2024-01-19,134.7,135.6,133.5,134.5,2412669
2024-01-20,134.95,135.9,133.8,134.15,1451759
2024-01-23,135.0,144.65,134.45,138.4,25901478
2024-01-24,140.0,141.5,137.6,138.45,8852006
2024-01-25,138.95,143.5,135.4,138.5,8465747
2024-01-29,139.5,141.3,139.15,139.85,6173238
2024-01-30,140.7,140.7,137.4,138.95,3955761
2024-01-31,138.9,143.5,137.5,139.85,6527384
2024-02-01,141.15,141.7,138.0,138.8,6043234
2024-02-02,140.95,144.8,139.4,142.05,12625777
2024-02-05,143.15,146.45,138.6,139.85,9717495
2024-02-06,140.85,145.0,140.8,142.95,6098828
2024-02-07,140.95,142.0,133.8,135.15,9738568
2024-02-08,137.2,139.65,136.35,138.3,3672067
2024-02-09,139.0,139.55,133.5,136.3,3302720
2024-02-12,136.2,136.25,131.6,132.0,3082819
2024-02-13,132.0,133.3,126.65,128.8,3309306
2024-02-14,127.75,136.95,126.35,135.6,3129366
2024-02-15,136.15,138.7,136.0,137.75,2372599
2024-02-16,138.0,139.8,134.65,136.2,1205593
2024-02-19,136.2,137.7,135.75,136.8,1074092
2024-02-20,136.8,142.25,136.25,138.5,4958623
2024-02-21,139.85,144.6,134.1,137.45,8167463
2024-02-22,138.65,140.2,135.25,138.15,2751831
2024-02-23,139.2,147.25,139.0,141.7,11406917
2024-02-26,141.75,142.85,139.9,141.1,2531650
2024-02-27,142.3,144.25,141.0,141.7,3670433
2024-02-28,141.75,142.6,138.75,139.7,4088087
2024-02-29,139.7,141.2,137.6,139.4,4025652
2024-03-01,140.25,143.4,140.1,141.15,3727617
2024-03-02,141.85,142.5,141.0,141.35,322780
2024-03-04,141.5,146.35,140.5,143.25,7263112
2024-03-05,143.3,145.35,140.8,141.85,3022364
2024-03-06,141.75,141.8,136.85,139.25,4590149
2024-03-07,139.55,140.5,137.25,139.45,1558290
2024-03-11,138.05,139.4,133.1,135.35,1968011
2024-03-12,135.7,138.5,132.85,137.55,3137495
2024-03-13,138.75,140.2,122.2,125.0,6138297
2024-03-14,125.0,132.0,122.15,127.4,7309854
2024-03-15,128.4,130.9,124.6,129.05,4559910
2024-03-18,129.55,132.65,128.5,129.75,2183741
2024-03-19,132.0,132.4,128.8,129.75,2455962
2024-03-20,129.9,130.75,126.15,127.8,1878326
2024-03-21,129.6,134.75,129.3,133.65,3191276
2024-03-22,134.5,135.65,132.05,132.6,2103033
2024-03-26,132.7,134.1,130.35,132.4,2733775
2024-03-27,132.95,135.7,131.7,132.5,4537377
2024-03-28,132.95,135.3,130.1,130.55,4626109
2024-04-01,131.2,139.0,131.2,137.55,4686301
2024-04-02,136.45,139.5,135.75,138.35,3099392
2024-04-03,138.0,143.35,137.15,142.85,6552938
2024-04-04,143.85,144.2,140.4,142.15,3315946
2024-04-05,142.15,144.4,140.95,141.5,3547793
2024-04-08,142.05,143.85,140.35,140.75,3414420
2024-04-09,141.15,142.15,137.0,137.7,4101513
2024-04-10,139.9,141.75,139.1,140.65,2445934
2024-04-12,140.8,140.8,138.3,139.5,2353789
2024-04-15,135.5,140.0,133.9,138.1,2836150
2024-04-16,136.95,138.75,135.55,137.3,1928543
2024-04-18,138.05,138.85,134.0,134.35,4895136
2024-04-19,133.2,136.05,132.25,134.8,2246345
2024-04-22,136.4,136.6,134.5,134.75,1510712
2024-04-23,136.25,136.35,134.7,135.0,1397957
2024-04-24,136.0,138.5,135.15,136.75,2723709
2024-04-25,136.0,139.95,134.5,138.2,4818346
2024-04-26,138.8,144.9,138.5,144.5,15515000
2024-04-29,146.5,150.95,145.7,149.55,18625383
2024-04-30,150.75,154.5,148.7,152.8,12433233
2024-05-02,152.8,158.0,150.45,155.95,10656478
