date,open,high,low,close,volume
2023-12-26,795.0,798.6,780.0,781.3,1907597
2023-12-27,785.0,825.95,784.05,821.4,10656808
2023-12-28,822.0,836.75,806.6,826.9,7403621
2023-12-29,827.55,843.9,822.6,832.5,4195993
2024-01-01,831.5,864.0,831.0,858.75,6424762
2024-01-02,853.8,856.9,836.0,837.7,3672560
2024-01-03,837.7,853.3,836.1,838.75,3684845
2024-01-04,837.0,845.9,833.0,835.25,2024609
2024-01-05,836.6,860.95,836.6,844.4,4193233
2024-01-08,845.0,848.9,819.3,823.85,2265484
2024-01-09,829.1,837.85,828.5,832.45,1408365
2024-01-10,835.0,850.95,835.0,838.6,2639631
2024-01-11,841.0,850.0,831.0,834.0,1576154
2024-01-12,830.0,838.0,827.0,829.3,1800261
2024-01-15,847.0,862.4,841.95,854.8,4450802
2024-01-16,856.0,900.0,850.0,892.55,12525303
2024-01-17,882.0,918.45,874.0,887.5,9015612
2024-01-18,890.0,907.0,867.05,901.2,4546830
2024-01-19,909.0,915.0,898.0,901.9,3328849
2024-01-20,908.0,948.45,906.2,936.85,7489946
2024-01-23,943.95,950.05,869.2,875.25,5296256
2024-01-24,878.2,924.0,866.0,907.2,3503761
2024-01-25,915.0,923.9,899.1,903.5,2629355
2024-01-29,910.0,931.9,903.6,915.6,3792964
2024-01-30,922.5,955.0,917.55,932.9,9707445
2024-01-31,938.15,971.9,936.75,949.75,7726332
2024-02-01,956.9,964.0,926.0,937.0,3463799
2024-02-02,942.85,955.15,937.0,945.45,4534536
2024-02-05,956.5,1028.0,955.0,998.85,17219410
2024-02-06,1014.05,1033.0,990.25,1025.85,7368232
2024-02-07,1031.05,1050.0,1014.1,1044.45,7354236
2024-02-08,1073.9,1145.0,1071.0,1105.25,22872046
2024-02-09,1152.0,1175.0,1067.0,1080.85,21551992
2024-02-12,1112.05,1125.0,1010.1,1022.45,11741691
2024-02-13,1029.75,1043.3,979.95,1011.45,8474155
2024-02-14,1000.0,1078.5,990.0,1070.5,9358003
2024-02-15,1082.0,1086.9,1049.05,1056.1,5013229
2024-02-16,1062.0,1067.55,1030.1,1039.85,5404201
2024-02-19,1080.0,1092.0,1050.0,1052.2,6832181
