date,open,high,low,close,volume
2023-12-26,210.0,216.0,200.4,203.45,3503672
2023-12-27,205.0,206.1,200.5,201.35,836589
2023-12-28,203.0,203.9,198.9,200.1,750507
2023-12-29,199.85,204.75,198.75,203.2,661709
2024-01-01,204.0,204.9,201.55,203.25,627392
2024-01-02,204.05,204.6,200.2,202.55,637201
2024-01-03,202.9,202.9,200.8,201.35,420015
2024-01-04,201.35,204.3,201.35,201.9,612474
2024-01-05,202.45,205.25,200.95,202.05,716677
2024-01-08,202.4,204.0,200.5,201.3,608048
2024-01-09,202.6,204.4,198.55,199.3,740961
2024-01-10,201.0,206.6,199.8,202.95,1309114
2024-01-11,203.0,209.9,202.55,208.85,1659687
2024-01-12,210.85,211.5,207.0,208.45,1194219
2024-01-15,210.15,211.0,203.2,203.65,904882
2024-01-16,204.0,208.4,201.9,203.35,729567
2024-01-17,203.0,204.3,198.75,200.3,765823
2024-01-18,200.4,202.0,196.5,199.9,477985
2024-01-19,201.1,203.35,199.0,200.8,370834
2024-01-20,202.35,203.0,197.8,199.4,592754
2024-01-23,198.05,202.4,190.0,191.7,933303
2024-01-24,193.2,206.6,190.0,204.45,1560210
2024-01-25,210.0,210.6,195.0,196.1,3501285
2024-01-29,200.0,203.15,196.25,199.4,1287023
2024-01-30,201.0,201.2,195.0,196.6,911003
2024-01-31,198.45,201.2,195.55,197.0,947470
2024-02-01,198.0,201.0,197.35,199.2,853540
2024-02-02,199.45,200.95,194.85,195.6,861247
2024-02-05,198.35,198.35,176.9,183.65,1470930
2024-02-06,187.0,188.4,177.5,181.7,1762024
2024-02-07,184.45,197.65,183.9,195.9,2259613
2024-02-08,197.0,197.25,191.75,193.9,870372
2024-02-09,194.7,194.9,185.5,189.35,578946
2024-02-12,189.35,190.9,180.5,181.4,716522
2024-02-13,182.45,183.55,175.35,179.45,773306
2024-02-14,177.95,183.55,177.0,182.55,552109
2024-02-15,182.6,184.8,180.3,181.1,820179
2024-02-16,182.6,190.8,182.0,189.4,1339100
2024-02-19,191.0,195.6,189.95,193.7,881185
2024-02-20,194.65,196.9,191.65,193.45,552995
2024-02-21,194.9,194.9,186.0,186.85,772449
2024-02-22,188.0,188.7,183.0,186.15,559186
2024-02-23,186.3,188.05,184.25,185.15,483670
2024-02-26,185.2,186.4,180.25,180.85,763182
2024-02-27,181.0,184.4,179.35,181.35,731064
2024-02-28,181.5,183.35,175.95,177.25,667328
2024-02-29,177.5,182.0,176.3,179.65,479053
2024-03-01,179.65,182.8,175.2,175.85,829045
2024-03-02,177.75,181.0,177.3,178.75,110674
2024-03-04,180.0,180.65,177.0,177.45,377019
2024-03-05,178.45,181.85,175.3,179.15,783048
2024-03-06,178.5,179.0,172.3,175.25,585969
2024-03-07,176.25,177.3,174.5,175.35,307269
2024-03-11,177.3,177.9,169.55,170.3,375024
2024-03-12,171.4,178.95,169.4,176.6,1668269
2024-03-13,177.5,177.5,160.75,162.6,1614041
2024-03-14,161.9,174.9,160.15,172.3,1240792
2024-03-15,172.05,175.4,167.1,169.45,1018267
2024-03-18,169.9,173.85,169.15,170.35,552689
2024-03-19,169.9,169.9,160.0,162.75,4913029
2024-03-20,177.5,181.8,170.25,179.75,14550849
2024-03-21,181.5,191.65,178.0,189.95,5974441
2024-03-22,189.55,196.7,186.0,194.4,3876764
2024-03-26,195.9,195.9,187.45,189.15,1603160
2024-03-27,190.0,190.5,184.45,187.4,1343748
2024-03-28,188.5,192.3,182.55,187.65,1507557
2024-04-01,189.5,201.7,188.25,200.0,3102196
2024-04-02,201.55,203.1,198.6,200.6,1540243
2024-04-03,199.4,207.35,198.65,206.35,1646747
2024-04-04,207.35,208.65,205.95,208.1,1090629
2024-04-05,206.55,208.2,204.75,206.15,774066
2024-04-08,207.0,210.9,205.3,209.9,1087666
2024-04-09,211.55,214.75,207.6,213.5,1624812
2024-04-10,214.0,217.5,211.1,216.05,1169269
2024-04-12,215.5,215.5,205.3,206.95,1435086
2024-04-15,203.05,204.8,186.1,202.1,2245350
2024-04-16,200.85,205.7,199.55,203.05,771550
2024-04-18,203.35,206.1,202.55,204.1,718256
2024-04-19,200.0,204.1,197.55,203.0,1462204
2024-04-22,204.7,210.95,204.7,209.6,1176500
2024-04-23,210.45,221.1,209.25,215.2,2426456
2024-04-24,216.15,218.0,214.4,215.65,901862
2024-04-25,215.65,216.0,211.85,213.45,584277
2024-04-26,213.45,215.0,211.85,214.5,522389
2024-04-29,214.2,216.2,213.2,214.5,439358
2024-04-30,215.6,219.55,214.0,215.75,970662
2024-05-02,216.9,216.95,212.35,216.4,668429
2024-05-03,219.0,226.5,217.05,223.8,2087691
2024-05-06,225.85,226.45,213.5,222.2,983449
2024-05-07,222.55,223.0,210.6,214.05,718017
2024-05-08,213.9,221.6,211.7,219.5,902821
2024-05-09,218.3,220.0,213.4,215.3,788535
2024-05-10,216.9,216.9,208.6,214.5,497448
2024-05-13,215.2,216.0,207.3,212.35,513845
2024-05-14,212.0,223.8,212.0,222.3,1238913
2024-05-15,223.05,223.35,219.4,221.0,542868
2024-05-16,223.05,233.5,223.05,228.6,2143954
2024-05-17,229.2,233.9,224.2,226.9,2308982
2024-05-18,226.95,229.9,220.5,223.65,356599
2024-05-21,224.85,224.95,211.5,212.55,1698932
2024-05-22,212.55,215.8,206.2,212.95,1375049
2024-05-23,212.25,213.75,209.55,211.1,462557
2024-05-24,211.0,211.0,203.55,205.2,1000932
2024-05-27,208.2,208.5,202.8,206.65,670706
2024-05-28,206.55,209.4,205.0,207.55,439218
2024-05-29,209.65,210.3,206.5,208.55,637062
2024-05-30,207.85,208.05,198.9,201.55,1107383
2024-05-31,202.05,209.35,201.55,205.45,1365248
2024-06-03,214.7,216.45,208.15,209.75,1227323
2024-06-04,208.5,212.0,186.3,199.95,1675739
2024-06-05,202.0,214.5,197.85,212.85,1640962
2024-06-06,214.55,221.85,213.0,219.55,1183304
2024-06-07,220.05,247.9,220.0,244.65,6776254
2024-06-10,247.1,260.79,246.16,248.57,2992684
2024-06-11,248.55,251.85,243.01,247.24,1596249
2024-06-12,249.0,254.0,245.7,246.4,1032516
2024-06-13,246.75,259.0,241.95,256.9,1960493
2024-06-14,258.51,266.99,254.59,263.94,2372594
2024-06-18,264.95,267.95,254.51,259.75,1211743
2024-06-19,261.0,262.14,252.27,260.26,911327
2024-06-20,260.28,271.4,259.54,269.72,1144384
2024-06-21,269.0,271.45,265.32,269.4,1017084
2024-06-24,274.8,275.0,265.83,268.64,712255
2024-06-25,268.64,272.0,262.1,263.43,611566
2024-06-26,261.2,264.13,255.15,257.57,928434
2024-06-27,257.5,264.0,254.35,256.11,578017
2024-06-28,256.34,260.5,255.21,256.24,631044
2024-07-01,259.45,265.95,256.25,262.2,744169
2024-07-02,263.45,266.85,259.1,263.4,758166
2024-07-03,263.25,264.7,253.75,255.0,890687
2024-07-04,257.75,257.75,252.05,252.75,518920
2024-07-05,252.0,260.0,244.85,259.4,1895692
2024-07-08,261.2,265.4,257.0,258.6,909828
2024-07-09,296.0,296.0,270.5,274.1,10847807
2024-07-10,274.95,280.5,270.05,274.45,2843479
2024-07-11,272.45,282.55,270.3,280.5,1228836
2024-07-12,295.0,297.5,285.0,286.65,4624456
2024-07-15,287.85,295.0,283.95,292.5,1882594
2024-07-16,293.05,295.25,288.6,292.35,884259
2024-07-18,292.35,298.0,290.3,292.3,1917010
2024-07-19,291.05,293.4,281.45,285.15,1100887
2024-07-22,281.5,287.45,280.1,285.25,508850
2024-07-23,287.55,301.25,264.55,295.3,1545648
2024-07-24,292.1,296.5,290.0,290.85,492523
2024-07-25,290.0,295.5,283.9,290.05,1616975
2024-07-26,294.5,295.0,285.35,287.8,533830
2024-07-29,289.1,291.5,284.3,286.05,518170
2024-07-30,286.05,299.0,285.25,292.5,1514860
2024-07-31,294.45,295.0,289.0,292.9,581150
2024-08-01,293.7,312.5,289.0,306.95,3436418
2024-08-02,304.0,315.6,302.0,307.85,1941722
2024-08-05,302.1,305.0,290.35,295.35,1555091
2024-08-06,295.0,300.8,293.35,297.45,800711
2024-08-07,300.5,311.8,294.95,303.65,1449675
2024-08-08,304.0,317.4,303.75,307.4,1362259
2024-08-09,313.0,313.5,305.2,308.6,634600
2024-08-12,306.9,311.7,303.0,305.65,537489
2024-08-13,307.25,313.65,301.25,304.0,600708
2024-08-14,304.0,314.65,301.45,313.1,967807
2024-08-16,315.65,332.5,315.0,330.45,2260791
2024-08-19,330.7,342.0,325.8,339.1,1319862
2024-08-20,339.85,341.95,333.0,340.35,902281
2024-08-21,339.0,354.6,338.35,353.5,1254112
2024-08-22,354.05,359.6,344.0,345.8,971908
2024-08-23,347.9,364.0,345.8,362.75,2538273
2024-08-26,362.75,376.75,361.25,371.2,1565305
2024-08-27,371.2,375.95,370.05,375.1,903127
2024-08-28,373.55,379.9,370.3,371.8,530548
2024-08-29,371.6,376.4,366.1,369.85,681903
2024-08-30,370.0,379.95,368.0,379.4,1587107
2024-09-02,382.8,389.95,379.55,384.85,1152835
2024-09-03,385.05,410.0,384.1,404.7,2654474
2024-09-04,405.0,407.65,392.15,397.7,1488568
