date,open,high,low,close,volume
2023-12-26,6240.0,6288.25,6206.1,6259.7,271488
2023-12-27,6278.0,6356.0,6255.0,6287.2,357171
2023-12-28,6301.85,6325.0,6233.35,6253.15,335511
2023-12-29,6260.35,6306.0,6200.25,6294.95,245328
2024-01-01,6308.8,6318.75,6240.0,6261.9,166927
2024-01-02,6230.0,6284.0,6123.45,6144.0,475149
2024-01-03,6110.0,6113.25,5955.0,5961.05,421251
2024-01-04,5963.0,6020.0,5851.7,5866.4,618173
2024-01-05,5945.0,6010.0,5902.0,5947.65,429330
2024-01-08,5988.0,5988.0,5835.05,5845.6,193870
2024-01-09,5915.0,5957.9,5875.0,5909.4,351316
2024-01-10,5915.0,5957.5,5885.0,5947.5,259576
2024-01-11,5978.35,5998.9,5913.05,5959.95,232299
2024-01-12,6025.6,6245.0,6015.0,6237.05,899942
2024-01-15,6343.95,6442.0,6250.5,6315.15,653754
2024-01-16,6290.0,6299.95,6193.9,6235.9,255823
2024-01-17,6195.0,6324.0,6150.0,6275.6,472635
2024-01-18,5700.0,5790.0,5411.75,5603.0,2798324
2024-01-19,5689.0,5697.2,5582.0,5652.15,974885
2024-01-20,5708.0,5710.0,5625.0,5656.75,222222
2024-01-23,5630.0,5724.0,5580.0,5638.5,754748
2024-01-24,5650.35,5718.9,5598.05,5619.55,729576
2024-01-25,5650.0,5650.0,5457.3,5494.65,911916
2024-01-29,5497.0,5514.1,5400.0,5448.35,772171
2024-01-30,5495.0,5524.7,5345.05,5352.8,830778
2024-01-31,5351.0,5466.45,5310.3,5448.55,536486
2024-02-01,5430.0,5434.0,5342.0,5364.65,495519
2024-02-02,5375.05,5541.0,5375.05,5485.85,593677
2024-02-05,5540.0,5540.0,5425.65,5438.45,301000
2024-02-06,5430.5,5506.85,5391.35,5470.3,836565
2024-02-07,5500.0,5518.95,5439.0,5447.9,354265
2024-02-08,5455.95,5490.0,5401.1,5420.8,380430
2024-02-09,5470.0,5470.0,5362.0,5453.3,196922
2024-02-12,5469.95,5548.0,5464.55,5516.5,421078
2024-02-13,5515.95,5575.0,5469.2,5557.15,256808
2024-02-14,5479.95,5517.0,5404.65,5505.15,332342
2024-02-15,5575.55,5590.0,5511.05,5522.3,226420
2024-02-16,5567.0,5594.95,5495.35,5580.4,319063
2024-02-19,5566.0,5589.0,5509.9,5514.05,156372
2024-02-20,5528.9,5590.0,5481.45,5504.35,413919
2024-02-21,5500.0,5516.1,5407.1,5420.1,567794
2024-02-22,5498.0,5506.3,5406.05,5486.75,536659
2024-02-23,5546.0,5555.15,5510.0,5542.65,310531
2024-02-26,5537.9,5537.9,5444.05,5466.15,227438
2024-02-27,5465.0,5508.1,5401.0,5442.7,321866
2024-02-28,5449.0,5466.0,5380.0,5409.95,263858
2024-02-29,5412.0,5429.95,5267.0,5300.85,513879
2024-03-01,5315.0,5348.45,5257.0,5273.55,565313
2024-03-02,5300.95,5314.8,5274.0,5294.9,19035
2024-03-04,5300.0,5319.85,5209.55,5216.85,456225
2024-03-05,5209.85,5219.45,5115.0,5131.55,549757
2024-03-06,5149.95,5179.35,5073.25,5164.2,608117
2024-03-07,5178.85,5201.95,5108.0,5122.7,461048
2024-03-11,5118.0,5133.0,5057.0,5123.0,343534
2024-03-12,5143.0,5219.25,5123.0,5209.2,493480
2024-03-13,5231.75,5275.2,5160.15,5195.0,617665
2024-03-14,5184.95,5272.15,5112.8,5264.2,414994
