date,open,high,low,close,volume
2023-12-26,262.2,264.85,261.1,264.3,3009729
2023-12-27,264.7,273.2,264.7,270.5,4077166
2023-12-28,271.55,275.05,264.95,266.95,7544550
2023-12-29,268.6,275.25,266.75,270.4,6291299
2024-01-01,271.35,272.9,267.85,268.9,2472769
2024-01-02,269.7,271.7,262.3,268.4,4986465
2024-01-03,267.7,274.4,265.7,269.35,7622772
2024-01-04,269.75,273.35,269.35,271.7,2474932
2024-01-05,273.4,277.5,269.45,270.75,6485221
2024-01-08,272.7,274.45,267.5,269.3,3205946
2024-01-09,271.15,272.3,266.3,267.7,2948829
2024-01-10,267.15,267.7,260.4,262.9,5820661
2024-01-11,265.45,273.35,264.9,271.35,7528366
2024-01-12,272.7,275.4,268.7,273.75,2417329
2024-01-15,275.7,278.2,273.0,275.75,2929292
2024-01-16,275.8,279.3,272.75,275.85,5910803
2024-01-17,273.25,276.2,269.25,273.05,7075990
2024-01-18,272.9,274.4,270.05,271.5,4262958
2024-01-19,272.0,277.65,270.45,276.05,2807099
2024-01-20,277.6,278.7,271.25,275.3,1112252
2024-01-23,276.7,277.0,262.65,264.25,6246737
2024-01-24,264.7,269.4,263.7,266.25,3748332
2024-01-25,265.8,269.6,260.55,263.85,3763855
2024-01-29,266.65,273.75,263.4,272.3,3430721
2024-01-30,272.8,279.3,269.8,273.25,5479349
2024-01-31,276.2,290.1,276.2,282.9,16951798
2024-02-01,283.7,285.95,276.15,278.25,4329276
2024-02-02,281.4,284.7,279.15,281.15,3335154
2024-02-05,282.7,283.65,278.4,280.4,2529158
2024-02-06,280.4,286.7,278.35,285.45,3175052
2024-02-07,287.1,296.6,286.25,290.5,8898139
2024-02-08,291.9,291.9,283.9,285.55,3171856
2024-02-09,286.3,287.0,275.8,282.55,3220669
2024-02-12,283.75,284.2,273.2,274.25,2548445
2024-02-13,275.7,280.7,269.5,280.25,2056479
2024-02-14,275.7,284.85,274.6,282.7,3189008
2024-02-15,282.7,287.25,279.5,280.15,1365450
2024-02-16,282.15,286.6,279.8,283.2,2174731
2024-02-19,282.65,287.1,281.0,282.35,2164944
2024-02-20,282.7,285.95,280.6,283.85,3231648
2024-02-21,286.6,290.7,281.2,282.7,3939673
2024-02-22,283.7,285.4,278.2,284.35,1165654
2024-02-23,285.6,288.1,282.3,286.65,2491263
2024-02-26,285.7,288.7,283.0,284.45,1713336
2024-02-27,284.2,286.65,280.45,282.7,2119466
2024-02-28,282.7,284.4,272.15,275.15,2069888
2024-02-29,276.15,278.15,272.35,277.1,2729826
