date,open,high,low,close,volume
2023-12-26,654.0,680.0,651.4,674.85,1132388
2023-12-27,678.0,683.05,668.65,677.9,712857
2023-12-28,680.85,688.8,679.25,684.8,556324
2023-12-29,684.8,689.9,673.5,686.25,461141
2024-01-01,689.0,694.65,684.25,688.45,222961
2024-01-02,688.45,694.0,672.55,677.85,637956
2024-01-03,678.25,692.85,669.45,690.9,823250
2024-01-04,696.9,745.95,692.05,737.75,2104329
2024-01-05,735.0,735.0,709.2,714.75,1790608
2024-01-08,719.0,719.95,697.55,704.45,1008539
2024-01-09,709.2,720.9,704.8,716.2,1622878
2024-01-10,718.0,741.3,715.1,734.2,1662467
2024-01-11,735.9,748.0,731.15,743.0,784676
2024-01-12,749.9,760.0,730.5,737.45,886563
2024-01-15,725.0,739.75,720.3,727.8,1528224
2024-01-16,732.0,738.0,709.85,718.2,1671115
2024-01-17,711.0,742.5,705.0,731.85,2519522
2024-01-18,719.1,724.85,699.5,704.9,6894521
2024-01-19,715.0,738.4,711.3,731.8,4643725
2024-01-20,739.0,758.0,733.7,748.9,396997
2024-01-23,757.0,804.65,750.45,776.05,4986823
2024-01-24,767.05,779.65,728.3,737.05,8408539
2024-01-25,738.0,752.25,715.1,732.5,2656478
2024-01-29,696.7,731.35,694.8,725.15,2966004
2024-01-30,730.0,755.6,723.95,736.4,2330223
2024-01-31,734.05,797.8,722.2,780.8,4981773
2024-02-01,780.0,812.5,772.25,803.1,3758898
2024-02-02,795.5,795.5,762.15,766.4,5599059
2024-02-05,779.0,794.3,776.0,789.55,1428938
2024-02-06,794.0,828.1,790.25,821.4,1817434
2024-02-07,830.0,844.95,799.6,832.35,1666580
2024-02-08,839.0,878.0,832.35,862.3,2225158
2024-02-09,871.2,883.9,860.0,874.4,7995614
2024-02-12,880.0,897.65,865.95,875.9,2532944
2024-02-13,880.0,910.0,872.1,899.1,2698960
2024-02-14,896.55,896.55,860.5,879.7,2925047
2024-02-15,880.95,880.95,858.65,864.1,1124585
2024-02-16,864.1,872.0,852.8,865.45,1395652
2024-02-19,875.0,875.0,839.0,842.75,1320301
2024-02-20,842.8,869.55,840.0,866.15,1054960
2024-02-21,865.95,869.95,840.45,854.05,1213900
2024-02-22,863.4,867.2,842.55,857.9,1174562
2024-02-23,856.0,859.0,843.95,851.9,2527769
2024-02-26,850.05,862.0,829.3,835.1,2707416
2024-02-27,840.0,861.9,824.0,849.9,3834883
2024-02-28,857.0,868.55,842.0,851.55,2578836
2024-02-29,851.9,856.35,773.3,793.35,12329497
2024-03-01,786.6,786.6,706.45,736.75,20868068
2024-03-02,737.0,773.55,737.0,770.35,389814
2024-03-04,769.0,769.0,727.15,747.4,10277103
2024-03-05,742.05,773.8,725.0,729.9,9897323
2024-03-06,734.5,764.75,727.5,759.5,4664547
2024-03-07,758.6,768.25,742.1,750.15,2207414
2024-03-11,781.0,787.65,752.25,765.6,4521321
2024-03-12,771.0,771.8,750.8,768.0,1566168
2024-03-13,770.0,773.0,735.0,744.45,2367867
2024-03-14,742.45,746.9,725.4,732.35,2699327
2024-03-15,732.0,738.95,721.3,726.95,2386791
2024-03-18,726.8,736.15,719.45,730.45,3704848
2024-03-19,730.0,738.8,720.9,734.85,1457609
2024-03-20,734.85,763.9,732.6,757.85,3098570
2024-03-21,773.0,773.0,741.0,748.8,3171469
2024-03-22,749.95,749.95,730.2,739.05,3277615
2024-03-26,745.0,783.0,737.5,775.35,4356667
2024-03-27,773.9,812.25,756.05,802.3,4521190
2024-03-28,824.95,827.0,797.3,819.9,2915768
2024-04-01,833.4,833.4,813.25,817.25,1288099
2024-04-02,832.95,832.95,803.55,821.55,1445651
2024-04-03,821.55,828.4,813.95,819.2,1159122
2024-04-04,822.8,829.85,814.5,822.55,920610
2024-04-05,819.1,827.95,801.0,804.9,1332077
2024-04-08,808.0,825.8,806.15,820.55,945713
2024-04-09,824.8,833.85,819.55,828.4,1047058
2024-04-10,833.95,868.0,829.0,864.35,1499624
2024-04-12,861.0,894.8,852.0,870.45,2913519
2024-04-15,855.0,861.0,830.0,833.35,1235862
2024-04-16,829.2,829.95,807.6,817.95,1607447
2024-04-18,823.65,827.5,770.0,778.1,2900471
2024-04-19,779.0,779.55,748.45,772.85,1911786
2024-04-22,770.0,778.95,752.55,758.05,2700907
2024-04-23,766.8,768.95,757.5,760.6,2056157
2024-04-24,772.0,816.7,760.6,811.0,3118514
2024-04-25,810.0,814.95,796.5,803.45,1069386
2024-04-26,803.45,814.35,799.9,803.2,804242
2024-04-29,763.05,845.95,762.35,838.1,4253996
2024-04-30,837.0,854.3,831.1,840.3,1493625
2024-05-02,832.5,834.0,810.55,814.9,1579718
2024-05-03,818.65,827.85,805.45,813.45,3294764
2024-05-06,820.0,835.85,812.0,831.35,787489
2024-05-07,826.0,831.35,800.0,805.2,912895
2024-05-08,805.55,812.85,793.0,804.1,1299505
2024-05-09,808.0,810.3,790.85,796.15,4796746
2024-05-10,792.0,814.0,782.25,811.4,674652
2024-05-13,805.0,811.95,783.05,800.55,4016172
