date,open,high,low,close,volume
2023-12-26,1064.0,1166.0,1062.5,1143.9,17585838
2023-12-27,1150.5,1191.5,1129.0,1171.2,9128648
2023-12-28,1177.05,1179.4,1138.3,1142.2,3967666
2023-12-29,1146.6,1167.75,1133.9,1140.45,3025558
2024-01-01,1143.85,1161.85,1139.15,1144.9,1740834
2024-01-02,1149.0,1150.1,1104.25,1123.5,1992720
2024-01-03,1127.0,1149.5,1108.0,1141.4,2267466
2024-01-04,1147.1,1175.6,1123.4,1128.2,3700140
2024-01-05,1133.6,1139.0,1120.0,1130.7,1456662
2024-01-08,1135.5,1136.0,1106.0,1109.8,1217184
2024-01-09,1119.55,1137.0,1111.3,1115.2,1232544
2024-01-10,1119.85,1162.5,1118.0,1149.8,5343742
2024-01-11,1155.0,1170.3,1142.7,1147.4,1917502
2024-01-12,1154.0,1157.4,1141.5,1146.2,817288
2024-01-15,1152.55,1189.15,1135.05,1173.7,4348402
2024-01-16,1173.7,1246.0,1140.55,1163.0,8391410
2024-01-17,1164.6,1210.0,1140.55,1194.55,4613194
2024-01-18,1197.4,1215.95,1140.55,1159.8,3177450
2024-01-19,1173.45,1185.25,1143.0,1156.0,1770430
2024-01-20,1164.65,1196.3,1159.1,1182.5,1811834
2024-01-23,1188.9,1193.9,1130.0,1138.6,2066298
2024-01-24,1140.0,1168.5,1092.5,1163.3,1961432
2024-01-25,1209.55,1238.85,1162.5,1171.75,6377812
2024-01-29,1180.3,1183.0,1152.8,1159.6,1275074
2024-01-30,1167.05,1169.05,1141.7,1143.2,1843682
2024-01-31,1149.5,1162.0,1140.8,1145.5,1341780
2024-02-01,1151.2,1151.2,1112.5,1117.3,1980112
2024-02-02,1121.0,1124.85,1100.2,1102.85,1739782
2024-02-05,1108.5,1108.7,1043.0,1048.9,2402606
2024-02-06,1049.5,1083.45,1047.5,1076.0,1405988
2024-02-07,1081.7,1088.9,1068.1,1077.5,725658
2024-02-08,1080.0,1106.0,1070.0,1092.6,1627038
2024-02-09,1097.0,1097.5,1052.0,1058.7,998408
2024-02-12,1064.05,1119.2,1011.25,1091.0,2661344
2024-02-13,1127.5,1130.0,1068.5,1073.6,4009126
2024-02-14,1064.5,1096.0,1050.5,1079.3,1591522
2024-02-15,1085.0,1099.0,1062.5,1068.2,1134688
2024-02-16,1070.0,1082.5,1040.7,1043.6,1820602
2024-02-19,1050.05,1097.9,1050.05,1082.7,1778346
2024-02-20,1080.0,1080.0,1060.0,1068.4,749694
2024-02-21,1069.5,1073.45,1032.5,1039.2,1031682
2024-02-22,1044.35,1047.8,1016.55,1029.65,1267030
2024-02-23,1033.7,1069.5,1030.5,1055.15,2027352
2024-02-26,1055.0,1055.0,1039.0,1045.8,875870
2024-02-27,1048.5,1063.5,1041.7,1046.3,663302
2024-02-28,1072.5,1115.0,1047.5,1056.95,9033540
2024-02-29,1057.2,1057.2,1029.3,1042.45,1637662
2024-03-01,1050.0,1060.5,1043.0,1049.6,923640
2024-03-02,1053.5,1055.3,1049.6,1052.2,129080
2024-03-04,1052.2,1071.9,1038.0,1052.3,1409098
2024-03-05,1052.95,1063.05,1042.55,1044.5,687134
2024-03-06,1042.0,1045.8,1019.0,1028.8,1032738
2024-03-07,1032.5,1053.75,1031.0,1042.8,648758
2024-03-11,1044.5,1046.3,1029.0,1032.9,666412
2024-03-12,1035.35,1036.1,1000.2,1009.1,884884
2024-03-13,1012.2,1018.4,922.5,929.5,2346372
2024-03-14,928.85,970.0,897.7,946.7,5031494
2024-03-15,947.35,974.95,928.7,958.6,3545466
2024-03-18,957.0,967.25,918.5,924.4,1921800
2024-03-19,922.5,942.5,910.55,933.9,1651730
2024-03-20,937.5,947.8,916.0,919.85,1123048
2024-03-21,925.5,954.5,925.15,939.2,1226578
2024-03-22,945.5,974.5,945.05,949.2,1998978
2024-03-26,949.5,954.5,934.5,940.7,1077612
2024-03-27,943.95,962.0,943.55,945.9,1293508
2024-03-28,949.0,957.4,927.5,932.05,1143542
2024-04-01,940.0,1019.5,940.0,1000.4,4456474
2024-04-02,1002.35,1016.0,985.95,997.8,2153536
2024-04-03,998.0,1122.5,995.6,1118.35,19289334
2024-04-04,1120.0,1128.3,1079.05,1097.6,4843888
2024-04-05,1092.5,1127.5,1086.35,1100.3,5261544
2024-04-08,1105.8,1145.0,1087.0,1126.45,6681142
2024-04-09,1128.5,1142.5,1100.5,1112.1,2522174
2024-04-10,1115.0,1123.85,1098.35,1103.4,1294588
