date,open,high,low,close,volume
2023-12-26,1724.0,1730.75,1690.1,1694.7,373419
2023-12-27,1709.0,1709.0,1650.55,1666.55,463789
2023-12-28,1672.15,1689.0,1655.05,1668.25,293642
2023-12-29,1668.0,1697.75,1660.0,1678.15,300867
2024-01-01,1684.5,1702.9,1670.3,1674.55,106392
2024-01-02,1672.2,1728.0,1666.7,1720.2,415671
2024-01-03,1723.0,1742.6,1700.2,1708.05,312062
2024-01-04,1708.05,1720.75,1682.0,1696.0,172725
2024-01-05,1707.45,1714.45,1656.15,1674.45,266244
2024-01-08,1674.45,1697.5,1650.0,1660.0,202623
2024-01-09,1687.4,1690.85,1643.75,1658.4,576030
2024-01-10,1660.0,1660.0,1602.0,1608.4,298951
2024-01-11,1612.95,1628.0,1590.4,1605.65,289272
2024-01-12,1609.8,1616.8,1450.0,1503.8,2059295
2024-01-15,1510.05,1559.95,1510.05,1555.55,979348
2024-01-16,1558.0,1560.0,1532.3,1555.75,222928
2024-01-17,1544.0,1572.0,1512.15,1567.3,191531
2024-01-18,1552.35,1576.0,1538.65,1565.05,168549
2024-01-19,1566.1,1616.0,1552.6,1603.5,305068
2024-01-20,1604.0,1615.85,1545.05,1582.6,301513
2024-01-23,1584.0,1603.5,1560.05,1582.1,373400
2024-01-24,1589.0,1615.0,1574.55,1610.5,273265
2024-01-25,1615.9,1617.95,1545.6,1558.65,302795
2024-01-29,1565.0,1589.8,1554.05,1581.75,202978
2024-01-30,1585.0,1611.0,1545.2,1586.9,133065
2024-01-31,1580.0,1641.0,1580.0,1632.4,301101
2024-02-01,1635.0,1651.05,1612.05,1631.25,170323
2024-02-02,1631.25,1650.7,1572.2,1637.25,238206
2024-02-05,1624.0,1675.0,1608.55,1666.8,334415
2024-02-06,1670.0,1812.8,1667.0,1744.35,1673724
2024-02-07,1764.0,1788.5,1741.75,1759.95,313367
2024-02-08,1765.0,1771.0,1663.8,1670.6,393623
2024-02-09,1680.0,1682.8,1634.45,1643.85,134159
2024-02-12,1635.0,1699.9,1629.6,1667.4,344748
2024-02-13,1667.4,1734.25,1645.6,1708.9,484863
2024-02-14,1699.95,1715.95,1683.25,1696.1,81848
2024-02-15,1700.0,1717.2,1678.05,1707.65,469397
2024-02-16,1727.95,1793.0,1715.0,1785.9,546173
2024-02-19,1808.0,1830.9,1779.7,1785.9,324089
2024-02-20,1786.0,1790.0,1730.05,1747.05,273732
2024-02-21,1750.05,1755.75,1715.0,1729.9,297539
2024-02-22,1725.6,1768.1,1712.8,1748.95,320376
2024-02-23,1764.8,1764.8,1730.95,1748.3,202957
2024-02-26,1740.95,1748.0,1688.05,1694.8,169869
2024-02-27,1694.8,1698.9,1627.0,1631.8,234888
2024-02-28,1645.8,1645.8,1588.85,1605.4,526261
2024-02-29,1605.0,1627.0,1576.15,1601.9,189838
2024-03-01,1611.8,1761.4,1611.8,1713.05,974863
2024-03-02,1706.9,1708.05,1670.0,1699.05,11965
2024-03-04,1702.85,1702.85,1640.0,1674.0,260302
2024-03-05,1669.95,1684.4,1615.05,1666.8,288551
2024-03-06,1662.6,1662.6,1620.8,1648.9,162619
2024-03-07,1650.0,1659.9,1623.7,1632.75,87084
2024-03-11,1640.5,1649.7,1613.25,1623.4,115905
2024-03-12,1620.0,1642.7,1584.8,1636.25,1002929
2024-03-13,1631.15,1675.0,1580.0,1587.8,340578
2024-03-14,1587.8,1640.0,1562.6,1626.65,155042
2024-03-15,1616.5,1627.95,1580.1,1593.95,82046
