date,open,high,low,close,volume
2023-12-26,384.0,386.95,377.95,386.25,838526
2023-12-27,387.0,389.75,379.1,382.75,222161
2023-12-28,384.3,387.0,376.6,378.1,147907
2023-12-29,377.55,389.2,376.6,386.25,609171
2024-01-01,386.0,387.65,380.0,385.25,178572
2024-01-02,385.25,385.25,375.3,377.95,397640
2024-01-03,378.0,389.3,377.1,384.35,425901
2024-01-04,386.4,387.0,376.0,380.1,254164
2024-01-05,385.75,386.0,379.15,380.25,177513
2024-01-08,380.65,383.05,373.2,375.9,176416
2024-01-09,377.05,392.0,374.15,388.45,1774392
2024-01-10,390.1,394.6,381.65,390.8,986025
2024-01-11,391.0,396.9,383.95,389.55,772651
2024-01-12,392.95,408.7,385.85,392.1,2202959
2024-01-15,397.0,403.7,394.2,396.25,1711132
2024-01-16,398.4,401.4,382.0,384.2,817975
2024-01-17,381.5,405.0,377.0,400.65,1585112
2024-01-18,403.8,409.55,386.95,401.2,1438249
2024-01-19,402.4,408.7,396.8,399.95,330806
2024-01-20,400.35,408.4,399.65,405.45,334956
2024-01-23,406.3,407.45,394.5,400.6,531575
2024-01-24,400.6,407.0,392.0,397.1,574038
2024-01-25,405.9,409.9,397.1,408.2,526481
2024-01-29,408.05,414.0,404.65,406.1,421377
2024-01-30,406.75,413.35,405.0,408.65,483061
2024-01-31,409.0,415.0,406.0,412.5,485297
2024-02-01,415.0,416.65,402.75,405.55,442526
2024-02-02,406.75,411.9,402.2,404.95,407195
2024-02-05,407.25,415.85,402.0,409.1,533405
2024-02-06,411.15,415.75,404.3,414.4,449014
2024-02-07,416.35,419.95,407.1,408.55,248713
2024-02-08,409.75,412.55,405.3,406.7,285343
2024-02-09,407.95,409.25,395.55,399.8,244640
2024-02-12,404.0,418.0,393.05,399.15,722702
2024-02-13,396.9,408.3,386.1,405.2,654080
2024-02-14,392.05,417.75,392.05,409.75,498475
2024-02-15,412.4,413.05,402.0,404.0,445571
2024-02-16,400.0,429.9,400.0,406.25,1422358
2024-02-19,425.55,442.15,422.2,425.75,2102733
2024-02-20,444.9,449.95,424.4,427.5,2071532
2024-02-21,430.9,435.0,419.9,430.4,688009
2024-02-22,434.8,436.0,425.4,433.85,484448
2024-02-23,430.0,434.55,426.4,433.35,341209
2024-02-26,434.5,438.7,430.65,432.75,247115
2024-02-27,432.5,433.95,426.0,429.4,170281
2024-02-28,431.3,431.5,416.55,423.1,595100
