date,open,high,low,close,volume
2023-12-26,95.0,96.55,94.35,96.1,12993934
2023-12-27,96.5,96.7,95.3,96.4,10287341
2023-12-28,96.85,98.0,95.75,97.65,11895633
2023-12-29,98.25,102.85,97.5,101.95,68869267
2024-01-01,102.8,108.4,102.5,105.85,52712410
2024-01-02,107.9,108.9,103.45,105.0,22614823
2024-01-03,105.5,105.7,101.35,101.9,22167688
2024-01-04,102.2,104.5,102.1,103.45,21403253
2024-01-05,104.3,106.65,103.05,104.05,24161892
2024-01-08,105.55,107.2,103.9,105.7,32024265
2024-01-09,106.75,109.2,106.1,107.05,34488808
2024-01-10,107.0,110.1,105.4,109.15,25515943
2024-01-11,109.7,111.3,109.2,109.9,36114155
2024-01-12,110.85,110.85,107.0,107.4,24240598
2024-01-15,108.0,110.5,107.2,109.65,24152334
2024-01-16,109.65,110.6,107.7,109.35,19019888
2024-01-17,107.0,109.7,106.55,108.1,17383298
2024-01-18,108.0,109.65,104.35,107.85,16228778
2024-01-19,108.65,110.95,108.35,109.55,11999992
2024-01-20,110.35,110.35,107.0,107.4,7105249
2024-01-23,108.75,109.3,105.35,106.35,29696347
2024-01-24,106.05,110.55,104.2,110.0,20934161
2024-01-25,110.4,116.15,109.65,115.4,44496421
2024-01-29,116.25,118.0,114.6,116.4,22486732
2024-01-30,117.3,117.3,113.75,114.25,10530946
2024-01-31,114.5,114.75,112.8,113.25,11293426
2024-02-01,114.2,116.3,113.65,115.2,17882319
2024-02-02,116.05,117.35,115.25,115.85,9365425
2024-02-05,116.8,119.2,115.9,117.05,10091989
2024-02-06,117.4,119.2,116.3,118.75,10048027
2024-02-07,119.65,122.75,116.9,122.3,17031435
2024-02-08,122.9,123.0,119.35,119.8,9369556
2024-02-09,120.5,122.4,117.2,121.25,13859592
2024-02-12,123.05,123.4,109.45,114.4,20068676
2024-02-13,118.4,118.4,109.9,115.45,27350662
2024-02-14,114.65,114.75,112.2,114.05,15949086
2024-02-15,115.7,115.8,112.75,113.25,11307945
2024-02-16,114.4,116.05,113.65,114.05,10467958
2024-02-19,115.0,116.9,113.0,113.15,7478592
2024-02-20,113.7,113.95,111.5,113.5,7064985
2024-02-21,113.5,114.85,112.65,113.1,11688496
2024-02-22,113.6,114.5,110.95,114.1,8878652
2024-02-23,115.7,116.6,113.8,115.65,10560760
2024-02-26,115.85,116.45,114.6,115.4,5220045
2024-02-27,115.95,115.95,114.3,115.35,8982017
2024-02-28,115.9,119.45,114.85,118.55,30725751
2024-02-29,117.35,119.7,116.6,119.2,25492241
2024-03-01,119.35,120.5,117.95,119.4,17515282
2024-03-02,119.85,121.0,119.45,120.05,2608460
2024-03-04,121.0,122.65,119.25,119.6,18468917
2024-03-05,121.55,126.5,119.5,125.45,44320876
2024-03-06,123.8,123.8,117.85,120.85,463323045
2024-03-07,119.95,121.4,118.5,118.95,16916136
2024-03-11,118.9,118.9,114.9,116.3,22796650
2024-03-12,117.05,117.65,115.05,116.0,17008353
2024-03-13,116.0,116.45,107.5,110.2,31316694
2024-03-14,108.5,112.95,108.3,112.5,16665581
2024-03-15,112.5,113.6,109.35,111.35,23884376
2024-03-18,112.8,113.35,111.4,112.85,11823565
2024-03-19,112.8,113.9,110.8,111.15,12813038
2024-03-20,111.9,112.95,110.15,112.1,12588314
2024-03-21,113.55,116.05,113.1,115.25,25270564
2024-03-22,116.5,116.8,114.7,116.3,15070589
2024-03-26,114.3,117.8,114.3,117.25,10057156
2024-03-27,117.7,118.35,116.65,117.3,8752288
2024-03-28,118.0,118.2,116.75,117.1,12210496
2024-04-01,117.15,120.4,117.15,120.15,8835611
2024-04-02,120.8,122.5,120.15,120.95,17616149
2024-04-03,120.8,120.9,119.7,120.4,7628888
2024-04-04,120.45,123.3,118.6,119.6,17092983
2024-04-05,119.2,119.9,117.9,119.4,8561933
2024-04-08,119.4,121.1,118.7,120.6,8098865
2024-04-09,120.85,120.95,116.9,117.8,7198119
2024-04-10,118.0,119.4,117.55,119.0,10780425
2024-04-12,118.8,123.15,118.25,120.55,22046191
2024-04-15,118.15,121.3,116.8,120.8,15141027
2024-04-16,118.25,125.7,118.25,124.25,29890341
2024-04-18,126.75,129.95,125.0,125.85,51622931
2024-04-19,125.5,127.8,121.25,127.05,19747475
2024-04-22,126.6,128.95,121.6,127.7,35636085
2024-04-23,127.65,129.45,125.8,127.4,13382804
2024-04-24,128.85,128.85,126.0,126.9,9401296
2024-04-25,126.4,127.8,126.0,127.2,10215969
2024-04-26,128.05,132.3,127.45,131.1,38360100
2024-04-29,132.15,132.95,129.8,130.8,12481830
2024-04-30,131.8,133.4,130.85,131.2,14635558
2024-05-02,131.0,131.75,129.25,130.2,11163690
2024-05-03,130.8,132.25,129.65,131.2,9748819
2024-05-06,132.3,132.3,127.0,127.85,8774773
2024-05-07,128.5,128.65,122.95,125.4,11846168
2024-05-08,125.5,129.05,125.2,128.75,8572464
2024-05-09,129.65,130.65,125.0,125.5,11428392
2024-05-10,126.1,128.5,125.35,127.6,14351338
2024-05-13,127.5,127.5,122.45,125.05,18189992
2024-05-14,125.35,128.3,124.75,127.55,8515151
2024-05-15,128.25,128.3,125.35,126.35,8293059
