date,open,high,low,close,volume
2023-12-26,319.25,319.7,308.75,313.7,1181972
2023-12-27,315.05,317.4,297.65,302.7,1261288
2023-12-28,306.25,307.25,303.0,304.1,843308
2023-12-29,304.3,310.8,304.3,310.2,1053596
2024-01-01,310.2,315.6,306.5,315.0,677588
2024-01-02,315.0,316.6,306.5,309.95,642848
2024-01-03,310.0,313.25,308.35,310.6,456072
2024-01-04,313.0,331.95,312.75,321.9,3466732
2024-01-05,326.25,331.25,320.65,325.5,971944
2024-01-08,325.5,337.5,325.1,332.2,1464124
2024-01-09,335.65,350.0,335.65,344.75,2470568
2024-01-10,347.5,354.75,339.1,351.6,1486676
2024-01-11,351.6,386.75,351.6,381.15,5648236
2024-01-12,381.75,397.25,377.25,389.3,3751080
2024-01-15,389.25,400.5,381.6,385.4,1330724
2024-01-16,385.0,386.75,362.5,371.3,2008176
2024-01-17,368.1,381.75,363.8,376.35,1113424
2024-01-18,373.75,387.0,345.35,380.9,1780692
2024-01-19,382.65,406.25,381.9,397.55,2570996
2024-01-20,400.75,406.25,390.25,393.1,583736
2024-01-23,400.65,405.7,380.9,387.6,1172700
2024-01-24,386.0,465.15,380.55,428.1,7606212
2024-01-25,437.5,446.2,428.3,433.0,4324192
2024-01-29,436.25,444.5,423.25,439.2,1404064
2024-01-30,440.0,446.5,434.0,436.2,1086704
2024-01-31,440.0,448.5,433.65,447.1,1112072
2024-02-01,457.0,459.9,443.6,452.1,1021832
2024-02-02,453.7,458.5,440.25,442.45,585128
2024-02-05,444.5,450.0,435.0,438.35,514876
2024-02-06,437.5,450.0,433.5,442.65,638396
2024-02-07,442.65,457.9,440.6,447.0,768740
2024-02-08,449.4,484.55,449.05,476.1,1679708
2024-02-09,479.0,482.2,450.0,466.5,829476
2024-02-12,466.25,477.0,445.85,453.95,528656
2024-02-13,458.0,458.0,426.3,442.6,623840
2024-02-14,442.5,456.95,437.75,450.3,524320
2024-02-15,453.75,465.0,450.5,452.3,368528
2024-02-16,456.4,468.75,455.75,459.65,359252
2024-02-19,457.5,457.5,437.5,438.85,833148
2024-02-20,440.5,443.6,432.75,439.3,319508
2024-02-21,441.2,443.25,416.6,420.1,675700
2024-02-22,421.35,422.4,410.1,414.6,451876
2024-02-23,418.35,422.5,412.8,417.9,303932
2024-02-26,417.9,426.75,411.75,413.8,434832
2024-02-27,413.8,439.75,413.1,434.35,785680
2024-02-28,439.6,441.45,403.0,406.15,897692
2024-02-29,407.0,412.2,395.45,403.75,989036
2024-03-01,407.45,416.75,407.45,413.8,359908
2024-03-02,416.0,422.5,416.0,418.15,52484
2024-03-04,418.4,433.75,410.4,429.7,459164
