date,open,high,low,close,volume
2023-12-26,2690.0,2697.8,2639.35,2659.05,555288
2023-12-27,2679.75,2703.25,2644.4,2684.7,617837
2023-12-28,2660.0,2684.6,2650.65,2673.55,567882
2023-12-29,2676.0,2733.5,2651.05,2684.75,428126
2024-01-01,2685.0,2720.0,2666.0,2681.85,252020
2024-01-02,2681.0,2695.7,2598.85,2618.35,355638
2024-01-03,2598.0,2603.95,2516.0,2523.7,646613
2024-01-04,2536.95,2586.0,2526.5,2543.65,535052
2024-01-05,2546.95,2627.0,2546.95,2582.55,395701
2024-01-08,2565.0,2579.9,2503.65,2524.8,380035
2024-01-09,2568.6,2589.7,2492.4,2500.55,268767
2024-01-10,2509.0,2524.0,2463.0,2504.4,474287
2024-01-11,2524.95,2542.7,2506.8,2523.8,274861
2024-01-12,2565.0,2683.0,2556.3,2624.6,1571702
2024-01-15,2670.0,2707.85,2541.85,2570.85,1442698
2024-01-16,2558.0,2583.95,2531.2,2548.5,691337
2024-01-17,2500.0,2588.3,2494.95,2572.0,379998
2024-01-18,2560.0,2560.0,2425.6,2459.1,692100
2024-01-19,2487.9,2517.35,2460.0,2494.05,435734
2024-01-20,2505.0,2561.4,2505.0,2531.55,330534
2024-01-23,2545.0,2545.0,2456.4,2478.2,293638
2024-01-24,2478.2,2545.0,2447.0,2510.75,234273
2024-01-25,2519.95,2529.9,2437.3,2467.4,534988
2024-01-29,2467.4,2542.4,2460.1,2527.7,557540
2024-01-30,2543.9,2583.65,2520.0,2548.5,1047150
2024-01-31,2532.0,2547.05,2496.85,2543.5,300418
2024-02-01,2539.0,2575.0,2503.0,2545.15,558575
2024-02-02,2470.0,2582.3,2465.05,2505.2,2414696
2024-02-05,2505.0,2505.0,2437.05,2445.65,814978
2024-02-06,2443.0,2537.4,2417.0,2523.65,885293
2024-02-07,2537.2,2555.0,2490.0,2535.95,390384
2024-02-08,2553.0,2604.85,2532.1,2542.5,429043
2024-02-09,2525.0,2593.0,2495.55,2534.3,413772
2024-02-12,2525.0,2597.5,2525.0,2546.0,1173812
2024-02-13,2559.7,2577.95,2497.1,2573.55,188101
2024-02-14,2549.7,2549.7,2466.55,2504.85,460554
2024-02-15,2519.0,2670.0,2519.0,2653.6,1010278
2024-02-16,2653.6,2763.7,2641.1,2746.95,1103339
2024-02-19,2765.0,2782.6,2697.0,2724.35,743014
2024-02-20,2724.35,2767.0,2674.7,2709.85,332331
2024-02-21,2711.95,2727.15,2585.0,2599.35,400996
2024-02-22,2625.9,2668.95,2600.35,2643.45,765173
2024-02-23,2684.0,2730.0,2665.0,2672.6,373872
2024-02-26,2670.0,2670.0,2573.0,2621.95,1081304
2024-02-27,2621.95,2644.9,2592.8,2633.9,373642
2024-02-28,2650.0,2681.5,2567.0,2598.9,371605
2024-02-29,2598.9,2599.9,2526.4,2562.35,603665
2024-03-01,2566.0,2605.75,2545.0,2562.25,316488
2024-03-02,2593.0,2615.0,2557.55,2602.3,44888
2024-03-04,2602.0,2602.0,2535.9,2545.6,501243
2024-03-05,2547.5,2553.65,2475.0,2489.2,285581
2024-03-06,2479.7,2479.7,2406.0,2468.2,447965
2024-03-07,2500.0,2501.6,2430.9,2437.85,283798
2024-03-11,2464.0,2464.0,2387.05,2414.7,552199
2024-03-12,2406.0,2448.5,2364.55,2371.35,524536
2024-03-13,2384.05,2405.8,2293.05,2320.3,531757
2024-03-14,2310.0,2443.9,2280.05,2427.55,961391
2024-03-15,2414.05,2447.0,2400.85,2432.85,404952
2024-03-18,2435.0,2463.0,2394.0,2406.85,550690
2024-03-19,2405.0,2414.6,2316.0,2332.8,320135
2024-03-20,2325.5,2370.0,2311.55,2329.65,444932
2024-03-21,2369.0,2399.35,2345.25,2381.85,332097
2024-03-22,2312.0,2353.0,2251.0,2334.4,885281
2024-03-26,2322.8,2350.75,2309.0,2322.4,548700
2024-03-27,2337.95,2393.0,2327.0,2352.0,526025
2024-03-28,2366.0,2366.0,2321.95,2333.05,380516
2024-04-01,2346.0,2413.35,2333.8,2406.75,542188
2024-04-02,2405.0,2417.5,2393.0,2413.45,158324
2024-04-03,2400.1,2462.0,2386.7,2429.2,283686
2024-04-04,2445.0,2473.95,2421.5,2459.4,181472
2024-04-05,2455.0,2468.7,2434.5,2455.6,137970
2024-04-08,2464.8,2478.95,2353.5,2399.2,830250
2024-04-09,2409.0,2474.0,2385.0,2402.3,318201
2024-04-10,2410.0,2423.25,2384.05,2390.2,477724
2024-04-12,2396.5,2421.05,2383.55,2391.15,482559
2024-04-15,2375.0,2402.1,2331.55,2339.3,540342
2024-04-16,2324.95,2335.45,2247.0,2253.0,671182
2024-04-18,2310.35,2336.45,2262.7,2281.45,520011
2024-04-19,2245.0,2270.05,2219.0,2225.3,504287
2024-04-22,2241.95,2243.95,2173.45,2182.3,604348
2024-04-23,2194.05,2206.85,2181.0,2188.55,475017
2024-04-24,2200.0,2209.2,2185.05,2188.5,186524
2024-04-25,2188.5,2200.0,2153.45,2174.3,607132
2024-04-26,2185.0,2317.4,2185.0,2243.1,1906257
2024-04-29,2251.3,2332.2,2250.05,2285.85,726584
2024-04-30,2285.95,2316.5,2253.05,2259.85,383386
2024-05-02,2255.15,2280.2,2247.0,2264.4,213301
2024-05-03,2279.75,2294.9,2231.0,2236.9,270305
2024-05-06,2251.0,2293.25,2225.0,2244.15,319574
2024-05-07,2245.0,2254.8,2200.0,2231.8,407563
2024-05-08,2225.0,2249.7,2202.55,2224.7,317405
2024-05-09,2226.0,2241.9,2181.2,2194.35,150257
2024-05-10,2194.75,2194.75,2156.75,2176.2,168817
2024-05-13,2176.2,2214.0,2140.0,2199.65,334981
2024-05-14,2199.65,2262.0,2186.15,2247.05,293562
2024-05-15,2265.0,2268.0,2215.05,2219.35,299045
2024-05-16,2240.0,2320.5,2239.35,2315.95,1074601
2024-05-17,2334.3,2334.3,2250.5,2256.6,472822
2024-05-18,2271.0,2274.9,2260.0,2267.3,30625
2024-05-21,2257.3,2320.0,2257.3,2317.55,479405
2024-05-22,2320.0,2356.35,2307.85,2312.55,511687
2024-05-23,2317.0,2364.8,2309.05,2342.05,360709
2024-05-24,2342.0,2360.0,2326.15,2335.95,296471
2024-05-27,2336.5,2426.35,2328.4,2386.15,931304
2024-05-28,2397.0,2406.1,2338.9,2345.4,283240
2024-05-29,2345.0,2364.0,2303.05,2309.25,217435
2024-05-30,2307.9,2307.9,2248.05,2257.8,244442
2024-05-31,2269.0,2280.0,2220.7,2229.1,377956
2024-06-03,2313.0,2315.0,2214.45,2234.95,461553
2024-06-04,2225.0,2249.85,2132.0,2220.5,514594
2024-06-05,2215.05,2369.95,2215.05,2307.1,962817
2024-06-06,2354.75,2419.45,2344.8,2381.3,650875
2024-06-07,2385.0,2502.5,2385.0,2416.95,1327918
2024-06-10,2333.0,2392.0,2297.6,2339.6,33951028
2024-06-11,2345.0,2359.8,2328.5,2336.9,783817
2024-06-12,2349.5,2371.0,2335.0,2342.95,1109076
2024-06-13,2364.95,2410.0,2354.05,2401.5,3107850
2024-06-14,2413.0,2413.0,2340.55,2353.85,1251250
2024-06-18,2358.0,2379.9,2350.0,2362.35,578483
2024-06-19,2357.05,2378.0,2334.2,2356.4,464717
2024-06-20,2378.0,2380.0,2342.05,2365.95,695949
2024-06-21,2408.5,2434.0,2365.1,2374.75,1727377
2024-06-24,2347.1,2369.0,2325.1,2339.2,1356536
2024-06-25,2340.05,2359.95,2324.5,2353.3,604516
2024-06-26,2363.0,2384.25,2356.2,2364.45,607685
2024-06-27,2360.2,2396.75,2349.1,2387.1,746590
2024-06-28,2420.0,2422.0,2378.0,2401.55,494140
2024-07-01,2426.0,2488.8,2402.8,2439.9,1287527
2024-07-02,2456.0,2519.0,2442.05,2451.15,1306698
2024-07-03,2472.0,2517.85,2448.5,2514.45,930888
2024-07-04,2514.45,2564.0,2509.0,2528.2,1197887
2024-07-05,2541.95,2580.9,2529.1,2573.9,958511
2024-07-08,2580.0,2597.0,2534.85,2554.55,1079731
2024-07-09,2555.0,2572.2,2532.0,2545.5,449070
2024-07-10,2554.0,2560.75,2510.5,2550.0,924472
2024-07-11,2550.0,2571.35,2538.6,2560.3,371430
2024-07-12,2614.2,2745.0,2609.65,2690.7,2717617
2024-07-15,2714.95,2769.0,2696.8,2736.85,1280637
2024-07-16,2711.0,2806.95,2704.05,2799.45,777919
2024-07-18,2810.0,2860.0,2772.5,2833.25,880873
2024-07-19,2890.0,2915.0,2827.75,2873.55,4513506
2024-07-22,2868.0,2935.75,2803.3,2925.75,1080523
2024-07-23,2925.75,2966.8,2842.75,2937.15,619277
2024-07-24,2943.8,2949.7,2833.75,2869.85,850350
2024-07-25,2830.05,2861.4,2790.15,2844.6,673584
2024-07-26,2800.0,3080.95,2800.0,3029.8,3919873
2024-07-29,3040.0,3043.0,2895.0,2931.6,1236258
2024-07-30,2929.9,2929.9,2900.45,2915.05,368109
2024-07-31,2902.0,2949.9,2876.25,2892.5,658298
2024-08-01,2904.6,2949.95,2840.15,2855.0,945392
2024-08-02,2855.0,2855.0,2769.0,2775.3,457613
2024-08-05,2675.0,2709.55,2589.35,2652.25,966802
2024-08-06,2650.0,2721.95,2632.05,2639.05,937496
2024-08-07,2680.0,2732.65,2680.0,2726.0,351454
2024-08-08,2724.0,2724.0,2637.15,2645.5,437051
2024-08-09,2705.0,2765.55,2692.85,2720.5,761355
2024-08-12,2700.0,2718.95,2663.0,2702.9,431060
2024-08-13,2727.6,2727.6,2679.3,2696.55,272177
2024-08-14,2709.0,2737.9,2690.8,2718.85,258066
2024-08-16,2726.05,2918.5,2726.05,2910.95,1786753
2024-08-19,2933.0,2992.95,2922.3,2977.7,1271105
2024-08-20,2986.45,3036.95,2985.0,3008.95,619734
2024-08-21,3000.05,3043.2,2981.05,3036.95,304884
2024-08-22,3048.05,3153.0,3048.05,3065.65,979104
2024-08-23,3065.0,3065.0,2981.0,2997.65,463489
2024-08-26,3034.95,3122.0,3003.25,3019.75,1004715
2024-08-27,3024.05,3063.0,2990.35,3034.0,411818
2024-08-28,3037.5,3131.95,3007.0,3089.45,1186290
2024-08-29,3055.55,3118.95,3052.0,3103.45,308414
2024-08-30,3130.0,3130.0,3085.0,3104.95,791445
2024-09-02,3104.95,3145.0,3091.5,3102.5,478366
2024-09-03,3102.0,3165.0,3082.25,3125.35,693093
2024-09-04,3063.05,3092.85,3011.25,3088.7,1012802
2024-09-05,3109.9,3117.0,3073.3,3087.7,194748
2024-09-06,3097.8,3141.95,3035.0,3051.5,470725
