date,open,high,low,close,volume
2023-12-26,61.85,61.95,60.65,60.75,4688059
2023-12-27,60.95,61.45,60.0,61.0,5512070
2023-12-28,61.15,61.75,60.1,61.1,7466337
2023-12-29,61.35,63.6,61.0,61.75,14976917
2024-01-01,62.25,63.3,61.7,62.15,8090211
2024-01-02,62.3,63.05,61.2,61.55,12295620
2024-01-03,61.8,62.6,61.0,61.5,20314444
2024-01-04,61.65,62.4,61.65,62.0,4766000
2024-01-05,62.7,66.0,62.1,65.65,41498481
2024-01-08,66.55,66.75,64.4,64.65,13686834
2024-01-09,65.2,65.75,64.7,64.9,6651332
2024-01-10,64.95,65.4,63.8,64.25,6123191
2024-01-11,65.9,65.9,63.4,63.6,9374264
2024-01-12,63.95,64.45,62.8,63.1,6504992
2024-01-15,63.5,64.0,63.15,63.55,4641928
2024-01-16,64.0,64.15,62.1,62.9,4022216
2024-01-17,62.5,63.0,61.55,61.9,6129243
2024-01-18,61.55,62.25,60.45,61.55,6630691
2024-01-19,62.0,62.65,61.2,61.6,5790031
2024-01-20,61.6,62.7,61.35,62.6,2426350
2024-01-23,62.8,63.0,61.3,61.45,5397988
2024-01-24,61.4,61.85,60.35,61.7,3471056
2024-01-25,61.7,62.7,60.25,60.95,6365883
2024-01-29,61.5,61.95,61.35,61.7,4795514
2024-01-30,62.15,65.5,62.0,63.5,17952800
2024-01-31,64.5,65.75,63.35,65.05,17288754
2024-02-01,66.35,71.45,66.25,69.95,65055289
2024-02-02,71.15,72.2,69.0,69.4,22935135
2024-02-05,69.8,73.85,69.3,70.95,26921460
2024-02-06,72.5,74.8,71.7,72.9,23309947
2024-02-07,73.3,73.85,70.2,70.5,11851314
2024-02-08,71.95,72.7,69.85,71.75,17287587
2024-02-09,72.0,72.1,67.85,68.95,12601579
2024-02-12,69.35,69.85,66.0,66.55,8050300
2024-02-13,66.55,69.4,64.6,67.5,10542174
2024-02-14,67.45,69.95,66.35,69.8,10625115
2024-02-15,70.35,71.0,69.2,70.6,7412758
2024-02-16,70.1,74.8,70.1,72.35,21335722
2024-02-19,72.8,73.75,72.6,73.1,5880072
2024-02-20,73.25,73.3,71.3,71.75,5139753
2024-02-21,72.0,72.15,69.7,69.95,5355085
2024-02-22,70.1,71.4,68.85,71.2,5420500
2024-02-23,71.55,71.55,70.0,70.25,4342821
2024-02-26,71.0,72.85,70.55,72.45,8385228
2024-02-27,73.0,73.7,71.5,72.0,8458136
2024-02-28,72.2,73.05,70.05,71.05,6408974
2024-02-29,70.7,70.7,68.7,70.15,6245432
2024-03-01,70.35,71.8,69.6,70.0,7044064
2024-03-02,70.3,71.7,70.1,71.45,838558
2024-03-04,71.7,71.7,69.65,69.95,7378249
2024-03-05,70.5,71.35,69.55,70.4,6887156
2024-03-06,70.8,71.3,69.0,70.1,6233509
2024-03-07,68.5,70.1,67.2,67.7,8234972
