date,open,high,low,close,volume
2023-12-26,1470.0,1484.95,1445.7,1450.8,283178
2023-12-27,1455.85,1480.0,1453.9,1477.2,181211
2023-12-28,1481.4,1501.5,1478.05,1492.0,457822
2023-12-29,1492.0,1500.0,1468.45,1476.3,199370
2024-01-01,1484.9,1489.6,1460.6,1466.0,373747
2024-01-02,1460.0,1472.55,1440.6,1454.7,385614
2024-01-03,1459.85,1493.35,1452.6,1475.85,798316
2024-01-04,1480.0,1528.6,1460.1,1517.8,782324
2024-01-05,1523.8,1537.35,1492.5,1499.5,336177
2024-01-08,1504.15,1504.15,1466.55,1489.1,179830
2024-01-09,1490.35,1512.05,1470.0,1480.45,249633
2024-01-10,1474.95,1487.0,1452.55,1475.35,252839
2024-01-11,1475.35,1506.0,1475.15,1489.35,213714
2024-01-12,1492.9,1493.35,1464.0,1474.2,143263
2024-01-15,1480.0,1491.0,1449.95,1452.8,327345
2024-01-16,1454.95,1459.0,1429.85,1437.0,275059
2024-01-17,1425.0,1437.8,1412.95,1417.0,149763
2024-01-18,1411.7,1420.55,1372.65,1380.3,542033
2024-01-19,1381.0,1439.15,1381.0,1431.1,371635
2024-01-20,1446.3,1446.3,1406.0,1411.35,89960
2024-01-23,1415.0,1426.0,1350.35,1363.95,708076
2024-01-24,1368.6,1406.5,1361.55,1403.75,459690
2024-01-25,1403.75,1406.8,1375.7,1388.15,151135
2024-01-29,1388.0,1404.45,1384.1,1393.95,190949
2024-01-30,1404.5,1421.6,1380.3,1389.85,727506
2024-01-31,1393.0,1397.45,1375.35,1394.95,201126
2024-02-01,1407.0,1407.0,1350.1,1360.85,493016
2024-02-02,1375.0,1398.3,1360.05,1377.45,488731
2024-02-05,1388.35,1388.35,1359.4,1364.4,387501
2024-02-06,1367.0,1392.0,1352.0,1390.5,384002
2024-02-07,1390.5,1429.5,1390.0,1425.15,652247
2024-02-08,1427.0,1428.8,1357.05,1359.75,553897
2024-02-09,1370.0,1384.0,1358.25,1377.7,309793
2024-02-12,1373.0,1378.65,1345.85,1351.2,159890
2024-02-13,1351.25,1371.4,1345.55,1367.4,446582
2024-02-14,1365.0,1387.2,1347.0,1379.25,152372
2024-02-15,1404.0,1445.45,1323.3,1343.35,1814089
2024-02-16,1348.05,1378.0,1345.0,1357.0,705754
2024-02-19,1364.0,1377.15,1349.7,1354.95,731652
2024-02-20,1359.0,1366.9,1336.5,1338.5,417078
2024-02-21,1339.95,1354.15,1320.6,1324.2,261995
2024-02-22,1326.05,1337.75,1314.35,1336.4,168663
2024-02-23,1352.5,1352.5,1307.85,1320.15,701117
2024-02-26,1318.0,1320.0,1304.4,1306.7,236959
2024-02-27,1310.0,1321.8,1275.75,1294.3,882971
2024-02-28,1294.2,1305.85,1261.9,1274.7,897732
2024-02-29,1267.05,1310.7,1262.0,1303.75,698898
2024-03-01,1299.85,1323.8,1294.35,1321.35,672320
2024-03-02,1321.0,1329.95,1305.0,1319.45,21752
2024-03-04,1312.1,1350.0,1312.1,1337.9,411404
