date,open,high,low,close,volume
2023-12-26,796.4,816.0,788.05,804.35,1002451
2023-12-27,813.0,819.8,798.55,801.75,630277
2023-12-28,809.95,814.25,792.05,803.15,474190
2023-12-29,814.0,814.0,800.55,811.35,449932
2024-01-01,811.95,824.0,811.0,818.35,535166
2024-01-02,824.0,834.8,809.35,820.85,975916
2024-01-03,828.0,842.0,823.55,835.45,1024810
2024-01-04,842.0,844.95,834.95,838.6,607756
2024-01-05,840.15,851.0,831.0,849.35,777719
2024-01-08,852.95,855.0,828.55,843.55,633715
2024-01-09,848.75,859.8,845.2,849.1,870672
2024-01-10,846.0,852.0,838.0,840.7,509790
2024-01-11,845.25,850.5,841.0,847.8,255300
2024-01-12,853.8,861.9,846.5,852.1,492946
2024-01-15,852.5,858.0,845.5,848.5,368072
2024-01-16,848.5,851.9,826.3,831.85,423160
2024-01-17,831.0,837.0,816.85,818.3,401541
2024-01-18,818.0,829.9,805.0,827.6,525545
2024-01-19,834.5,839.4,831.05,835.15,249530
2024-01-20,837.0,838.0,825.0,828.85,194845
2024-01-23,833.0,847.9,833.0,840.2,627481
2024-01-24,843.9,872.0,842.25,859.2,1257350
2024-01-25,864.85,874.9,860.3,869.8,599073
2024-01-29,876.0,883.0,873.1,880.0,512610
2024-01-30,882.0,885.0,867.0,870.4,497000
2024-01-31,874.95,885.5,862.4,865.8,543968
2024-02-01,872.0,883.9,863.7,869.3,591977
2024-02-02,875.95,877.9,855.05,858.85,320211
2024-02-05,867.0,872.1,862.1,869.3,368323
2024-02-06,872.0,879.0,863.8,864.8,408118
2024-02-07,869.4,871.7,855.95,859.25,261786
2024-02-08,864.8,869.35,850.0,856.65,326172
2024-02-09,860.0,865.0,833.0,839.8,296222
2024-02-12,847.0,847.0,828.0,833.5,237235
2024-02-13,837.0,864.9,829.6,856.9,411955
2024-02-14,855.0,909.0,848.05,884.8,2675111
2024-02-15,899.0,914.8,883.0,887.1,1456064
2024-02-16,891.0,1051.0,889.85,1026.5,14634622
2024-02-19,1040.0,1108.35,1036.5,1064.45,4741771
2024-02-20,1064.45,1080.0,1032.2,1041.15,3102666
2024-02-21,1039.0,1049.0,1020.0,1024.0,799597
2024-02-22,1026.0,1035.0,998.55,1008.9,942229
2024-02-23,1012.05,1033.9,1007.0,1027.7,521596
2024-02-26,1006.0,1030.0,1006.0,1026.05,288636
2024-02-27,1026.0,1027.95,990.1,1006.1,339995
2024-02-28,1010.0,1014.8,970.0,983.5,490926
2024-02-29,983.5,1004.0,972.05,995.05,574573
2024-03-01,999.55,1007.7,978.1,982.75,443289
2024-03-02,988.2,1000.0,985.0,993.65,54796
