date,open,high,low,close,volume
2023-12-26,114.07,115.09,112.3,112.94,19681322
2023-12-27,113.63,116.32,113.28,115.39,37717475
2023-12-28,117.05,126.89,116.56,125.91,107273076
2023-12-29,127.77,132.86,123.47,129.19,92188515
2024-01-01,129.93,135.95,129.39,133.31,43783940
2024-01-02,133.75,136.93,129.05,136.14,51857420
2024-01-03,135.61,135.61,126.6,127.14,59450714
2024-01-04,128.26,130.12,126.94,127.77,22117963
2024-01-05,128.7,130.03,124.54,125.42,21198368
2024-01-08,126.26,126.79,120.48,121.16,18668735
2024-01-09,122.39,126.99,120.48,125.77,27422652
2024-01-10,127.97,130.47,124.35,127.97,44056844
2024-01-11,128.36,128.95,126.11,127.68,13675789
2024-01-12,129.14,130.66,128.07,128.7,17384204
2024-01-15,129.83,132.86,126.6,132.47,31549703
2024-01-16,136.44,140.99,133.26,136.0,95230075
2024-01-17,133.89,134.87,130.22,130.81,35627473
2024-01-18,130.22,130.66,122.78,128.51,28294930
2024-01-19,130.03,133.8,129.44,130.86,22244546
2024-01-20,131.79,136.78,130.37,132.52,24783250
2024-01-23,133.65,134.82,119.3,124.1,26838107
2024-01-24,125.33,134.92,124.54,132.77,37870264
2024-01-25,133.65,139.42,130.91,138.15,74915630
2024-01-29,141.87,145.3,138.54,142.31,53160333
2024-01-30,143.73,146.13,141.48,142.56,33529564
2024-01-31,143.83,146.87,143.19,145.74,31011594
2024-02-01,147.36,148.19,142.95,143.98,29473167
2024-02-02,145.4,153.72,143.59,149.8,54463864
2024-02-05,150.68,157.73,149.17,152.5,59800188
2024-02-06,153.43,160.38,150.93,159.35,46564944
2024-02-07,161.55,162.09,155.04,157.78,27684612
2024-02-08,159.15,160.97,154.31,157.54,20015275
2024-02-09,157.49,158.13,143.98,154.21,40678846
2024-02-12,154.7,157.49,138.79,140.21,48639405
2024-02-13,139.18,141.48,134.48,138.98,31538855
2024-02-14,142.95,156.56,141.29,152.64,99788791
2024-02-15,155.68,157.0,150.1,153.96,40649183
2024-02-16,155.43,165.76,154.8,159.35,83551233
2024-02-19,160.57,161.75,156.27,157.24,24682133
2024-02-20,158.62,160.57,156.02,156.9,15672506
2024-02-21,158.13,161.75,152.59,154.01,27206179
2024-02-22,155.38,158.86,149.56,158.22,23247393
2024-02-23,158.91,159.5,155.09,155.68,16443079
2024-02-26,156.31,158.81,151.57,153.62,24275011
2024-02-27,153.48,155.38,151.17,152.15,15315735
2024-02-28,152.74,155.14,148.29,149.07,18501552
2024-02-29,149.41,153.72,148.19,152.69,19254314
2024-03-01,154.21,158.42,154.21,157.44,24049226
2024-03-02,157.44,163.02,157.15,162.34,9839419
2024-03-04,163.02,166.89,158.86,163.27,36939883
2024-03-05,163.46,165.27,161.6,162.68,17623544
2024-03-06,162.53,162.53,154.5,159.59,23336023
2024-03-07,160.08,162.43,159.15,159.79,17224908
2024-03-11,160.08,160.67,153.82,155.04,11017989
2024-03-12,154.6,155.68,147.89,148.48,17361368
2024-03-13,148.82,149.8,127.53,133.31,40456369
2024-03-14,134.14,140.5,132.67,138.49,24429717
2024-03-15,138.35,140.7,128.7,133.55,41641387
2024-03-18,134.63,138.25,132.47,136.19,22776146
2024-03-19,136.63,139.38,133.26,134.24,18002661
2024-03-20,135.61,139.18,132.23,134.92,30393722
2024-03-21,137.47,144.17,137.47,142.7,36768461
2024-03-22,143.39,147.6,141.24,145.64,21509647
2024-03-26,145.4,149.41,145.15,148.73,12862977
2024-03-27,149.17,151.22,148.04,148.43,9665216
2024-03-28,149.61,151.42,148.43,149.36,9698314
2024-04-01,150.68,158.81,150.39,158.13,27130487
2024-04-02,158.91,163.22,155.19,162.73,25348685
2024-04-03,163.32,172.57,162.83,171.1,75955052
2024-04-04,174.53,176.44,170.66,171.69,33950224
2024-04-05,171.29,176.63,167.57,173.79,26489939
2024-04-08,174.97,176.14,171.0,174.28,17035259
2024-04-09,174.87,181.38,172.42,179.62,34968600
2024-04-10,181.04,184.86,178.2,178.88,30361167
2024-04-12,177.46,179.62,173.79,174.48,20228100
2024-04-15,178.2,181.33,171.39,177.85,53692381
2024-04-16,175.85,181.82,174.67,179.13,24435652
2024-04-18,180.94,183.73,176.24,177.56,16716381
2024-04-19,176.24,181.62,171.1,180.94,27228605
2024-04-22,183.88,187.4,180.84,181.58,37346966
2024-04-23,183.39,183.78,178.69,179.52,17127399
2024-04-24,179.57,186.03,178.59,184.07,22418521
2024-04-25,184.07,185.93,181.82,184.32,20344598
2024-04-26,186.62,188.18,183.19,184.95,15985573
2024-04-29,186.57,189.07,184.07,184.56,13217202
2024-04-30,185.64,186.28,180.74,181.38,11371087
2024-05-02,180.94,185.15,180.25,182.75,11946114
2024-05-03,183.34,184.46,178.49,181.23,14912479
2024-05-06,182.75,183.0,174.33,179.23,14338036
2024-05-07,179.42,179.72,170.61,172.91,14505252
2024-05-08,171.54,177.37,170.36,175.46,10694946
2024-05-09,176.24,176.73,166.55,167.18,11743450
2024-05-10,168.41,171.05,165.76,170.32,11866260
2024-05-13,169.58,174.28,165.22,173.25,12288370
2024-05-14,174.67,186.81,173.69,185.88,31279139
