date,open,high,low,close,volume
2023-12-26,5050.0,5119.2,5015.05,5078.9,145022
2023-12-27,5098.95,5178.0,5085.1,5154.3,221253
2023-12-28,5177.7,5190.6,5122.6,5149.1,187646
2023-12-29,5161.95,5175.1,5100.0,5140.15,160542
2024-01-01,5175.0,5195.95,5117.5,5149.5,106346
2024-01-02,5145.05,5175.0,5058.9,5126.2,287607
2024-01-03,5030.0,5148.4,5030.0,5088.0,159354
2024-01-04,5125.0,5141.2,5056.55,5085.5,132168
2024-01-05,5085.05,5290.0,5085.05,5246.15,571151
2024-01-08,5295.0,5303.2,5126.65,5145.05,217738
2024-01-09,5200.0,5264.9,5165.9,5194.65,244775
2024-01-10,5213.0,5299.1,5189.05,5243.4,346884
2024-01-11,5240.05,5287.5,5159.55,5171.65,136417
2024-01-12,5215.55,5387.8,5209.0,5308.3,448934
2024-01-15,5320.0,5404.4,5243.15,5343.1,480582
2024-01-16,5312.1,5334.95,5186.0,5212.4,217195
2024-01-17,5194.9,5243.6,5133.45,5174.2,330783
2024-01-18,5140.1,5183.95,4983.2,5108.85,333250
2024-01-19,5115.05,5183.35,5030.0,5097.95,266283
2024-01-20,5150.0,5187.65,5010.0,5026.05,45235
2024-01-23,5099.95,5099.95,4912.05,4946.1,259129
2024-01-24,4910.0,5031.9,4862.2,5021.95,196697
2024-01-25,5044.95,5075.0,4935.0,4982.55,226741
2024-01-29,4996.1,5048.8,4927.55,4975.25,412804
2024-01-30,4970.0,5023.3,4872.05,4892.7,202501
2024-01-31,4885.0,5050.0,4872.0,5031.65,308427
2024-02-01,5200.0,5200.0,5048.45,5062.0,290940
2024-02-02,5100.0,5215.0,5092.0,5177.15,221142
2024-02-05,5209.9,5289.2,5141.25,5183.45,405725
2024-02-06,5225.0,5370.0,5178.25,5355.75,429105
2024-02-07,5370.0,5419.8,5338.35,5399.15,267773
2024-02-08,5418.0,5509.4,5392.5,5498.0,313465
2024-02-09,5510.55,5538.85,5419.9,5492.6,358435
2024-02-12,5545.0,5545.0,5377.75,5387.2,120644
2024-02-13,5386.1,5444.35,5260.6,5341.6,252090
2024-02-14,5424.8,5424.8,5031.35,5112.55,645089
2024-02-15,5112.55,5177.85,5066.0,5163.35,227501
2024-02-16,5180.2,5298.9,5180.2,5270.75,187545
2024-02-19,5276.0,5380.0,5220.0,5338.45,258086
2024-02-20,5310.1,5388.0,5282.0,5316.6,188305
2024-02-21,5334.95,5360.0,5211.0,5235.75,124388
2024-02-22,5287.7,5352.0,5239.95,5340.35,187613
2024-02-23,5360.0,5437.95,5317.35,5337.15,137993
2024-02-26,5301.1,5328.2,5207.3,5256.95,165164
2024-02-27,5230.1,5428.05,5230.1,5345.45,212412
2024-02-28,5370.0,5415.4,5300.05,5314.9,162401
2024-02-29,5310.0,5347.0,5211.55,5267.75,520127
2024-03-01,5287.6,5332.45,5191.6,5284.25,155335
2024-03-02,5232.0,5235.05,5131.75,5183.75,45659
2024-03-04,5280.0,5361.75,5145.6,5157.6,368866
2024-03-05,5169.0,5170.0,5012.9,5022.55,286538
2024-03-06,5017.45,5141.95,5005.0,5075.95,444366
2024-03-07,5080.0,5130.0,5026.0,5088.5,334871
2024-03-11,5120.25,5190.0,5000.1,5161.05,432746
2024-03-12,5161.05,5243.2,5124.4,5154.1,243980
2024-03-13,5160.0,5236.95,5044.25,5107.2,432451
2024-03-14,5072.5,5220.0,4969.55,5203.15,260941
2024-03-15,5161.3,5280.0,5161.3,5241.2,274014
2024-03-18,5241.15,5280.0,5178.25,5196.35,205541
2024-03-19,5170.05,5215.45,5069.3,5095.0,142022
2024-03-20,5052.0,5129.0,5052.0,5101.45,193337
2024-03-21,5131.0,5318.95,5130.0,5302.55,297803
2024-03-22,5292.3,5292.3,5068.05,5243.1,383811
2024-03-26,5243.1,5292.25,5152.2,5217.0,160867
2024-03-27,5219.9,5544.3,5205.25,5475.55,758554
2024-03-28,5481.0,5631.8,5415.0,5592.0,573245
2024-04-01,5600.0,5802.3,5592.05,5709.15,399617
2024-04-02,5698.1,5733.1,5637.5,5656.0,164343
2024-04-03,5629.95,5656.85,5579.5,5614.0,134620
