date,open,high,low,close,volume
2023-12-26,2548.6,2560.0,2536.5,2556.2,617850
2023-12-27,2560.0,2576.8,2558.05,2572.05,714160
2023-12-28,2587.0,2637.4,2577.5,2625.0,1577720
2023-12-29,2625.0,2665.0,2614.55,2658.05,1034080
2024-01-01,2665.0,2744.5,2664.0,2737.25,1316100
2024-01-02,2750.0,2769.3,2702.4,2722.3,1415770
2024-01-03,2734.5,2741.75,2657.3,2663.5,1013460
2024-01-04,2685.1,2715.0,2665.2,2711.65,1323900
2024-01-05,2754.0,2754.0,2642.45,2666.4,2577064
2024-01-08,2683.0,2689.0,2611.0,2619.3,1032378
2024-01-09,2640.0,2640.3,2586.95,2592.6,813027
2024-01-10,2590.0,2622.4,2570.45,2578.1,1026468
2024-01-11,2580.0,2589.95,2550.1,2557.2,775667
2024-01-12,2557.2,2559.95,2530.0,2549.6,1107055
2024-01-15,2564.0,2576.15,2530.65,2547.55,893834
2024-01-16,2556.9,2556.9,2531.35,2542.05,693370
2024-01-17,2542.05,2557.15,2525.4,2543.1,801619
2024-01-18,2535.0,2550.0,2496.15,2502.0,634910
2024-01-19,2510.0,2521.9,2499.7,2514.15,941391
2024-01-20,2520.0,2525.0,2470.8,2479.95,445592
2024-01-23,2480.0,2498.2,2446.0,2462.9,690538
2024-01-24,2477.9,2519.4,2455.0,2513.95,659038
2024-01-25,2525.05,2528.0,2467.7,2482.15,785773
2024-01-29,2482.15,2505.0,2476.6,2498.55,632719
2024-01-30,2512.0,2531.15,2488.0,2492.05,668034
2024-01-31,2509.0,2511.75,2481.7,2506.0,716094
2024-02-01,2510.0,2510.9,2462.7,2467.8,820566
2024-02-02,2468.0,2496.0,2463.05,2481.4,754061
2024-02-05,2505.0,2505.0,2456.7,2462.7,532977
2024-02-06,2462.35,2477.95,2445.75,2456.65,770183
2024-02-07,2470.0,2511.55,2446.7,2499.6,1547404
2024-02-08,2503.95,2513.85,2409.1,2423.05,1654447
2024-02-09,2442.85,2465.9,2420.05,2450.1,838819
2024-02-12,2459.75,2467.95,2439.3,2459.05,445269
2024-02-13,2474.0,2476.6,2444.95,2457.35,310985
2024-02-14,2450.0,2497.35,2435.05,2487.0,509308
2024-02-15,2495.0,2495.0,2438.0,2453.55,840476
2024-02-16,2457.05,2490.5,2448.6,2487.65,746616
