date,open,high,low,close,volume
2023-12-26,731.5,755.2,722.5,754.8,230914
2023-12-27,752.95,772.5,731.5,763.05,142106
2023-12-28,768.0,779.0,762.5,765.2,63288
2023-12-29,783.0,783.0,755.5,781.1,99428
2024-01-01,805.0,809.0,781.5,795.1,97696
2024-01-02,795.1,798.3,780.0,793.25,101680
2024-01-03,800.0,800.0,776.0,788.7,71722
2024-01-04,798.5,815.0,780.0,803.6,120230
2024-01-05,822.5,822.5,792.3,800.3,189102
2024-01-08,818.5,818.5,795.0,798.85,153506
2024-01-09,811.0,811.0,778.5,786.35,147048
2024-01-10,794.5,794.5,752.5,770.8,197956
2024-01-11,790.0,790.0,772.3,778.4,304142
2024-01-12,814.9,817.3,793.15,817.3,214218
2024-01-15,826.0,858.15,820.0,858.15,178646
2024-01-16,880.0,901.05,850.0,900.3,425034
2024-01-17,895.0,895.0,855.9,871.2,238040
2024-01-18,868.0,868.0,827.65,835.05,150244
2024-01-19,858.0,860.9,820.0,833.65,108998
2024-01-20,818.0,834.0,803.0,824.45,130095
2024-01-23,825.0,830.0,794.0,814.75,295022
2024-01-24,820.0,833.0,785.1,828.5,197549
2024-01-25,832.0,865.0,832.0,860.55,420852
2024-01-29,865.0,869.9,831.0,844.5,182467
2024-01-30,859.9,860.0,835.0,843.65,69621
2024-01-31,840.0,850.0,819.0,849.8,157865
2024-02-01,867.0,878.95,844.0,863.6,201860
2024-02-02,863.6,867.0,835.0,844.1,99256
2024-02-05,844.1,850.0,802.0,808.7,169939
2024-02-06,808.7,849.0,790.05,841.65,255556
2024-02-07,857.0,857.0,819.95,821.7,84784
2024-02-08,821.7,836.0,790.0,806.5,157247
2024-02-09,791.0,806.5,767.0,797.05,129999
2024-02-12,797.05,797.05,757.2,757.2,120389
2024-02-13,757.0,757.0,719.35,719.35,150138
2024-02-14,699.85,744.0,685.15,735.4,213379
2024-02-15,758.0,772.15,746.85,770.85,246623
2024-02-16,804.9,804.9,774.4,788.15,263399
2024-02-19,774.4,785.0,748.75,754.45,198700
2024-02-20,751.0,782.7,740.0,749.95,205986
2024-02-21,747.95,765.0,742.0,760.0,96645
2024-02-22,742.35,764.25,742.35,763.1,102565
2024-02-23,775.0,801.25,769.0,801.25,295815
2024-02-26,830.0,845.0,812.0,829.95,325879
2024-02-27,830.0,846.0,820.55,829.85,165696
2024-02-28,830.0,834.0,776.25,788.95,162207
2024-02-29,788.9,861.9,788.85,849.15,593788
2024-03-01,861.85,870.0,823.05,833.7,189695
2024-03-02,840.25,854.0,820.0,850.25,42857
2024-03-04,862.95,868.0,844.0,853.4,200292
2024-03-05,859.4,894.9,835.0,852.35,363912
2024-03-06,852.35,856.85,790.0,803.85,335124
2024-03-07,803.8,815.0,778.0,787.05,171881
2024-03-11,804.95,804.95,735.0,745.75,333510
2024-03-12,755.0,774.0,714.1,763.5,390191
2024-03-13,785.0,785.0,710.0,715.35,289285
2024-03-14,676.05,747.95,676.05,731.7,165179
2024-03-15,742.0,769.1,688.0,736.6,2075683
2024-03-18,728.1,748.25,715.0,719.25,127291
2024-03-19,719.25,730.0,704.7,711.2,93235
2024-03-20,715.0,732.0,710.0,722.25,130304
2024-03-21,725.0,746.0,725.0,738.6,96005
2024-03-22,742.15,765.0,731.1,762.95,87307
2024-03-26,770.0,770.0,754.95,764.55,113140
2024-03-27,760.1,796.45,760.1,788.0,151060
2024-03-28,809.95,809.95,785.05,795.2,139704
2024-04-01,812.0,815.0,787.65,794.45,152827
2024-04-02,800.0,831.95,790.2,794.65,682908
2024-04-03,792.45,806.25,782.8,793.25,128789
2024-04-04,798.65,803.9,786.1,790.9,121292
2024-04-05,789.0,818.95,788.0,799.05,129627
2024-04-08,816.0,826.9,801.85,818.15,143175
2024-04-09,825.0,854.0,818.25,831.1,381891
2024-04-10,842.0,842.6,800.0,806.05,130028
2024-04-12,814.1,814.1,768.4,774.15,146641
2024-04-15,761.0,773.1,740.15,752.0,161378
2024-04-16,747.6,773.95,747.0,768.0,137888
2024-04-18,752.0,774.0,735.0,737.75,241358
2024-04-19,737.75,744.0,724.1,733.0,73480
2024-04-22,739.95,749.95,734.7,736.15,82391
2024-04-23,738.95,749.85,734.55,745.3,106681
2024-04-24,749.95,758.75,746.0,752.15,66597
2024-04-25,757.0,808.4,752.7,803.95,292876
2024-04-26,807.95,832.0,796.1,805.6,200710
2024-04-29,808.9,880.0,799.95,866.45,530757
2024-04-30,872.0,995.0,856.0,929.05,2856099
2024-05-02,936.0,997.4,918.0,982.55,1043259
2024-05-03,989.9,1050.0,975.0,1022.25,830716
2024-05-06,1034.4,1058.1,981.0,990.35,354413
