date,open,high,low,close,volume
2023-12-26,61.21,64.18,60.92,63.18,93768723
2023-12-27,63.74,63.86,62.05,63.05,33151062
2023-12-28,63.44,64.98,62.97,64.89,78062277
2023-12-29,65.37,66.66,63.77,65.7,68433558
2024-01-01,66.09,67.39,65.56,66.28,51615849
2024-01-02,66.79,69.03,65.99,68.31,106314534
2024-01-03,68.27,68.89,66.77,68.19,45354606
2024-01-04,68.72,70.48,68.72,70.17,59333100
2024-01-05,70.0,71.38,69.06,69.9,45965283
2024-01-08,70.2,70.27,67.25,67.49,45995325
2024-01-09,68.7,69.24,67.9,68.22,30473721
2024-01-10,67.9,67.9,65.68,66.08,55437963
2024-01-11,66.6,66.91,65.55,65.68,25756722
2024-01-12,66.09,66.84,65.34,66.24,27971124
2024-01-15,67.25,67.39,65.29,65.61,40496259
2024-01-16,65.75,67.1,64.32,66.69,53173383
2024-01-17,65.76,66.23,64.21,64.64,45128694
2024-01-18,64.64,65.41,61.49,63.74,56021649
2024-01-19,64.69,66.24,64.08,66.08,38519142
2024-01-20,66.66,68.31,65.95,66.72,47345232
2024-01-23,67.34,67.71,63.07,63.38,59548896
2024-01-24,64.16,66.62,63.7,66.38,53581488
2024-01-25,67.0,68.29,66.52,68.11,54609993
2024-01-29,68.89,69.67,68.19,69.33,50979381
2024-01-30,69.62,70.14,68.72,68.94,26510319
2024-01-31,69.19,69.66,68.51,68.98,21678369
2024-02-01,69.67,71.19,68.61,70.77,46716180
2024-02-02,72.03,74.67,71.51,74.04,116794920
2024-02-05,75.47,77.73,74.57,75.94,94601658
2024-02-06,76.19,76.92,73.86,76.62,59841120
2024-02-07,77.54,77.74,75.47,76.58,52172340
2024-02-08,77.01,77.54,75.65,76.89,27368601
2024-02-09,76.87,77.11,73.46,75.95,38488728
2024-02-12,75.71,76.99,71.67,72.27,47138400
2024-02-13,73.7,73.7,70.37,71.22,48703704
2024-02-14,70.77,74.6,70.1,74.04,45496641
2024-02-15,78.31,79.47,76.44,77.71,187542936
2024-02-16,78.05,78.05,75.85,76.87,59836356
2024-02-19,77.34,78.82,76.96,77.5,39536532
2024-02-20,78.13,78.24,75.22,75.78,56029344
2024-02-21,77.01,77.01,72.67,73.09,63622833
2024-02-22,73.86,75.34,72.67,75.15,53701776
2024-02-23,75.75,75.75,74.18,74.93,48621681
2024-02-26,74.88,75.22,73.31,73.85,45095202
2024-02-27,73.94,74.52,71.65,72.51,62647536
2024-02-28,73.14,73.91,71.53,71.86,57629769
2024-02-29,72.17,73.97,71.28,72.78,491520069
2024-03-01,73.27,75.57,73.17,74.44,46149936
2024-03-02,74.74,75.7,74.69,75.61,4003563
2024-03-04,76.19,77.93,75.34,77.34,49682751
2024-03-05,77.3,78.46,77.02,78.18,41868192
2024-03-06,78.27,79.0,75.9,77.63,39410871
2024-03-07,76.84,78.55,76.44,76.94,45042561
2024-03-11,75.71,76.52,73.56,73.73,44313108
2024-03-12,73.78,74.41,71.22,72.01,47253039
2024-03-13,71.84,72.22,65.53,66.19,66596313
2024-03-14,65.56,67.18,63.52,65.07,87923217
2024-03-15,65.37,65.89,61.33,63.91,75762474
2024-03-18,63.92,65.87,62.85,65.31,58324524
2024-03-19,65.31,67.22,64.34,64.54,71376654
2024-03-20,65.21,66.52,64.92,66.31,69987957
2024-03-21,66.28,67.37,65.99,66.95,48410466
