date,open,high,low,close,volume
2023-12-26,3999.9,4003.95,3909.6,3918.7,145162
2023-12-27,3927.0,3960.0,3917.5,3954.5,125786
2023-12-28,3970.95,3970.95,3935.0,3957.55,50195
2023-12-29,3954.9,4017.45,3935.15,3972.8,180409
2024-01-01,4060.0,4118.0,4040.0,4098.85,363086
2024-01-02,4109.9,4268.0,4100.0,4226.55,339737
2024-01-03,4258.0,4258.0,4086.0,4097.4,139559
2024-01-04,4090.0,4137.95,4067.25,4097.7,154455
2024-01-05,4139.9,4326.55,4114.7,4217.65,496114
2024-01-08,4248.0,4251.0,4093.0,4111.65,99905
2024-01-09,4174.0,4197.85,4090.0,4108.85,96627
2024-01-10,4139.75,4139.75,4051.0,4094.15,93121
2024-01-11,4134.8,4153.4,4081.25,4087.1,94549
2024-01-12,4144.9,4460.0,4140.05,4416.75,639005
2024-01-15,4460.0,4865.5,4441.95,4830.55,1316780
2024-01-16,4810.0,4820.0,4625.5,4672.9,315994
2024-01-17,4628.0,4869.9,4582.55,4846.2,676853
2024-01-18,5354.8,6382.8,5354.8,6305.5,5287747
2024-01-19,6261.0,6933.4,6182.1,6637.1,5015168
2024-01-20,6709.95,6740.0,6382.0,6460.5,439220
2024-01-23,6450.0,6450.0,6171.0,6249.5,493230
2024-01-24,6246.05,6489.4,6220.0,6362.35,438774
2024-01-25,6421.0,6819.0,6410.0,6467.3,809697
2024-01-29,6482.2,6517.85,6342.6,6391.5,200607
2024-01-30,6408.2,6509.0,6171.0,6201.55,221779
2024-01-31,6204.0,6317.9,6162.05,6281.1,151480
2024-02-01,6281.0,6281.1,6141.0,6203.15,103305
2024-02-02,6249.0,6467.95,6200.25,6324.1,200406
2024-02-05,6346.0,6580.0,6327.75,6376.6,232016
2024-02-06,6458.0,6859.9,6380.0,6794.9,508020
2024-02-07,6850.0,6890.0,6610.5,6783.7,199421
2024-02-08,6829.9,7122.0,6760.45,6993.15,390965
2024-02-09,7030.05,7350.0,6835.0,7285.75,416579
2024-02-12,7285.0,7359.0,6896.1,6958.8,253151
2024-02-13,6959.95,7513.1,6958.8,7460.85,467045
2024-02-14,7343.35,7608.0,7215.45,7525.85,296784
2024-02-15,7595.0,7890.0,7380.0,7571.8,444322
2024-02-16,7640.0,7752.45,7520.0,7677.5,219218
2024-02-19,7679.95,7787.0,7504.8,7577.35,176152
2024-02-20,7609.0,7682.0,7460.0,7556.25,126862
2024-02-21,7561.9,7650.0,7467.85,7512.85,111685
2024-02-22,7528.85,7694.2,7394.0,7669.15,227277
2024-02-23,7761.0,7949.45,7633.6,7650.3,372633
2024-02-26,7665.0,7734.0,7523.85,7646.75,132941
2024-02-27,7708.2,7774.9,7574.0,7609.75,132516
2024-02-28,7619.95,7658.25,7382.85,7409.35,162364
2024-02-29,7390.0,7473.0,7342.6,7433.0,184882
2024-03-01,7484.95,7600.0,7395.0,7470.05,81008
2024-03-02,7529.95,7560.0,7485.45,7519.5,7087
2024-03-04,7536.95,7610.0,7461.55,7540.8,122205
2024-03-05,7534.6,7559.0,7390.8,7495.45,74394
2024-03-06,7450.0,7830.0,7362.55,7766.3,229935
2024-03-07,7844.0,8145.0,7714.1,8061.8,457762
2024-03-11,8232.35,8232.35,7818.05,7863.45,216571
2024-03-12,8084.95,8379.2,7950.0,8030.4,1196903
2024-03-13,8130.0,8176.9,7720.0,7793.15,484645
2024-03-14,7760.0,8259.0,7665.0,8230.2,411117
2024-03-15,8230.2,8243.95,7905.0,8213.3,503281
2024-03-18,8240.0,8458.0,8065.0,8374.1,435341
2024-03-19,8360.0,8405.0,8009.6,8034.75,405472
2024-03-20,8060.0,8130.7,7888.75,8001.8,291971
2024-03-21,8081.05,8210.0,8023.1,8170.2,247898
2024-03-22,8052.1,8208.0,7900.0,8138.95,288085
2024-03-26,8110.0,8570.0,8060.0,8524.3,505302
2024-03-27,8555.0,8648.0,8489.05,8562.25,304430
2024-03-28,8562.25,8654.0,8482.25,8534.1,243381
2024-04-01,8559.0,8783.0,8540.05,8709.65,238495
2024-04-02,8620.0,8710.0,8510.0,8586.2,205259
2024-04-03,8586.2,8707.0,8527.55,8598.3,148508
2024-04-04,8669.95,8699.95,8462.0,8554.05,150707
2024-04-05,8525.0,8581.5,8510.1,8535.45,104436
2024-04-08,8610.0,8624.0,8305.25,8323.1,210012
2024-04-09,8353.0,8517.0,8130.05,8150.4,230661
2024-04-10,8185.0,8234.7,8047.55,8090.65,175896
2024-04-12,8071.0,8109.85,7950.0,7964.2,280609
2024-04-15,7960.0,7976.75,7797.0,7817.55,202507
2024-04-16,7773.0,7841.35,7600.7,7618.4,200925
2024-04-18,7658.0,7749.85,7462.6,7485.95,324760
2024-04-19,7421.0,7470.8,7286.25,7362.75,310748
2024-04-22,7420.0,7440.85,7093.0,7298.5,377745
2024-04-23,7380.0,7401.95,7080.0,7106.75,423409
2024-04-24,7141.9,7259.0,7099.3,7118.8,334626
2024-04-25,6911.3,7338.5,6871.0,6903.05,1100513
2024-04-26,6910.0,7285.0,6900.0,7250.6,771387
2024-04-29,7350.0,7350.0,7140.0,7211.65,252212
2024-04-30,7260.95,7419.3,7162.15,7358.65,424873
2024-05-02,7375.0,7535.0,7355.05,7520.25,301938
2024-05-03,7604.0,7604.0,7470.0,7540.7,339722
2024-05-06,7630.0,7667.0,7561.0,7620.5,314006
2024-05-07,7725.0,7805.0,7560.2,7667.65,381686
2024-05-08,7625.05,7732.35,7620.0,7642.75,135120
2024-05-09,7642.75,7700.0,7540.15,7560.15,145232
2024-05-10,7570.0,7608.45,7434.0,7580.75,119050
2024-05-13,7580.0,7763.95,7517.15,7751.8,136013
2024-05-14,7784.65,7870.0,7666.05,7829.65,136326
2024-05-15,7849.85,7964.95,7756.5,7780.35,115498
2024-05-16,7779.95,7984.0,7770.9,7891.75,154700
