date,open,high,low,close,volume
2023-12-26,4250.0,4250.0,4203.7,4231.85,8034
2023-12-27,4231.9,4287.0,4211.2,4261.7,16121
2023-12-28,4296.0,4311.0,4245.1,4262.5,15417
2023-12-29,4290.0,4302.0,4230.0,4268.95,68213
2024-01-01,4297.0,4297.0,4235.35,4267.5,10807
2024-01-02,4275.05,4300.0,4255.25,4290.65,13380
2024-01-03,4300.0,4389.0,4291.75,4376.05,21230
2024-01-04,4376.7,4405.75,4376.7,4395.55,19550
2024-01-05,4390.55,4425.0,4383.3,4398.2,14310
2024-01-08,4411.0,4419.55,4351.25,4394.55,18559
2024-01-09,4399.95,4399.95,4355.05,4377.9,11658
2024-01-10,4377.9,4416.15,4350.0,4401.05,15592
2024-01-11,4412.85,4416.3,4319.75,4333.35,15966
2024-01-12,4355.05,4361.15,4325.75,4347.7,10102
2024-01-15,4359.4,4374.8,4340.1,4360.7,14053
2024-01-16,4342.9,4365.1,4230.15,4268.85,22956
2024-01-17,4268.85,4328.0,4202.55,4252.95,15084
2024-01-18,4211.0,4265.0,4190.05,4250.5,16087
2024-01-19,4294.9,4294.9,4268.85,4281.6,55932
2024-01-20,4284.75,4290.0,4195.0,4227.45,3828
2024-01-23,4227.45,4255.9,4145.1,4188.7,12155
2024-01-24,4198.95,4252.5,4153.2,4229.65,10799
2024-01-25,4230.0,4301.0,4187.0,4289.55,12725
2024-01-29,4291.0,4387.25,4291.0,4343.7,21935
2024-01-30,4347.25,4370.0,4318.05,4342.2,7581
2024-01-31,4341.7,4362.65,4300.0,4323.0,7185
2024-02-01,4325.55,4698.0,4325.55,4578.2,249930
2024-02-02,4646.85,4712.9,4570.05,4659.95,50537
2024-02-05,4749.95,4799.0,4654.55,4706.2,41680
2024-02-06,4749.0,4839.8,4704.65,4769.05,32514
2024-02-07,4790.25,4803.85,4575.0,4593.95,31059
2024-02-08,4637.0,4637.0,4500.0,4515.35,10495
2024-02-09,4549.0,4555.35,4334.7,4360.8,128731
2024-02-12,4360.0,4571.95,4332.3,4360.7,35414
2024-02-13,4401.7,4419.95,4305.0,4328.85,9513
2024-02-14,4350.0,4524.9,4319.25,4506.0,30478
2024-02-15,4585.0,4612.4,4510.0,4538.6,16879
2024-02-16,4558.0,4623.0,4481.5,4588.25,16335
2024-02-19,4588.25,4695.0,4550.8,4605.35,18292
2024-02-20,4606.05,4638.0,4599.3,4611.3,19933
2024-02-21,4627.95,4648.95,4476.0,4510.55,17736
2024-02-22,4555.65,4555.65,4431.05,4478.05,34710
2024-02-23,4500.0,4500.0,4445.0,4458.7,12587
2024-02-26,4497.8,4498.0,4384.3,4400.2,12626
2024-02-27,4400.2,4463.05,4351.6,4384.2,11326
2024-02-28,4384.2,4607.25,4376.7,4560.75,46747
2024-02-29,4585.0,4677.0,4560.75,4604.9,36397
2024-03-01,4571.0,4598.0,4545.5,4589.95,9560
2024-03-02,4599.0,4630.0,4360.5,4522.3,2824
2024-03-04,4549.95,4637.75,4499.6,4591.75,15716
2024-03-05,4591.75,4679.6,4580.15,4631.45,19456
2024-03-06,4631.45,4640.0,4520.0,4544.25,13852
2024-03-07,4589.9,4600.0,4500.2,4527.05,34399
2024-03-11,4524.95,4549.9,4320.1,4404.45,84424
2024-03-12,4448.0,4461.15,4286.0,4313.9,19239
2024-03-13,4314.35,4389.0,4200.1,4267.0,38858
2024-03-14,4262.25,4299.0,4210.0,4253.5,11311
2024-03-15,4285.05,4402.9,4221.1,4376.1,8982
2024-03-18,4380.0,4398.7,4299.95,4338.55,5202
2024-03-19,4290.0,4379.95,4290.0,4347.3,12124
2024-03-20,4347.3,4400.0,4285.25,4365.95,8388
2024-03-21,4365.95,4449.95,4300.0,4346.65,7866
2024-03-22,4359.65,4363.5,4312.5,4348.9,14023
2024-03-26,3950.0,4347.4,3950.0,4272.15,27759
2024-03-27,4280.0,5000.0,4081.05,4204.35,102860
2024-03-28,4380.0,4674.95,4175.0,4194.95,179513
2024-04-01,4200.0,4480.0,4200.0,4448.35,28241
2024-04-02,4400.0,4448.15,4316.0,4357.65,35586
2024-04-03,4384.7,4405.45,4334.8,4362.75,28100
2024-04-04,4341.0,4369.6,4308.1,4327.55,83880
2024-04-05,4340.0,4413.75,4334.0,4336.4,31872
2024-04-08,4385.0,4385.0,4263.75,4295.85,35902
2024-04-09,4300.0,4324.0,4215.15,4227.55,11429
2024-04-10,4242.0,4261.95,4174.0,4189.0,21125
2024-04-12,4170.05,4233.95,4141.0,4157.35,68878
2024-04-15,4150.0,4157.35,4099.9,4107.85,13909
2024-04-16,4111.45,4141.9,4085.0,4114.35,14524
2024-04-18,4148.15,4148.15,4075.0,4113.35,57239
2024-04-19,4113.35,4149.0,4075.1,4130.2,12557
2024-04-22,4140.1,4190.25,4098.05,4143.35,17885
2024-04-23,4189.0,4190.0,4132.0,4151.65,7554
2024-04-24,4180.0,4184.0,4113.0,4148.7,15946
2024-04-25,4146.0,4159.95,4095.0,4143.2,12362
2024-04-26,4157.0,4215.2,4129.45,4193.7,10907
2024-04-29,4210.0,4253.35,4141.0,4200.2,31628
2024-04-30,4201.0,4273.5,4200.35,4257.2,25386
2024-05-02,4289.6,4326.35,4232.2,4277.0,64280
2024-05-03,4289.95,4315.0,4195.0,4210.9,10857
2024-05-06,4278.0,4278.0,4175.05,4270.55,15129
2024-05-07,4270.0,4299.0,4211.0,4262.55,10886
2024-05-08,4262.55,4288.0,4205.1,4279.2,11603
2024-05-09,4287.95,4359.9,4242.1,4304.8,14337
2024-05-10,4298.0,4370.0,4222.85,4338.5,13575
2024-05-13,4329.95,4380.0,4305.95,4359.95,39325
2024-05-14,4359.95,4415.9,4301.8,4327.45,22763
2024-05-15,4327.0,4347.4,4252.0,4314.15,16958
2024-05-16,4314.15,4349.65,4288.0,4335.5,14010
2024-05-17,4357.0,4409.95,4310.0,4400.55,26090
2024-05-18,4444.0,4548.95,4440.0,4473.05,11548
2024-05-21,4500.0,4525.0,4331.0,4382.55,46829
2024-05-22,4448.3,4501.0,4383.0,4494.95,45306
2024-05-23,4495.0,4680.0,4480.0,4574.75,36048
2024-05-24,4576.1,4587.45,4488.0,4503.6,31737
2024-05-27,4503.6,4584.95,4468.0,4551.6,18901
2024-05-28,4574.95,4590.0,4512.85,4575.45,12722
2024-05-29,4573.0,4636.95,4539.05,4622.3,16328
2024-05-30,4622.3,4622.9,4505.55,4577.0,34624
2024-05-31,4533.3,4628.0,4529.3,4609.75,19566
2024-06-03,4810.25,4824.95,4696.85,4749.15,49037
2024-06-04,4749.15,4820.0,4475.0,4694.0,57373
2024-06-05,4685.0,4924.0,4680.0,4864.3,42540
2024-06-06,4890.0,4959.05,4859.5,4897.6,23257
2024-06-07,4897.0,5018.15,4864.1,4926.75,77963
2024-06-10,4926.75,4984.95,4874.55,4928.0,53385
2024-06-11,4928.0,4959.95,4876.0,4927.75,19697
2024-06-12,4927.75,4952.05,4850.8,4902.75,37228
2024-06-13,4924.9,4928.65,4854.0,4869.3,7243
2024-06-14,4875.0,4899.95,4810.1,4829.1,9661
2024-06-18,4800.2,4829.1,4735.0,4763.15,27387
2024-06-19,4797.0,4895.0,4747.55,4839.55,28411
2024-06-20,4883.95,4893.9,4780.0,4786.5,19203
2024-06-21,4795.85,4869.95,4563.65,4612.05,279258
2024-06-24,4614.95,4684.0,4579.85,4607.5,23555
2024-06-25,4648.0,4674.0,4585.1,4605.35,17769
2024-06-26,4610.0,4665.0,4600.0,4609.55,7355
2024-06-27,4615.4,4654.85,4501.0,4525.2,39570
2024-06-28,4569.0,4623.0,4509.0,4528.55,33030
2024-07-01,4569.0,4633.75,4543.95,4602.3,15259
2024-07-02,4629.0,4646.0,4565.0,4580.2,8284
2024-07-03,4619.0,4638.0,4548.5,4588.75,12675
2024-07-04,4619.0,4659.6,4580.0,4620.2,12961
2024-07-05,4625.0,4641.35,4592.55,4626.35,7561
2024-07-08,4625.35,4635.75,4575.05,4589.0,7177
2024-07-09,4589.0,4750.0,4585.0,4711.7,30704
2024-07-10,4741.65,5050.0,4741.6,5018.8,229239
2024-07-11,5029.8,5032.85,4908.0,4951.25,31982
2024-07-12,4951.25,4995.0,4829.0,4856.45,28498
2024-07-15,4870.05,5031.95,4832.15,4940.25,217710
2024-07-16,4942.6,5035.0,4942.6,5004.75,30341
2024-07-18,5019.95,5170.0,5013.2,5084.05,60913
2024-07-19,5099.95,5117.9,5033.05,5059.35,17009
2024-07-22,4972.1,5100.0,4970.05,5011.2,12540
2024-07-23,5011.2,5230.0,4980.0,5191.4,56381
