date,open,high,low,close,volume
2023-12-26,245.0,246.9,242.1,245.1,285290
2023-12-27,245.1,248.4,238.2,241.15,331710
2023-12-28,242.8,243.6,239.0,240.1,195180
2023-12-29,238.1,239.7,234.6,237.35,343260
2024-01-01,237.35,240.35,236.25,238.45,109840
2024-01-02,239.8,239.8,225.65,229.1,612350
2024-01-03,228.5,230.1,224.5,227.65,355730
2024-01-04,229.8,229.8,221.4,226.6,157930
2024-01-05,227.8,230.0,221.3,222.8,349630
2024-01-08,223.9,224.0,211.4,215.55,1065860
2024-01-09,216.6,218.4,214.15,215.35,175390
2024-01-10,215.15,219.1,213.2,217.25,181190
2024-01-11,220.5,221.0,215.8,217.35,216860
2024-01-12,217.3,219.4,214.85,216.1,193400
2024-01-15,219.0,219.0,206.0,208.1,879900
2024-01-16,207.5,213.0,206.0,207.05,822340
2024-01-17,206.0,214.0,202.7,211.7,500040
2024-01-18,212.6,212.6,205.55,209.95,350880
2024-01-19,212.9,214.5,208.1,209.75,259900
2024-01-20,209.5,212.5,207.5,208.9,157740
2024-01-23,207.05,211.5,204.25,206.55,276670
2024-01-24,206.95,212.8,205.4,208.5,283130
2024-01-25,208.5,209.75,205.1,206.15,129740
2024-01-29,183.25,205.2,183.25,199.55,2048900
2024-01-30,199.5,200.8,194.0,197.5,731660
2024-01-31,197.85,201.05,191.5,193.1,1400590
2024-02-01,193.3,198.2,190.7,192.85,361260
2024-02-02,193.15,202.65,192.4,198.8,421610
2024-02-05,201.45,201.9,192.45,193.2,587330
2024-02-06,193.7,197.9,193.7,196.4,361240
2024-02-07,197.8,209.1,195.1,206.05,1186970
2024-02-08,208.9,208.9,198.0,199.45,677590
2024-02-09,198.1,203.7,195.0,200.1,664310
2024-02-12,202.5,203.3,179.95,184.05,643090
2024-02-13,186.8,202.5,181.0,186.7,1754590
2024-02-14,186.2,187.2,174.1,177.15,1138190
2024-02-15,177.15,192.4,177.15,184.2,1961770
2024-02-16,187.5,189.0,183.95,187.1,1384010
2024-02-19,189.65,192.0,185.5,188.15,1210220
2024-02-20,188.0,191.5,186.0,191.05,353960
2024-02-21,192.45,192.45,186.25,187.85,502100
2024-02-22,188.4,189.5,186.5,188.4,349950
2024-02-23,189.8,190.1,183.8,184.55,270680
2024-02-26,187.1,187.1,181.6,183.2,445450
2024-02-27,183.2,189.8,182.2,183.8,435760
2024-02-28,184.0,186.4,180.2,181.1,168130
2024-02-29,181.0,183.5,178.6,181.65,313160
2024-03-01,184.1,185.0,182.3,183.3,196460
2024-03-02,183.3,191.5,178.6,184.2,18720
2024-03-04,185.0,186.0,175.65,177.4,584880
2024-03-05,178.9,180.5,176.3,177.3,746330
2024-03-06,175.2,177.15,165.65,168.0,1225880
2024-03-07,168.0,168.3,164.0,164.45,676510
2024-03-11,164.45,164.45,155.25,160.0,1180810
2024-03-12,161.9,161.9,155.3,156.55,568510
2024-03-13,157.8,157.8,148.0,149.0,787930
