date,open,high,low,close,volume
2023-12-26,90.0,90.25,88.25,88.5,35937581
2023-12-27,89.15,92.15,89.05,91.8,62043155
2023-12-28,92.8,97.7,92.8,95.5,178967353
2023-12-29,96.4,96.55,94.8,95.75,65556029
2024-01-01,96.25,99.25,95.75,97.8,55329198
2024-01-02,97.8,98.9,96.1,97.0,50741670
2024-01-03,96.0,97.95,94.8,96.45,73009456
2024-01-04,96.5,97.85,96.45,97.4,37426897
2024-01-05,97.9,97.9,95.65,97.25,42729858
2024-01-08,97.25,97.25,94.8,95.0,47101702
2024-01-09,96.0,96.75,94.6,94.95,33881561
2024-01-10,94.95,95.2,93.35,94.4,54772377
2024-01-11,95.2,95.95,94.2,94.8,28709414
2024-01-12,95.4,98.6,94.7,97.7,78525419
2024-01-15,98.35,99.6,97.8,98.2,46701350
2024-01-16,98.4,100.1,96.8,98.25,60660256
2024-01-17,97.05,99.95,96.4,97.2,98759165
2024-01-18,97.3,99.0,94.3,98.5,60733225
2024-01-19,99.4,102.5,98.9,102.2,104194911
2024-01-20,103.55,105.7,102.6,105.0,51901229
2024-01-23,106.65,106.7,98.15,98.75,83723415
2024-01-24,99.15,102.65,97.8,102.2,65088374
2024-01-25,102.75,106.0,100.65,104.5,111791532
2024-01-29,107.5,109.5,105.45,107.5,108149443
2024-01-30,108.0,110.95,106.9,109.25,75911884
2024-01-31,109.5,114.95,109.05,114.4,113135172
2024-02-01,115.0,119.65,113.7,118.85,134380980
2024-02-02,121.7,128.25,120.1,125.4,167566465
2024-02-05,125.9,126.8,120.8,121.65,92993076
2024-02-06,122.4,122.85,119.1,121.9,53028325
2024-02-07,123.7,125.75,122.85,123.9,65831369
2024-02-08,125.65,127.25,123.05,124.3,83500656
2024-02-09,124.5,124.6,117.8,123.9,69128606
2024-02-12,124.85,125.55,117.1,118.25,65062679
2024-02-13,118.3,123.5,115.7,122.1,76885208
2024-02-14,120.9,124.5,119.5,122.95,57158902
2024-02-15,124.9,129.3,123.6,128.85,102510609
2024-02-16,129.65,132.6,129.3,130.15,111266944
2024-02-19,130.9,131.3,128.2,128.45,44582022
2024-02-20,129.0,130.5,128.2,129.5,32539004
2024-02-21,129.95,131.15,127.2,128.35,54001521
2024-02-22,128.95,129.3,125.65,129.0,41873541
2024-02-23,129.5,130.8,127.0,127.95,48191136
2024-02-26,127.9,128.25,124.3,124.85,41091685
2024-02-27,124.85,125.75,122.6,123.4,37510230
2024-02-28,124.0,125.45,120.15,120.75,52883269
2024-02-29,120.75,125.55,118.7,121.85,356428226
2024-03-01,123.05,125.0,121.0,124.85,52161604
2024-03-02,125.15,126.4,124.6,125.8,3731867
2024-03-04,126.45,126.7,124.75,126.05,43386707
2024-03-05,125.85,130.0,125.5,129.7,60554186
2024-03-06,129.6,130.7,125.6,130.35,82989654
2024-03-07,130.55,131.65,129.5,129.85,38719979
2024-03-11,130.4,132.95,128.1,128.9,55291160
2024-03-12,128.8,130.1,124.85,125.95,43724417
2024-03-13,126.3,126.85,116.9,118.8,69647674
2024-03-14,117.0,122.3,116.3,120.65,54520717
2024-03-15,120.6,121.25,114.9,117.75,61465003
2024-03-18,117.95,120.5,117.25,120.0,31528977
2024-03-19,120.5,120.7,115.95,116.55,33325451
2024-03-20,117.25,118.3,114.15,116.65,43979002
2024-03-21,118.55,121.55,118.4,121.05,38099730
2024-03-22,121.0,123.3,120.1,122.75,35001868
2024-03-26,122.8,124.6,122.15,123.95,30860596
2024-03-27,124.0,125.15,122.2,122.75,42673023
2024-03-28,122.9,125.1,122.9,124.4,29453142
2024-04-01,125.45,126.1,124.9,125.6,24639923
2024-04-02,125.5,127.0,124.95,126.7,29181379
2024-04-03,126.7,136.7,125.6,135.15,100643107
2024-04-04,137.05,137.35,134.0,135.1,81127069
2024-04-05,135.1,137.5,134.3,136.55,44560290
2024-04-08,136.5,136.8,132.5,132.9,41839925
2024-04-09,133.5,134.75,131.25,132.5,25963967
2024-04-10,132.75,136.9,132.35,136.3,48720465
2024-04-12,135.6,138.3,134.6,134.85,40533614
2024-04-15,132.2,135.35,129.25,132.85,45918093
2024-04-16,132.4,132.5,128.2,128.55,45007324
