date,open,high,low,close,volume
2023-12-26,441.4,446.7,439.0,440.25,1166415
2023-12-27,443.2,444.0,430.3,434.1,1522872
2023-12-28,435.4,437.95,430.0,430.2,821029
2023-12-29,430.5,447.5,428.0,435.55,1386162
2024-01-01,440.0,442.85,437.0,438.0,607106
2024-01-02,437.0,439.0,429.1,431.0,720168
2024-01-03,432.7,437.65,430.0,431.1,972813
2024-01-04,441.0,454.0,433.8,450.4,4730223
2024-01-05,450.4,462.9,443.35,458.9,5327387
2024-01-08,461.0,467.0,457.1,459.3,3834220
2024-01-09,463.6,477.2,461.5,474.8,4386128
2024-01-10,476.75,486.6,472.0,481.35,3475217
2024-01-11,483.0,495.85,483.0,491.4,3172332
2024-01-12,491.0,500.0,487.05,496.25,2341469
2024-01-15,496.05,504.6,491.45,501.55,2439830
2024-01-16,499.6,503.5,478.1,492.65,1899013
2024-01-17,487.0,491.55,481.4,483.55,1071918
2024-01-18,481.0,496.75,465.0,490.4,2222443
2024-01-19,509.9,519.7,493.2,503.65,8111094
2024-01-20,514.5,514.5,486.55,490.35,2642071
2024-01-23,493.5,496.8,476.2,482.75,3389030
2024-01-24,483.0,494.05,473.25,477.85,3836411
2024-01-25,481.8,484.8,473.1,477.7,1346996
2024-01-29,477.65,484.6,473.75,482.9,1467086
2024-01-30,482.9,484.8,473.0,474.05,1159685
2024-01-31,472.0,480.0,471.25,478.3,1217574
2024-02-01,480.5,480.5,472.8,476.1,815087
2024-02-02,476.0,478.95,466.0,467.7,1480438
2024-02-05,473.0,487.8,471.5,480.1,1907034
2024-02-06,481.35,490.4,477.5,488.55,1445892
2024-02-07,489.6,495.0,485.4,494.0,1326732
2024-02-08,496.9,496.9,484.05,488.6,1234193
2024-02-09,489.2,493.85,473.7,480.85,1059212
2024-02-12,480.65,482.6,467.3,470.55,871750
2024-02-13,470.55,486.1,468.8,483.6,1003112
2024-02-14,474.15,490.0,471.0,486.0,1306435
2024-02-15,488.5,499.85,486.65,492.1,1980414
2024-02-16,493.1,498.65,448.0,468.1,2787125
2024-02-19,465.95,477.9,462.4,473.2,1868674
2024-02-20,469.8,474.95,467.05,468.85,708630
2024-02-21,469.05,471.55,451.1,459.15,1044281
2024-02-22,461.0,469.0,456.45,466.05,934223
2024-02-23,468.0,468.4,457.7,459.8,703939
2024-02-26,460.95,476.1,460.6,472.85,1222473
2024-02-27,474.8,482.0,470.45,473.25,1400189
2024-02-28,475.8,475.95,454.05,456.0,1085561
2024-02-29,454.5,471.7,447.75,467.0,1239426
2024-03-01,469.8,470.0,458.75,462.75,973148
2024-03-02,464.7,470.0,460.1,465.4,135396
2024-03-04,462.3,466.55,459.05,460.8,898228
2024-03-05,456.5,465.8,455.4,457.8,1115926
2024-03-06,459.0,461.2,439.45,442.4,2391746
2024-03-07,440.0,446.85,431.2,432.7,2481071
2024-03-11,434.8,458.45,433.5,453.5,3714533
2024-03-12,455.45,480.0,445.0,471.95,5844105
2024-03-13,478.0,489.0,447.05,465.35,6444844
2024-03-14,462.3,474.0,455.3,459.6,2242715
2024-03-15,461.7,471.2,452.15,462.9,4640731
2024-03-18,463.95,484.65,457.1,471.55,4228652
2024-03-19,477.0,487.4,461.65,464.6,4509634
2024-03-20,467.7,472.95,457.1,465.5,1219013
2024-03-21,468.0,476.5,468.0,469.05,1405954
2024-03-22,464.0,469.9,460.5,463.0,909462
2024-03-26,464.8,484.5,464.0,478.3,2394858
2024-03-27,481.0,481.5,472.5,475.25,1176943
2024-03-28,478.95,478.95,462.3,465.6,912126
2024-04-01,470.0,481.5,468.25,475.0,1286977
2024-04-02,479.3,479.3,471.4,474.55,936571
2024-04-03,475.0,497.0,474.8,494.6,4762208
2024-04-04,503.0,506.5,492.0,493.7,3016476
2024-04-05,494.1,503.0,491.1,497.4,1978252
2024-04-08,500.0,501.0,485.05,488.7,1565940
2024-04-09,491.3,495.05,483.15,491.3,1156430
2024-04-10,490.95,497.5,486.4,494.7,947568
2024-04-12,492.7,494.95,488.35,493.25,1290165
2024-04-15,484.25,485.3,472.4,481.1,1245053
2024-04-16,477.0,493.4,475.2,489.25,936278
2024-04-18,491.9,505.0,490.5,500.5,3221632
2024-04-19,490.0,506.0,484.9,498.8,1712524
2024-04-22,500.2,514.0,491.5,493.65,3754624
2024-04-23,493.0,499.4,492.35,494.15,1734671
2024-04-24,497.4,499.5,491.6,493.75,3223755
2024-04-25,493.75,498.75,487.5,493.0,1104525
2024-04-26,495.5,496.9,484.0,484.95,1866738
2024-04-29,489.9,495.05,483.25,488.95,2272725
2024-04-30,507.8,507.8,487.0,490.65,7599283
