date,open,high,low,close,volume
2023-12-26,5131.1,5279.95,5125.15,5158.9,31800
2023-12-27,5177.95,5322.0,5166.0,5254.8,29110
2023-12-28,5249.0,5341.15,5201.5,5252.65,30140
2023-12-29,5300.0,5379.95,5241.5,5264.35,44428
2024-01-01,5294.6,5489.0,5274.45,5457.3,29028
2024-01-02,5440.05,5545.05,5348.65,5427.3,23372
2024-01-03,5453.1,5537.15,5404.0,5438.0,40560
2024-01-04,5463.85,5680.0,5388.6,5630.8,35565
2024-01-05,5611.0,5747.2,5557.95,5597.25,29513
2024-01-08,5624.8,5690.0,5508.85,5624.9,23974
2024-01-09,5656.85,5796.95,5656.0,5683.15,46470
2024-01-10,5700.0,5989.0,5637.3,5942.3,70643
2024-01-11,5920.0,6205.05,5907.05,5976.75,63110
2024-01-12,5998.0,6048.95,5852.0,5915.75,74276
2024-01-15,5937.9,5994.75,5850.0,5900.65,47591
2024-01-16,5900.0,6024.3,5881.0,5917.6,63158
2024-01-17,5887.6,6025.0,5815.0,5870.2,58227
2024-01-18,5863.0,6015.5,5790.05,5939.35,23546
2024-01-19,5961.0,6280.0,5961.0,6131.55,37459
2024-01-20,6169.0,6193.0,6015.5,6050.75,8083
2024-01-23,6094.15,6138.35,5780.0,5802.55,32347
2024-01-24,5686.5,5699.0,5465.55,5673.3,143108
2024-01-25,5673.05,6042.7,5673.05,5889.5,45826
2024-01-29,6000.1,6035.0,5760.0,5781.15,13022
2024-01-30,5832.95,5850.0,5590.0,5614.45,21545
2024-01-31,5614.5,5946.0,5614.5,5929.85,33885
2024-02-01,5970.0,5970.05,5679.95,5704.45,25155
2024-02-02,5788.0,5840.7,5665.0,5745.95,14882
2024-02-05,5772.0,6275.0,5715.4,6190.65,71916
2024-02-06,6225.0,6520.0,6080.0,6147.5,83838
2024-02-07,6200.5,6379.95,6192.1,6252.8,26840
2024-02-08,6288.0,6418.0,6211.35,6249.9,21718
2024-02-09,6287.9,6298.0,6034.5,6190.6,54047
2024-02-12,6198.0,6298.0,5970.05,6008.4,45076
2024-02-13,6027.0,6027.0,5850.8,5952.0,53170
2024-02-14,5952.65,5995.95,5850.0,5875.15,34315
2024-02-15,5904.5,6019.95,5825.35,5861.8,31355
2024-02-16,5872.15,6070.0,5872.15,5980.85,28877
2024-02-19,5979.45,6250.0,5976.45,6213.6,41745
2024-02-20,6230.2,6298.0,6061.5,6103.35,11821
2024-02-21,6135.5,6270.0,5812.0,5857.15,33344
2024-02-22,5888.0,5897.95,5737.95,5819.4,43015
2024-02-23,5844.95,5990.0,5805.0,5896.65,47481
2024-02-26,5925.0,5950.0,5841.5,5881.2,11821
2024-02-27,5904.45,6040.0,5815.6,5856.2,21526
2024-02-28,5871.6,5951.7,5810.1,5913.9,22126
2024-02-29,5949.9,6050.0,5853.5,6004.2,17650
2024-03-01,6046.55,6116.0,6005.05,6080.55,26232
2024-03-02,6099.05,6173.0,6012.9,6128.2,1070
2024-03-04,6134.3,6243.75,6048.05,6101.9,71924
2024-03-05,6132.4,6412.85,6116.1,6327.3,242731
2024-03-06,6365.0,6457.3,6113.45,6290.5,38608
2024-03-07,6299.05,6596.0,6299.05,6548.8,34922
2024-03-11,6620.0,6800.0,6481.5,6521.6,65104
2024-03-12,6582.25,6637.8,6363.75,6469.1,30449
2024-03-13,6500.0,6549.7,6271.1,6370.95,41320
2024-03-14,6335.85,6790.0,6300.0,6718.1,58349
2024-03-15,6750.0,6875.0,6500.0,6634.35,40094
2024-03-18,6698.0,6698.0,6440.0,6503.45,27799
2024-03-19,6516.3,6635.35,6480.05,6501.05,17218
2024-03-20,6546.9,6749.95,6328.0,6661.95,31354
2024-03-21,6680.0,7450.0,6680.0,7242.0,159934
2024-03-22,7240.0,7376.5,7094.9,7178.75,71744
2024-03-26,6952.0,7183.6,6951.0,6985.35,44066
2024-03-27,6985.0,7077.1,6885.35,7004.3,36568
2024-03-28,7032.9,7148.0,6938.95,6971.7,24215
2024-04-01,7033.25,7249.95,6954.5,7023.95,34316
2024-04-02,7079.6,7130.0,6842.0,6860.85,23813
2024-04-03,6867.95,6953.0,6825.65,6925.35,17580
2024-04-04,6915.05,7040.05,6851.7,6876.85,20186
2024-04-05,6861.2,7222.15,6814.4,7123.25,59151
2024-04-08,7145.1,7581.0,7145.1,7540.65,84077
2024-04-09,7550.05,7879.45,7550.05,7737.45,122273
