date,open,high,low,close,volume
2023-12-26,297.85,301.75,294.0,297.75,3613177
2023-12-27,299.0,302.8,294.2,296.5,2245883
2023-12-28,297.5,298.85,292.55,293.45,1904472
2023-12-29,298.0,348.0,297.55,338.0,45390991
2024-01-01,340.9,371.15,339.95,353.05,31508799
2024-01-02,355.15,363.9,345.35,353.95,12587553
2024-01-03,354.0,374.0,349.2,363.25,15491354
2024-01-04,366.0,369.7,353.0,355.25,10470903
2024-01-05,357.4,361.0,347.7,355.85,4043982
2024-01-08,356.75,357.4,343.55,347.15,6629486
2024-01-09,350.9,355.3,346.0,349.25,6116697
2024-01-10,351.05,356.5,345.6,351.3,6277305
2024-01-11,353.3,359.8,351.5,352.95,4931697
2024-01-12,355.0,358.4,353.1,355.5,2303153
2024-01-15,357.5,374.4,356.0,365.55,12979689
2024-01-16,367.35,374.4,352.15,359.45,6458140
2024-01-17,356.95,368.0,349.2,362.85,5747854
2024-01-18,367.55,372.7,345.1,363.0,6218795
2024-01-19,365.6,395.9,362.2,386.8,26165417
2024-01-20,390.0,453.9,389.1,444.0,31661864
2024-01-23,446.0,449.3,382.95,387.25,27738038
2024-01-24,387.25,407.05,369.0,397.4,14014839
2024-01-25,407.05,459.2,406.2,437.75,59292767
2024-01-29,440.8,446.5,428.0,430.15,9928039
2024-01-30,433.7,450.95,420.0,423.65,8411710
2024-01-31,427.0,439.5,421.7,437.45,7534984
2024-02-01,443.0,446.75,417.2,419.95,10730870
2024-02-02,424.0,426.6,411.55,419.0,5184893
2024-02-05,422.0,429.5,405.0,409.6,4771098
2024-02-06,410.9,414.0,398.0,410.65,4665753
2024-02-07,414.8,438.5,412.85,424.65,8557930
2024-02-08,429.0,446.5,422.6,432.35,8199828
2024-02-09,430.0,441.0,393.1,396.85,9165487
2024-02-12,396.85,398.6,356.0,363.3,11328623
2024-02-13,358.0,381.7,354.75,366.5,10213124
2024-02-14,366.0,385.5,361.8,376.4,6295167
2024-02-15,379.85,391.8,378.7,384.95,4384229
2024-02-16,386.45,388.8,371.7,378.7,3936621
2024-02-19,380.0,408.6,378.5,390.25,7770487
2024-02-20,392.0,399.75,386.65,389.8,2543909
2024-02-21,391.8,394.7,374.2,375.8,2559860
2024-02-22,378.8,383.0,369.0,380.35,2465889
2024-02-23,381.85,413.3,381.55,407.75,15712272
2024-02-26,409.9,428.0,404.2,424.85,10397183
2024-02-27,418.0,483.6,417.4,469.95,48166328
2024-02-28,473.5,491.45,448.25,454.45,21720777
2024-02-29,456.0,458.2,433.35,448.95,14087679
2024-03-01,455.0,458.5,443.85,446.55,6447880
2024-03-02,446.85,464.7,442.0,458.9,1259604
2024-03-04,459.8,469.35,438.55,440.65,5682501
2024-03-05,442.65,451.25,430.7,438.3,7003977
2024-03-06,434.9,438.35,414.65,418.2,4755245
2024-03-07,419.3,428.55,418.6,421.35,3888393
2024-03-11,422.65,433.95,406.7,411.25,3789355
2024-03-12,411.25,413.2,382.35,385.3,5599997
2024-03-13,387.95,394.7,308.25,308.25,14482150
2024-03-14,308.15,339.05,301.4,339.05,8014390
