date,open,high,low,close,volume
2023-12-26,1125.0,1129.55,1114.0,1123.3,48690
2023-12-27,1126.0,1148.8,1122.75,1135.35,113740
2023-12-28,1146.7,1215.9,1143.0,1193.35,634462
2023-12-29,1193.35,1199.4,1161.05,1193.05,260301
2024-01-01,1200.4,1224.0,1183.0,1220.3,234465
2024-01-02,1238.55,1238.55,1195.7,1207.2,150464
2024-01-03,1210.0,1212.15,1194.0,1201.75,109258
2024-01-04,1205.05,1248.0,1194.85,1226.0,156733
2024-01-05,1235.0,1256.95,1227.85,1251.15,124393
2024-01-08,1251.15,1297.2,1251.15,1290.15,165140
2024-01-09,1320.0,1329.85,1270.05,1301.85,162536
2024-01-10,1295.0,1329.0,1259.7,1312.75,171210
2024-01-11,1302.3,1322.2,1282.35,1294.75,277321
2024-01-12,1294.05,1309.95,1271.15,1283.2,100308
2024-01-15,1284.25,1323.45,1267.0,1280.55,211398
2024-01-16,1285.0,1298.0,1267.65,1278.9,107201
2024-01-17,1277.0,1281.0,1225.6,1235.65,109860
2024-01-18,1241.55,1292.95,1241.55,1285.2,154731
2024-01-19,1290.1,1305.45,1255.2,1263.05,109305
2024-01-20,1268.65,1286.25,1251.05,1258.6,29930
2024-01-23,1261.0,1262.5,1208.2,1235.4,122857
2024-01-24,1235.4,1251.95,1213.0,1223.3,90848
2024-01-25,1201.6,1228.0,1201.6,1217.0,112374
2024-01-29,1217.0,1246.0,1207.1,1239.5,44575
2024-01-30,1239.5,1240.0,1206.8,1222.3,149415
2024-01-31,1221.9,1234.1,1209.95,1217.6,129301
2024-02-01,1225.0,1225.4,1176.0,1191.6,104873
2024-02-02,1191.6,1193.45,1172.55,1182.0,113664
2024-02-05,1182.0,1208.7,1170.5,1181.85,106889
2024-02-06,1190.0,1230.0,1188.25,1226.6,180148
2024-02-07,1253.25,1263.6,1216.4,1248.9,175820
2024-02-08,1249.95,1273.35,1223.05,1244.8,143005
2024-02-09,1244.85,1255.0,1222.0,1241.75,157864
2024-02-12,1245.0,1264.3,1204.95,1254.1,85133
2024-02-13,1264.9,1284.1,1244.2,1275.8,122428
2024-02-14,1276.5,1333.25,1256.55,1317.6,133114
2024-02-15,1328.2,1342.45,1263.05,1269.65,152507
2024-02-16,1275.55,1284.5,1228.45,1250.55,117484
2024-02-19,1250.6,1271.0,1230.15,1260.65,80382
2024-02-20,1270.1,1303.35,1253.0,1267.1,203447
2024-02-21,1273.3,1292.95,1261.45,1275.1,85571
2024-02-22,1279.05,1290.0,1255.0,1279.1,78633
2024-02-23,1285.1,1292.45,1272.0,1280.4,42540
2024-02-26,1286.1,1304.0,1273.3,1293.35,60106
2024-02-27,1293.0,1299.0,1272.5,1286.35,52081
2024-02-28,1294.0,1487.65,1285.1,1429.2,3226540
2024-02-29,1429.2,1430.0,1323.0,1357.2,1725272
2024-03-01,1357.2,1403.55,1272.1,1325.3,527031
2024-03-02,1310.0,1319.65,1259.05,1300.65,47996
2024-03-04,1285.0,1297.45,1188.55,1199.05,623023
2024-03-05,1199.0,1223.85,1141.0,1157.15,711972
2024-03-06,1161.9,1169.9,1114.05,1121.95,313487
2024-03-07,1140.0,1165.95,1123.65,1129.05,280893
2024-03-11,1134.95,1153.95,1127.7,1133.6,171123
2024-03-12,1143.0,1143.0,1097.3,1100.1,234993
2024-03-13,1091.0,1140.0,1091.0,1104.4,508399
2024-03-14,1107.55,1161.75,1099.65,1108.45,156902
2024-03-15,1117.0,1136.7,1100.0,1106.1,79682
2024-03-18,1119.0,1141.7,1105.0,1127.3,100226
2024-03-19,1128.4,1209.0,1121.55,1178.0,606491
2024-03-20,1178.0,1319.9,1175.3,1276.85,439683
2024-03-21,1276.85,1278.95,1227.95,1241.65,329073
2024-03-22,1240.55,1273.95,1221.05,1248.35,198537
2024-03-26,1237.05,1286.3,1208.05,1258.75,141386
2024-03-27,1261.2,1268.35,1236.0,1253.85,108373
2024-03-28,1265.6,1325.0,1244.05,1297.55,203593
2024-04-01,1310.0,1364.0,1300.95,1352.05,165882
2024-04-02,1360.0,1390.0,1332.55,1360.15,592650
2024-04-03,1354.55,1364.8,1320.0,1334.1,363841
2024-04-04,1360.0,1394.35,1339.5,1369.65,206873
2024-04-05,1365.0,1374.0,1340.0,1349.4,89586
2024-04-08,1368.75,1392.3,1354.35,1376.1,87158
2024-04-09,1389.75,1389.75,1340.3,1356.6,68765
2024-04-10,1362.15,1362.15,1323.5,1339.55,62523
2024-04-12,1348.0,1368.9,1327.05,1340.65,102530
