date,open,high,low,close,volume
2023-12-26,278.5,278.7,259.75,260.55,26558301
2023-12-27,263.15,264.95,262.0,262.75,10386707
2023-12-28,264.5,270.05,263.5,268.9,15068099
2023-12-29,271.3,284.2,271.3,279.3,27309804
2024-01-01,280.5,287.7,278.75,284.6,8540993
2024-01-02,284.7,291.95,280.05,280.9,14347750
2024-01-03,280.9,287.3,278.3,284.9,6215850
2024-01-04,284.9,287.75,282.7,286.2,6818298
2024-01-05,292.0,292.6,283.0,287.5,9606918
2024-01-08,287.5,289.0,280.95,284.5,6148827
2024-01-09,286.9,291.8,280.0,281.1,7644834
2024-01-10,280.0,286.5,273.05,283.55,6721457
2024-01-11,284.6,300.7,284.55,295.0,13928878
2024-01-12,297.05,297.95,290.6,292.1,9221059
2024-01-15,292.9,295.25,287.5,292.7,5206543
2024-01-16,292.15,294.9,285.1,293.7,5789129
2024-01-17,284.5,291.85,278.6,282.8,9848102
2024-01-18,282.7,286.95,263.4,269.85,14513127
2024-01-19,273.45,275.8,258.0,265.25,15562342
2024-01-20,264.0,277.95,261.35,268.7,11765151
2024-01-23,272.0,272.0,249.0,253.35,11527198
2024-01-24,253.05,260.8,251.05,259.8,8513370
2024-01-25,261.25,263.4,251.7,255.15,7667912
2024-01-29,257.25,258.6,252.75,255.05,6355319
2024-01-30,257.4,263.8,254.8,255.5,6531060
2024-01-31,255.7,262.0,252.15,260.55,8174520
2024-02-01,261.0,268.1,252.75,266.55,15292500
2024-02-02,268.95,272.25,263.45,264.8,10075169
2024-02-05,264.85,279.15,261.5,265.4,15808851
2024-02-06,265.4,267.5,260.4,265.05,6299507
2024-02-07,266.15,269.9,260.0,261.4,8787771
2024-02-08,263.95,267.7,254.0,255.45,7937169
2024-02-09,257.4,262.55,252.15,259.9,7432713
2024-02-12,260.35,261.95,242.0,243.75,5655050
2024-02-13,244.55,255.5,241.6,250.75,7529631
2024-02-14,245.65,254.75,243.1,253.75,4394058
2024-02-15,256.0,262.45,254.0,259.05,4838481
2024-02-16,261.0,266.0,259.05,262.35,5705820
2024-02-19,262.35,265.4,259.45,261.2,5749184
2024-02-20,261.2,269.1,260.0,263.2,9821805
2024-02-21,262.75,266.25,254.4,258.45,8287392
2024-02-22,259.1,267.7,256.05,266.55,12887196
2024-02-23,275.9,275.9,266.05,268.6,13207150
2024-02-26,269.25,274.5,267.2,272.85,8398213
2024-02-27,273.25,275.0,262.4,265.45,10414491
2024-02-28,266.25,268.6,253.9,255.8,6606175
2024-02-29,255.8,264.1,254.3,260.15,8311078
2024-03-01,264.0,270.65,258.2,266.8,9713472
2024-03-02,268.0,272.15,265.0,270.8,1214013
2024-03-04,270.8,277.25,270.35,273.5,8447490
2024-03-05,274.0,274.0,254.65,255.85,19475442
2024-03-06,256.85,257.9,247.1,252.95,18583813
2024-03-07,257.9,260.8,255.1,255.9,14427993
2024-03-11,256.95,256.95,247.3,248.55,7010505
2024-03-12,249.05,252.2,244.0,249.55,6682251
2024-03-13,250.0,250.8,227.85,230.45,10738392
2024-03-14,226.85,236.0,223.1,225.5,9700182
2024-03-15,227.0,230.65,222.25,224.15,9529022
2024-03-18,228.0,230.0,222.2,224.45,5859331
2024-03-19,224.3,229.75,220.5,228.05,9256916
2024-03-20,230.0,234.65,225.1,233.3,5959583
2024-03-21,238.5,243.7,235.85,242.5,6061119
2024-03-22,243.4,246.5,240.6,242.4,8362026
2024-03-26,241.9,244.5,239.65,240.1,4858118
