date,open,high,low,close,volume
2023-12-26,175.0,178.5,174.05,175.7,2078755
2023-12-27,175.7,177.45,174.0,176.0,2608658
2023-12-28,176.0,180.5,175.35,177.9,2679550
2023-12-29,178.0,179.0,175.5,176.8,1387420
2024-01-01,177.25,177.7,174.5,175.0,747804
2024-01-02,175.0,178.3,174.5,176.75,1086891
2024-01-03,177.0,178.4,174.05,175.6,1702463
2024-01-04,176.0,176.9,174.5,174.8,1439024
2024-01-05,175.25,176.3,174.4,175.4,1399990
2024-01-08,175.9,183.9,175.35,181.45,4192894
2024-01-09,183.3,184.45,179.0,179.9,1604230
2024-01-10,179.85,180.75,176.4,177.65,765081
2024-01-11,179.0,182.35,178.0,179.7,792021
2024-01-12,181.15,182.3,177.1,177.95,944331
2024-01-15,179.2,181.0,177.4,180.05,841103
2024-01-16,180.95,180.95,176.4,178.95,657269
2024-01-17,176.7,178.95,175.0,176.45,920494
2024-01-18,175.8,178.2,173.8,176.95,741716
2024-01-19,177.75,180.2,177.2,178.35,628018
2024-01-20,179.25,180.5,177.5,180.1,670115
2024-01-23,181.0,182.75,173.65,174.95,1204879
2024-01-24,174.8,179.25,173.0,175.65,841383
2024-01-25,175.65,177.55,172.0,173.0,1564228
2024-01-29,173.55,177.7,173.1,176.7,2585648
2024-01-30,177.1,182.5,176.0,177.45,1491957
2024-01-31,177.45,181.9,177.05,179.85,1195757
2024-02-01,180.5,181.7,178.95,180.2,1038654
2024-02-02,180.8,190.0,180.0,188.55,5878189
2024-02-05,191.4,208.5,190.55,203.85,9540244
2024-02-06,205.0,212.35,200.6,208.1,6383228
2024-02-07,208.0,208.0,190.4,193.6,6064992
2024-02-08,195.5,197.95,191.15,192.05,1559871
2024-02-09,192.9,193.6,184.75,190.3,1873155
2024-02-12,192.45,195.95,180.1,182.65,1756278
2024-02-13,184.35,202.75,180.1,199.05,12851472
2024-02-14,196.85,203.8,193.5,199.45,3327190
2024-02-15,199.05,204.85,198.8,200.55,1977518
2024-02-16,202.05,204.95,195.5,197.35,1204632
2024-02-19,200.0,220.0,199.0,207.9,13182397
2024-02-20,207.95,216.4,205.25,211.0,3726939
2024-02-21,210.9,212.35,203.6,204.75,1807818
2024-02-22,205.9,206.95,200.35,205.15,1065482
2024-02-23,206.0,211.9,205.15,209.8,1678744
2024-02-26,211.7,214.5,205.95,207.55,1873937
2024-02-27,208.85,213.3,206.45,212.15,1395701
2024-02-28,213.95,215.8,201.65,203.3,1732009
2024-02-29,204.6,210.0,200.8,206.75,3218170
2024-03-01,208.8,214.55,207.8,211.05,1233928
2024-03-02,211.2,212.0,206.35,209.45,142619
2024-03-04,209.95,210.65,207.4,208.75,508606
2024-03-05,208.85,221.8,207.0,213.8,3912390
2024-03-06,212.35,212.8,202.25,204.9,1446321
2024-03-07,204.45,210.0,203.15,205.45,761531
2024-03-11,205.95,207.25,195.0,197.55,1775098
2024-03-12,199.3,206.0,194.6,199.85,3110202
2024-03-13,200.45,201.1,188.8,191.9,1867676
2024-03-14,191.0,207.5,189.05,205.3,2244467
2024-03-15,204.9,215.95,202.5,211.65,5550846
2024-03-18,211.65,213.05,207.0,208.0,2666481
2024-03-19,209.4,209.85,201.25,202.0,1116197
2024-03-20,204.0,204.0,199.5,201.25,899143
2024-03-21,202.5,204.5,201.3,202.05,524335
2024-03-22,202.95,207.8,202.05,205.4,1384030
2024-03-26,205.1,218.5,205.1,207.4,5579289
2024-03-27,209.0,211.3,202.6,204.8,1847702
2024-03-28,205.0,211.35,205.0,208.45,1308298
2024-04-01,209.75,213.7,207.35,209.95,807350
2024-04-02,211.8,226.0,210.0,222.15,13921768
2024-04-03,225.5,226.95,221.1,222.05,3594934
2024-04-04,222.85,223.7,212.6,215.9,3461796
2024-04-05,217.2,225.8,216.15,222.8,4652476
2024-04-08,223.9,229.65,220.6,221.7,3451999
2024-04-09,222.9,227.35,221.0,222.0,1853565
2024-04-10,222.9,226.0,219.1,220.6,1378962
2024-04-12,220.2,225.6,218.65,220.05,1587044
2024-04-15,210.0,225.6,208.35,221.4,3059252
2024-04-16,219.15,227.9,218.55,221.9,2335512
2024-04-18,222.8,225.9,221.0,221.45,1507072
2024-04-19,218.6,222.6,215.5,218.95,1693510
2024-04-22,221.0,223.7,217.5,217.95,1155512
2024-04-23,219.7,224.8,217.5,218.1,1434473
2024-04-24,219.65,224.7,218.1,220.5,1812542
2024-04-25,220.85,237.55,220.85,223.6,8055202
2024-04-26,225.0,226.0,222.05,222.6,1038433
2024-04-29,224.35,224.65,217.5,218.0,1095306
2024-04-30,219.6,220.8,214.55,218.6,2273500
2024-05-02,220.0,221.9,217.2,218.55,1780188
2024-05-03,219.7,220.2,215.1,218.35,1847758
2024-05-06,217.3,218.8,209.15,209.9,2431739
2024-05-07,212.0,214.7,206.35,208.8,2045061
2024-05-08,207.05,209.45,204.2,205.9,1877215
2024-05-09,205.9,206.9,202.0,202.3,943596
2024-05-10,202.0,209.8,201.05,207.65,1033556
2024-05-13,206.95,212.0,202.65,211.25,1561727
2024-05-14,211.5,213.45,208.15,212.45,928960
2024-05-15,212.45,218.65,212.45,215.3,1149701
2024-05-16,205.0,216.9,202.7,213.4,3207719
2024-05-17,212.0,213.25,206.6,211.2,3229623
2024-05-18,212.5,212.8,208.7,210.95,80126
2024-05-21,211.0,213.9,206.15,212.6,1767936
2024-05-22,212.7,213.1,208.45,211.25,883317
2024-05-23,211.2,211.8,208.0,208.7,631089
2024-05-24,206.0,209.25,205.8,206.35,760447
2024-05-27,206.15,208.9,204.65,205.6,1013781
2024-05-28,206.45,207.45,202.75,203.85,1493610
2024-05-29,202.5,205.75,197.0,198.15,1803236
2024-05-30,198.0,199.65,196.3,197.25,1379655
2024-05-31,198.05,199.95,196.65,198.15,1445845
2024-06-03,201.25,205.5,199.0,204.0,1182833
2024-06-04,204.0,205.85,186.3,197.5,2416443
2024-06-05,195.0,210.0,191.25,209.0,1295538
2024-06-06,209.0,209.85,203.3,205.25,1332433
2024-06-07,205.65,211.35,204.25,208.8,1373282
2024-06-10,209.9,221.92,209.0,217.69,6385208
2024-06-11,217.0,218.95,214.55,215.54,2200798
2024-06-12,218.09,223.35,216.11,221.7,2488029
2024-06-13,224.0,224.5,219.1,222.06,1165197
2024-06-14,221.0,221.99,213.6,216.53,3355880
2024-06-18,217.98,218.25,214.3,216.65,1474280
2024-06-19,217.0,217.65,212.2,214.87,951050
2024-06-20,215.84,217.45,212.51,216.35,1059448
2024-06-21,217.64,218.06,214.5,216.52,1430189
2024-06-24,216.98,217.75,213.25,216.77,1348160
2024-06-25,219.0,219.0,216.5,216.98,1256027
2024-06-26,216.98,219.45,213.5,213.97,1210404
2024-06-27,214.0,216.9,210.02,211.61,954665
2024-06-28,211.64,215.6,211.64,214.22,950463
2024-07-01,215.0,225.0,215.0,222.75,3672329
2024-07-02,224.3,225.9,218.1,218.73,1435038
2024-07-03,219.92,222.84,219.1,219.99,1554058
2024-07-04,221.0,223.39,219.31,220.34,2675339
2024-07-05,215.05,218.0,214.5,215.44,1787086
2024-07-08,215.69,216.0,208.1,209.6,1662376
2024-07-09,210.65,212.09,206.1,207.72,1492816
2024-07-10,209.0,210.32,205.8,209.27,1267250
2024-07-11,211.0,211.0,204.52,209.28,1630623
2024-07-12,209.29,213.2,205.72,208.1,1519732
2024-07-15,208.1,210.49,206.25,208.16,1181004
2024-07-16,208.51,211.36,207.45,207.94,1527116
2024-07-18,208.0,208.8,205.0,206.12,2094012
2024-07-19,207.92,207.93,198.01,199.03,1492584
2024-07-22,199.29,203.34,195.46,202.28,835517
2024-07-23,204.08,206.48,195.62,202.36,1219071
2024-07-24,203.4,211.5,203.4,210.62,1302633
2024-07-25,207.83,210.7,207.11,210.24,1206797
