date,open,high,low,close,volume
2023-12-26,1600.0,1607.0,1585.0,1594.25,90138
2023-12-27,1600.0,1602.85,1575.05,1581.3,56440
2023-12-28,1597.0,1597.0,1579.4,1588.85,64181
2023-12-29,1588.85,1607.0,1576.0,1598.55,265178
2024-01-01,1608.55,1684.0,1590.7,1668.75,685849
2024-01-02,1674.25,1735.0,1660.0,1679.15,811967
2024-01-03,1675.9,1689.4,1655.1,1680.2,171190
2024-01-04,1685.0,1687.0,1636.0,1646.2,147222
2024-01-05,1646.1,1703.35,1643.5,1669.9,169901
2024-01-08,1678.0,1678.0,1630.0,1632.95,65096
2024-01-09,1643.95,1644.4,1617.0,1639.6,120346
2024-01-10,1643.0,1649.8,1625.9,1633.65,82125
2024-01-11,1647.0,1657.7,1616.5,1645.7,117672
2024-01-12,1649.8,1677.0,1642.7,1648.65,169217
2024-01-15,1678.0,1699.95,1612.0,1628.45,256256
2024-01-16,1651.0,1664.7,1628.1,1652.35,147804
2024-01-17,1635.5,1642.35,1621.1,1624.9,104248
2024-01-18,1624.95,1632.9,1590.0,1594.15,113969
2024-01-19,1599.9,1630.0,1599.9,1616.8,87142
2024-01-20,1630.0,1652.8,1605.5,1642.35,72550
2024-01-23,1654.95,1654.95,1595.0,1623.65,120466
2024-01-24,1601.05,1605.85,1560.0,1565.3,711423
2024-01-25,1575.0,1587.6,1565.0,1575.5,163839
2024-01-29,1587.75,1587.75,1565.15,1570.15,458266
2024-01-30,1585.0,1585.0,1562.4,1571.8,94838
2024-01-31,1571.8,1603.25,1566.0,1592.9,249915
2024-02-01,1599.9,1599.9,1577.0,1579.2,56377
2024-02-02,1579.25,1594.8,1574.35,1582.25,90973
2024-02-05,1589.9,1597.85,1571.0,1577.25,108598
2024-02-06,1580.25,1622.8,1579.0,1602.85,164673
2024-02-07,1606.0,1619.2,1603.0,1613.8,123469
2024-02-08,1619.0,1624.95,1610.0,1613.75,127431
2024-02-09,1613.05,1613.05,1586.0,1596.85,77671
2024-02-12,1597.2,1612.35,1585.0,1595.6,88947
2024-02-13,1590.1,1601.95,1585.0,1591.85,75619
2024-02-14,1586.0,1589.85,1581.0,1587.05,71937
2024-02-15,1590.0,1609.0,1587.0,1602.55,65244
2024-02-16,1605.0,1608.65,1595.1,1600.8,104335
2024-02-19,1602.0,1619.7,1600.0,1612.25,94802
2024-02-20,1620.0,1672.65,1620.0,1621.75,379761
2024-02-21,1629.95,1629.95,1591.6,1596.15,217435
2024-02-22,1591.0,1610.65,1591.0,1606.7,147586
2024-02-23,1610.0,1610.0,1589.2,1600.15,495792
2024-02-26,1604.85,1607.9,1595.3,1597.0,455451
2024-02-27,1596.0,1615.0,1592.55,1597.2,362684
2024-02-28,1605.0,1607.95,1595.0,1599.8,94446
2024-02-29,1609.85,1609.85,1580.1,1595.05,123359
2024-03-01,1600.0,1600.0,1589.3,1594.3,95023
2024-03-02,1591.25,1599.95,1584.0,1591.85,12056
2024-03-04,1590.0,1598.9,1579.8,1581.3,219545
2024-03-05,1581.85,1598.0,1575.2,1588.7,83019
2024-03-06,1581.1,1599.9,1577.0,1591.25,81877
2024-03-07,1583.0,1590.0,1578.25,1585.25,42569
2024-03-11,1593.5,1593.5,1577.0,1578.25,165337
2024-03-12,1575.0,1581.2,1567.0,1576.85,193183
2024-03-13,1570.5,1579.85,1553.75,1569.45,234366
2024-03-14,1570.95,1595.0,1550.5,1557.8,461509
2024-03-15,1558.0,1575.0,1552.65,1567.05,152887
2024-03-18,1565.1,1589.8,1564.75,1584.2,176074
2024-03-19,1584.0,1584.15,1571.75,1578.75,150696
2024-03-20,1602.15,1624.75,1600.0,1610.9,594736
2024-03-21,1615.0,1617.9,1599.95,1603.45,936416
2024-03-22,1600.0,1606.9,1595.05,1600.55,265822
2024-03-26,1600.55,1611.8,1599.1,1600.5,183443
2024-03-27,1608.0,1608.0,1600.1,1600.45,174559
2024-03-28,1601.1,1612.8,1599.9,1602.25,165818
2024-04-01,1602.25,1624.7,1602.25,1616.65,92534
2024-04-02,1616.65,1627.5,1616.0,1617.75,93823
2024-04-03,1620.0,1622.3,1610.3,1616.85,70053
2024-04-04,1611.1,1622.0,1611.1,1617.95,120594
2024-04-05,1610.8,1624.6,1610.8,1612.7,169277
2024-04-08,1614.5,1621.95,1611.0,1612.9,166163
2024-04-09,1615.0,1616.0,1608.05,1612.5,710926
2024-04-10,1623.0,1623.0,1590.0,1610.2,467414
2024-04-12,1599.9,1609.9,1576.4,1601.35,89994
2024-04-15,1597.2,1601.0,1560.0,1563.3,91270
2024-04-16,1571.5,1591.0,1556.1,1576.85,78302
2024-04-18,1579.5,1586.25,1535.0,1537.7,75741
2024-04-19,1536.9,1552.4,1511.15,1539.25,44530
2024-04-22,1533.0,1548.2,1512.0,1526.2,73513
2024-04-23,1524.0,1530.0,1514.1,1519.9,37963
2024-04-24,1515.75,1555.0,1515.6,1546.85,57416
2024-04-25,1551.0,1569.9,1534.55,1559.95,45792
2024-04-26,1558.6,1559.95,1531.0,1537.7,44969
2024-04-29,1537.8,1546.65,1520.9,1524.8,49258
2024-04-30,1510.5,1539.9,1510.5,1523.95,39001
2024-05-02,1539.8,1564.9,1521.0,1550.7,57700
2024-05-03,1553.1,1553.1,1521.0,1525.5,45900
2024-05-06,1536.2,1547.0,1525.0,1534.95,49571
2024-05-07,1500.0,1504.25,1450.0,1456.7,254427
2024-05-08,1441.0,1462.0,1414.65,1421.45,88260
2024-05-09,1420.0,1471.45,1401.2,1406.9,77725
2024-05-10,1428.0,1446.0,1411.2,1424.1,71161
2024-05-13,1430.0,1430.0,1406.0,1419.5,37166
2024-05-14,1415.0,1425.9,1411.9,1418.2,37148
2024-05-15,1418.0,1437.15,1415.2,1421.15,39969
2024-05-16,1421.15,1446.0,1421.05,1435.75,28852
2024-05-17,1447.0,1449.65,1430.0,1446.55,28697
2024-05-18,1446.55,1461.0,1442.25,1456.75,6811
2024-05-21,1445.0,1455.0,1430.05,1443.75,36722
2024-05-22,1443.75,1454.0,1434.75,1437.5,32904
2024-05-23,1454.35,1454.35,1430.0,1438.25,25959
2024-05-24,1430.25,1453.75,1424.0,1437.2,40628
2024-05-27,1438.0,1439.25,1412.4,1429.85,58301
2024-05-28,1434.8,1439.0,1414.0,1419.95,40483
2024-05-29,1419.95,1425.0,1409.55,1414.75,30294
2024-05-30,1414.95,1414.95,1396.0,1400.9,41940
2024-05-31,1402.05,1525.0,1390.1,1476.5,168193
2024-06-03,1520.0,1532.2,1454.45,1460.5,73410
2024-06-04,1460.5,1467.55,1386.05,1432.8,66643
2024-06-05,1430.0,1432.3,1387.0,1421.05,56592
2024-06-06,1446.85,1502.0,1446.85,1476.55,86403
2024-06-07,1489.0,1517.0,1480.0,1494.85,167804
2024-06-10,1520.0,1590.0,1510.55,1576.9,327896
2024-06-11,1575.0,1590.2,1550.05,1556.6,53996
2024-06-12,1590.0,1590.0,1535.05,1549.25,45535
2024-06-13,1550.85,1559.9,1530.05,1535.85,30063
2024-06-14,1538.05,1548.7,1525.55,1530.75,28907
2024-06-18,1530.0,1571.0,1510.95,1557.45,57869
2024-06-19,1570.0,1574.0,1532.1,1547.65,31532
2024-06-20,1549.95,1550.75,1500.0,1517.15,115072
2024-06-21,1512.85,1549.0,1512.85,1529.8,74044
2024-06-24,1529.85,1798.7,1510.25,1750.05,4609348
2024-06-25,1720.0,1728.0,1670.0,1681.75,693938
2024-06-26,1680.0,1681.45,1632.7,1645.0,204415
2024-06-27,1647.0,1930.0,1620.25,1879.55,6753245
2024-06-28,1850.0,1877.0,1805.05,1823.4,1109677
2024-07-01,1814.45,1910.7,1803.15,1835.95,680769
2024-07-02,1835.95,1869.3,1809.0,1816.7,283852
2024-07-03,1828.0,1828.0,1761.0,1771.6,240193
2024-07-04,1780.0,1817.95,1763.05,1770.85,248183
2024-07-05,1771.0,1780.0,1754.65,1765.2,103999
2024-07-08,1765.1,1819.0,1751.25,1797.1,232919
2024-07-09,1804.7,1812.8,1767.5,1803.75,134031
2024-07-10,1814.95,1846.65,1755.0,1772.3,206830
2024-07-11,1779.0,1779.0,1753.5,1767.65,75990
2024-07-12,1776.4,1810.0,1761.0,1775.05,161949
2024-07-15,1786.0,1942.45,1785.0,1822.2,1706122
2024-07-16,1828.0,1840.85,1780.45,1819.35,170585
2024-07-18,1800.0,1867.95,1793.75,1827.85,223777
2024-07-19,1834.0,1839.85,1752.15,1763.6,143560
2024-07-22,1705.0,1794.25,1674.2,1755.3,230071
2024-07-23,1757.0,1814.0,1700.0,1710.25,199894
2024-07-24,1718.0,1791.0,1710.25,1768.1,117862
2024-07-25,1754.0,1759.45,1723.6,1728.6,56352
2024-07-26,1735.05,1760.0,1636.0,1642.3,2395639
2024-07-29,1644.65,1676.8,1611.0,1618.5,303107
2024-07-30,1618.5,1674.0,1616.25,1668.0,353991
2024-07-31,1677.0,1684.35,1622.9,1627.5,146944
2024-08-01,1637.7,1649.95,1622.55,1628.4,103468
2024-08-02,1619.0,1634.6,1602.1,1605.7,67853
2024-08-05,1580.7,1603.3,1530.0,1533.55,128101
2024-08-06,1560.4,1574.95,1515.0,1525.15,87419
2024-08-07,1548.9,1548.9,1491.0,1500.6,151521
