date,open,high,low,close,volume
2023-12-26,22.6,22.9,22.25,22.6,60927333
2023-12-27,22.65,23.1,22.4,22.6,75727285
2023-12-28,22.65,22.8,22.15,22.35,43977932
2023-12-29,22.4,23.4,22.2,23.3,139420239
2024-01-01,23.5,24.25,23.3,23.95,146057646
2024-01-02,24.1,24.45,23.3,24.1,148872594
2024-01-03,24.1,26.35,23.85,25.95,493391328
2024-01-04,26.3,31.0,25.9,30.4,773822956
2024-01-05,31.35,33.0,30.65,31.4,686804682
2024-01-08,31.65,33.15,30.8,32.05,190139992
2024-01-09,32.5,32.85,31.0,31.3,93350142
2024-01-10,31.55,32.2,30.0,30.8,81647238
2024-01-11,31.5,31.85,30.8,31.1,52230067
2024-01-12,31.25,31.3,30.5,30.9,39833184
2024-01-15,31.05,31.1,30.1,30.8,45263872
2024-01-16,30.8,31.55,29.15,30.05,89315314
2024-01-17,29.55,30.6,29.15,29.85,70734595
2024-01-18,29.7,30.25,27.95,29.75,66035062
2024-01-19,29.8,30.25,29.25,29.55,43979809
2024-01-20,29.7,31.05,29.05,30.15,58154201
2024-01-23,30.4,30.6,28.3,28.55,61846576
2024-01-24,28.55,29.95,28.05,29.6,67606015
2024-01-25,29.8,30.8,29.5,30.2,68958463
2024-01-29,30.35,31.25,29.9,30.1,58502683
2024-01-30,30.5,30.9,29.9,29.95,36255569
2024-01-31,30.05,30.2,29.0,29.8,21102881
2024-02-01,30.1,30.1,28.9,29.0,17065087
2024-02-02,29.5,29.6,28.55,28.8,18707694
2024-02-05,27.4,27.4,27.4,27.4,15690520
2024-02-06,26.05,26.7,26.05,26.05,15747961
2024-02-07,25.35,27.35,25.35,27.35,31099553
2024-02-08,27.7,28.7,27.3,28.55,27570788
2024-02-09,29.0,29.0,27.15,27.5,20372214
2024-02-12,27.8,27.8,26.15,26.15,12892602
2024-02-13,25.5,26.3,24.85,26.05,15523124
2024-02-14,25.0,26.85,24.95,26.45,11805954
2024-02-15,26.8,27.25,26.7,26.75,9693881
2024-02-16,26.8,27.0,25.95,26.2,8095675
2024-02-19,26.3,27.3,26.0,26.95,12244046
2024-02-20,27.0,27.2,26.4,26.45,7240914
2024-02-21,26.75,26.8,25.35,25.45,8728553
2024-02-22,25.65,26.0,25.0,25.65,7833023
2024-02-23,25.85,26.1,25.5,25.6,6891308
2024-02-26,25.7,25.95,25.2,25.25,7485028
2024-02-27,25.6,25.6,24.55,24.65,7997782
2024-02-28,24.85,24.95,23.45,23.45,12691280
2024-02-29,22.5,24.45,22.3,24.2,16894825
2024-03-01,24.45,24.6,23.8,23.95,7428419
2024-03-02,24.05,24.2,23.5,23.75,3047894
2024-03-04,23.9,24.15,23.3,23.4,7125877
2024-03-05,23.1,23.65,22.9,23.05,9124091
2024-03-06,23.0,23.0,21.9,22.3,15102450
2024-03-07,22.2,23.25,22.05,22.55,8867505
2024-03-11,23.0,23.4,22.5,22.55,10174521
2024-03-12,22.5,22.5,21.45,21.45,11834151
2024-03-13,21.5,21.65,20.4,20.4,9065004
2024-03-14,19.5,21.3,19.4,21.05,24175977
2024-03-15,21.1,22.1,20.55,22.1,12106325
