date,open,high,low,close,volume
2024-11-12,31.06,32.87,28.95,29.32,270448925
2024-11-13,29.29,29.29,27.02,28.58,26357328
2024-11-14,28.01,29.8,27.8,28.51,20806989
2024-11-18,28.9,30.1,28.26,29.53,17665144
2024-11-19,29.99,30.1,28.7,29.25,12537333
2024-11-21,29.07,29.15,27.85,28.26,15111152
2024-11-22,28.16,28.9,27.76,28.02,7280226
2024-11-25,28.74,29.0,28.12,28.68,7629162
2024-11-26,30.3,31.54,29.9,31.54,66359636
2024-11-27,34.0,34.69,32.33,34.49,103883169
2024-11-28,34.5,36.14,33.54,34.87,72672440
2024-11-29,35.0,37.77,34.91,37.02,49755966
2024-12-02,37.3,37.75,36.15,36.61,27803725
2024-12-03,36.7,36.8,34.9,35.65,22831502
2024-12-04,35.7,36.3,35.49,35.92,10380833
2024-12-05,36.27,37.71,36.1,37.71,13708920
2024-12-06,39.59,39.59,38.47,39.44,63412532
2024-12-09,39.49,41.41,38.8,41.41,26238430
2024-12-10,43.48,43.48,41.56,42.26,68989556
2024-12-11,42.19,43.25,40.14,42.87,64407849
2024-12-12,43.48,43.48,40.72,40.81,17707128
2024-12-13,40.75,41.0,38.76,39.76,34558847
2024-12-16,40.4,41.74,40.17,41.74,13155239
2024-12-17,43.82,43.82,42.5,43.3,50540496
2024-12-18,42.8,45.46,42.3,43.5,43115561
2024-12-19,41.5,45.29,41.46,43.9,27142706
2024-12-20,45.45,46.09,44.9,45.17,73236427
2024-12-23,47.0,47.25,44.3,46.6,26655334
2024-12-24,47.9,48.93,47.75,48.93,23966758
2024-12-26,50.7,51.37,50.1,51.3,48639179
2024-12-27,52.19,53.86,49.37,53.86,57359747
2024-12-30,55.29,56.4,52.0,53.11,51662517
2024-12-31,53.22,53.5,50.45,50.45,27456496
2025-01-01,48.5,49.09,47.92,47.92,33261883
2025-01-02,46.66,50.31,46.56,50.31,37520037
2025-01-03,51.77,52.82,51.43,52.82,22189970
2025-01-06,54.27,54.27,50.7,51.31,44937799
2025-01-07,52.3,53.87,51.19,53.87,15303034
2025-01-08,54.1,55.0,51.17,52.05,41622829
2025-01-09,52.6,53.15,50.79,51.1,14742898
2025-01-10,51.47,51.6,48.54,49.74,10784622
2025-01-13,47.3,50.9,47.3,49.1,13270476
2025-01-14,50.0,50.79,47.94,48.23,7082485
2025-01-15,48.9,49.0,46.0,46.81,6789825
2025-01-16,48.0,49.15,47.0,49.08,7079782
2025-01-17,48.7,49.78,47.11,48.7,4202977
2025-01-20,49.4,49.4,47.51,47.77,3005846
2025-01-21,47.89,49.2,47.0,48.7,8029919
2025-01-22,48.5,48.5,46.26,46.54,6778279
2025-01-23,46.49,47.5,45.0,46.97,6179259
2025-01-24,47.39,48.19,46.8,47.98,6724762
2025-01-27,46.95,47.5,45.58,45.58,5882245
2025-01-28,44.06,45.58,43.3,43.3,6246957
2025-01-29,42.75,45.46,41.31,45.46,3379084
2025-01-30,47.73,47.73,47.0,47.72,3874091
2025-01-31,48.7,50.1,47.73,49.61,10265899
2025-02-01,49.5,49.6,47.45,48.6,3408079
2025-02-03,47.51,51.03,46.6,50.32,4939504
2025-02-04,51.9,51.97,50.0,50.2,3455376
2025-02-05,51.09,51.28,49.1,50.22,3314112
2025-02-06,52.73,52.73,52.73,52.73,10520593
