date,open,high,low,close,volume
2023-12-26,250.35,252.6,243.45,245.15,327117
2023-12-27,246.55,252.5,244.4,250.5,688766
2023-12-28,251.9,255.5,244.6,249.25,558220
2023-12-29,245.0,254.5,244.15,253.25,443088
2024-01-01,251.8,257.0,250.2,254.85,275334
2024-01-02,253.95,255.35,245.85,250.2,287102
2024-01-03,250.5,252.5,247.25,249.2,172060
2024-01-04,249.9,256.0,249.15,252.05,349268
2024-01-05,253.8,255.0,248.0,251.15,247534
2024-01-08,252.0,253.0,247.1,250.3,186225
2024-01-09,250.8,253.9,243.5,245.55,287908
2024-01-10,246.0,249.8,244.0,245.8,330184
2024-01-11,246.45,255.9,245.8,253.75,414378
2024-01-12,254.6,263.4,246.0,247.45,798035
2024-01-15,249.95,250.0,243.3,248.65,347284
2024-01-16,253.95,262.2,248.0,252.4,1115084
2024-01-17,249.1,256.75,247.3,248.8,402174
2024-01-18,249.2,254.5,242.55,244.7,482853
2024-01-19,246.9,258.0,245.0,255.85,701605
2024-01-20,256.0,257.0,249.95,252.05,228529
2024-01-23,252.25,255.0,235.55,238.65,495920
2024-01-24,240.95,243.15,229.4,236.75,583511
2024-01-25,236.8,239.95,229.7,231.75,424953
2024-01-29,233.35,245.0,233.35,243.7,556015
2024-01-30,245.0,247.45,239.75,243.55,533313
2024-01-31,244.6,252.8,244.55,250.4,670485
2024-02-01,250.9,253.25,241.4,244.55,417021
2024-02-02,246.7,253.0,238.65,247.3,1191782
2024-02-05,243.4,244.0,231.6,236.2,1062009
2024-02-06,237.35,238.95,230.05,232.5,556905
2024-02-07,234.1,238.9,231.0,232.85,560350
2024-02-08,233.95,235.1,226.05,227.5,447689
2024-02-09,228.95,228.95,215.3,220.65,627437
2024-02-12,222.15,222.25,213.7,216.35,315960
2024-02-13,218.15,222.25,209.75,219.4,525211
2024-02-14,215.25,226.0,214.0,224.7,303354
2024-02-15,225.5,228.0,219.55,225.95,410918
2024-02-16,226.1,231.0,222.8,228.55,650482
2024-02-19,229.85,231.7,223.95,226.55,391356
2024-02-20,224.1,229.95,223.2,223.75,364763
2024-02-21,225.3,225.95,215.95,217.35,359769
2024-02-22,219.0,222.7,213.6,221.2,439291
2024-02-23,220.6,222.0,212.0,214.25,422086
2024-02-26,215.4,216.45,210.7,212.25,443758
2024-02-27,212.0,217.0,210.6,214.65,306936
2024-02-28,214.65,214.65,206.1,207.45,358677
2024-02-29,206.4,215.95,205.25,214.2,276970
2024-03-01,213.0,219.0,213.0,215.7,301863
2024-03-02,217.3,219.95,216.2,219.35,68177
2024-03-04,219.95,219.95,211.05,212.65,299170
2024-03-05,212.65,213.8,205.0,205.9,446514
2024-03-06,202.6,207.45,198.15,202.75,604449
2024-03-07,204.35,209.95,200.1,208.7,590099
2024-03-11,209.4,211.75,199.0,200.6,464074
2024-03-12,200.0,201.0,192.1,196.0,538839
2024-03-13,195.9,197.0,181.0,183.25,696327
2024-03-14,182.0,197.65,180.25,195.45,527445
2024-03-15,193.8,201.9,190.1,199.95,299753
2024-03-18,201.4,201.6,195.8,200.05,344094
2024-03-19,199.85,202.5,195.4,197.95,287209
