date,open,high,low,close,volume
2023-12-26,360.0,373.2,358.45,369.7,957453
2023-12-27,374.0,375.1,367.2,369.7,308336
2023-12-28,372.95,377.9,365.05,376.15,424763
2023-12-29,376.0,376.0,368.2,370.7,326033
2024-01-01,374.7,375.55,368.1,369.75,193230
2024-01-02,371.5,376.0,367.85,373.4,255859
2024-01-03,375.2,379.0,369.55,375.05,396183
2024-01-04,377.75,382.45,373.55,374.5,332298
2024-01-05,379.5,379.9,370.55,373.65,214728
2024-01-08,375.7,376.7,363.05,366.05,314824
2024-01-09,368.85,373.65,363.25,365.45,301913
2024-01-10,366.0,368.9,358.0,361.15,310724
2024-01-11,363.3,365.5,355.0,360.9,470266
2024-01-12,361.55,368.8,361.55,365.25,320369
2024-01-15,367.0,368.4,360.4,366.1,277037
2024-01-16,366.15,366.65,356.0,356.65,373487
2024-01-17,354.9,356.25,349.4,352.25,381855
2024-01-18,350.1,354.8,341.6,342.85,506058
2024-01-19,345.25,350.0,340.05,345.7,366870
2024-01-20,348.5,355.0,347.4,352.85,181058
2024-01-23,352.65,353.9,333.15,335.85,363713
2024-01-24,336.0,338.8,325.85,332.7,565020
2024-01-25,334.95,352.45,334.2,349.1,1261859
2024-01-29,352.5,352.5,342.45,345.45,681609
2024-01-30,346.4,348.2,339.1,344.4,264282
2024-01-31,344.3,352.0,339.5,348.45,297837
2024-02-01,348.45,364.75,347.0,354.65,689603
2024-02-02,355.8,362.0,346.15,349.75,337733
2024-02-05,349.05,361.4,347.75,350.5,394120
2024-02-06,350.4,364.5,346.75,362.15,583138
2024-02-07,365.95,370.0,360.3,368.65,561887
2024-02-08,370.15,371.8,361.25,369.15,271775
2024-02-09,369.55,371.0,352.0,357.65,560127
2024-02-12,357.65,357.7,343.1,348.55,366803
2024-02-13,346.95,358.0,341.0,355.5,288540
2024-02-14,353.2,362.7,351.6,359.4,367094
2024-02-15,360.0,395.45,360.0,390.8,2551827
2024-02-16,390.9,413.0,386.1,406.9,2802837
2024-02-19,407.7,419.4,407.6,412.1,1187844
2024-02-20,412.1,415.8,405.9,407.05,586282
2024-02-21,407.0,417.5,404.05,406.3,703233
2024-02-22,404.0,409.8,401.85,407.85,349878
2024-02-23,407.95,411.05,402.8,405.7,345171
2024-02-26,405.7,423.5,402.7,415.35,1278697
2024-02-27,420.0,429.2,418.0,420.2,946849
2024-02-28,423.8,428.7,409.0,411.95,736158
2024-02-29,412.0,415.8,394.75,402.55,571574
2024-03-01,402.55,412.65,402.0,404.5,350493
2024-03-02,404.55,412.0,404.55,408.6,40530
2024-03-04,408.05,410.9,399.3,404.15,233565
2024-03-05,404.2,405.8,385.0,391.85,555378
2024-03-06,395.0,396.2,378.1,385.35,324718
2024-03-07,388.6,392.0,383.05,388.45,230928
2024-03-11,388.45,388.95,370.0,372.25,306592
2024-03-12,371.7,373.95,361.3,365.55,355041
2024-03-13,365.55,365.85,339.2,345.55,569756
2024-03-14,342.05,356.6,339.0,350.5,389578
2024-03-15,354.9,360.0,346.0,352.15,377357
2024-03-18,352.2,363.6,349.6,356.15,376091
2024-03-19,356.15,364.95,352.0,354.35,143842
2024-03-20,354.4,377.55,353.0,373.2,889818
2024-03-21,375.0,380.45,369.75,371.25,172771
2024-03-22,371.25,373.4,362.2,365.05,210178
2024-03-26,363.05,364.55,355.0,359.3,336791
2024-03-27,362.05,362.05,344.3,348.35,609233
2024-03-28,340.25,350.8,340.25,347.35,663298
2024-04-01,348.05,361.0,348.05,359.4,274649
2024-04-02,364.0,382.6,360.0,378.9,1257830
2024-04-03,378.9,394.0,376.45,389.95,1056934
2024-04-04,392.9,394.05,382.3,387.2,238138
2024-04-05,387.0,392.85,383.05,390.15,201626
2024-04-08,389.0,401.5,384.25,394.55,597162
2024-04-09,397.65,401.9,386.25,391.0,430025
2024-04-10,390.8,396.45,385.55,394.7,319107
2024-04-12,394.7,395.95,385.0,385.95,230662
2024-04-15,377.0,391.95,369.2,388.95,394748
2024-04-16,383.1,416.75,383.1,413.4,2358108
2024-04-18,420.2,432.5,417.1,426.0,1515902
2024-04-19,421.95,431.85,413.0,429.25,721085
2024-04-22,436.0,436.0,423.6,428.3,696359
2024-04-23,424.55,427.9,414.6,425.05,421941
2024-04-24,429.9,438.0,425.05,430.8,641523
2024-04-25,433.75,434.6,424.0,425.1,236484
2024-04-26,428.0,458.0,427.75,443.9,2331565
2024-04-29,438.55,455.4,435.65,438.7,618284
2024-04-30,441.3,444.4,427.55,430.7,241400
2024-05-02,431.0,433.55,423.3,424.85,252753
2024-05-03,425.0,432.8,421.1,426.45,277150
2024-05-06,428.65,443.95,423.35,428.85,312019
2024-05-07,428.85,434.95,423.75,431.65,293885
2024-05-08,431.4,437.9,426.0,431.0,215228
2024-05-09,428.2,433.5,423.3,429.4,316997
2024-05-10,427.3,445.5,425.0,434.8,450861
2024-05-13,435.0,438.95,420.4,426.6,200286
2024-05-14,430.85,433.95,427.0,428.5,131595
2024-05-15,427.8,431.95,423.5,424.6,121932
2024-05-16,427.6,431.0,418.35,425.4,434677
2024-05-17,425.0,441.8,424.45,437.35,274788
2024-05-18,439.85,439.85,420.05,431.35,45925
2024-05-21,430.0,431.35,422.65,426.2,168771
2024-05-22,424.1,429.15,407.65,410.85,380579
2024-05-23,411.05,470.5,404.0,466.35,6904199
2024-05-24,470.0,489.0,459.4,478.35,2478899
2024-05-27,480.0,499.0,475.55,482.7,1395732
2024-05-28,489.0,492.3,467.4,475.1,846897
2024-05-29,477.7,501.0,474.0,494.45,1174573
2024-05-30,494.45,509.95,490.0,507.15,1249049
2024-05-31,509.7,512.95,498.1,502.65,557164
2024-06-03,534.95,534.95,515.0,523.8,661417
2024-06-04,522.95,522.95,490.0,502.8,811334
2024-06-05,504.9,507.25,482.55,501.4,323496
2024-06-06,510.0,534.85,503.0,531.35,549763
2024-06-07,539.0,557.95,535.2,553.1,778240
2024-06-10,560.1,569.0,550.1,562.85,633807
2024-06-11,564.9,567.0,556.0,563.0,228483
2024-06-12,564.9,570.7,542.6,550.1,482842
2024-06-13,552.0,559.95,543.9,548.45,194089
2024-06-14,548.45,555.2,545.0,550.7,439979
2024-06-18,551.0,564.4,549.5,553.0,235205
2024-06-19,561.3,566.0,544.5,556.8,995734
2024-06-20,560.0,560.0,551.75,555.3,771941
2024-06-21,557.95,581.4,553.65,555.85,721428
2024-06-24,555.85,559.25,540.1,543.55,205174
2024-06-25,546.1,563.6,546.1,552.1,911545
2024-06-26,557.15,560.0,542.55,556.95,490565
2024-06-27,556.95,564.9,551.2,557.0,642985
2024-06-28,559.95,569.0,551.05,555.45,393993
2024-07-01,558.95,570.0,548.3,554.0,505459
2024-07-02,554.7,555.75,543.05,545.5,138124
2024-07-03,547.0,579.0,538.05,548.3,988583
2024-07-04,546.95,553.95,544.2,545.5,175662
2024-07-05,544.45,551.6,543.1,547.85,102724
2024-07-08,547.9,553.2,535.55,540.5,267120
2024-07-09,540.35,551.0,537.0,539.75,248750
2024-07-10,540.0,550.0,515.95,522.4,410974
2024-07-11,522.4,528.85,516.25,518.4,174706
2024-07-12,520.05,530.55,519.05,524.7,206517
2024-07-15,532.5,538.7,521.05,534.5,527050
2024-07-16,535.0,546.0,535.0,539.35,308854
2024-07-18,540.0,545.95,527.3,542.3,316793
2024-07-19,533.5,541.9,523.15,529.35,293077
2024-07-22,518.05,534.05,510.6,530.05,157808
2024-07-23,531.0,536.0,516.1,532.9,210525
2024-07-24,532.15,550.0,530.0,541.25,192846
2024-07-25,540.5,548.5,520.2,534.2,171970
2024-07-26,540.5,575.0,537.05,544.95,1574022
2024-07-29,546.7,562.25,543.35,552.95,480627
2024-07-30,553.0,566.0,550.2,559.9,441816
2024-07-31,560.6,573.5,551.55,554.0,369673
2024-08-01,573.5,573.85,534.0,536.9,349515
2024-08-02,528.65,565.55,515.35,520.45,1071133
2024-08-05,507.85,510.45,486.8,492.15,659187
2024-08-06,496.8,520.0,488.75,504.85,483312
2024-08-07,509.8,512.0,488.65,490.0,292365
