date,open,high,low,close,volume
2023-12-26,414.4,415.35,405.6,407.15,4822975
2023-12-27,408.2,413.1,407.15,410.0,3750095
2023-12-28,412.95,412.95,407.2,409.15,3288345
2023-12-29,410.5,413.6,407.6,410.65,5291010
2024-01-01,411.1,412.0,408.2,409.75,1523610
2024-01-02,410.0,411.95,403.2,406.0,5389635
2024-01-03,407.0,419.6,405.8,418.0,6787670
2024-01-04,420.0,430.5,418.05,429.65,7695105
2024-01-05,430.6,435.35,423.9,434.5,8114435
2024-01-08,436.8,445.0,432.7,439.25,7487975
2024-01-09,441.3,444.6,430.1,433.55,5463445
2024-01-10,436.0,437.55,427.15,430.0,2470725
2024-01-11,443.6,457.95,440.8,455.95,14663945
2024-01-12,458.55,460.6,452.0,458.55,5187280
2024-01-15,460.6,465.0,456.0,463.9,2783690
2024-01-16,465.0,467.0,459.0,461.95,6647950
2024-01-17,458.8,463.55,448.0,457.6,5308645
2024-01-18,454.2,457.45,439.3,451.1,7883550
2024-01-19,454.2,464.4,454.2,460.35,5296785
2024-01-20,466.0,468.0,457.6,459.8,502225
2024-01-23,457.4,462.8,449.5,455.9,10999270
2024-01-24,446.75,463.0,441.9,460.5,8501730
2024-01-25,463.55,470.6,458.4,461.45,5327820
2024-01-29,486.4,488.4,460.45,481.8,17895075
2024-01-30,481.8,499.3,481.8,490.6,14238795
2024-01-31,490.0,495.9,480.1,493.35,9573360
2024-02-01,482.2,487.8,477.7,479.45,10601720
2024-02-02,479.5,484.25,477.1,481.1,4405185
2024-02-05,483.8,486.5,469.45,471.4,1993400
2024-02-06,472.0,480.8,464.75,479.3,7511415
2024-02-07,479.6,491.85,479.3,482.75,5230250
2024-02-08,485.0,485.0,468.15,469.6,4430985
2024-02-09,469.6,470.8,458.3,466.8,2903050
2024-02-12,467.0,470.6,450.95,452.45,2845040
2024-02-13,453.4,468.7,447.05,466.15,8984610
2024-02-14,457.0,480.9,456.05,478.65,3686385
2024-02-15,487.45,492.7,482.4,487.5,5721585
2024-02-16,488.0,491.95,486.75,489.9,4596560
2024-02-19,489.9,492.4,483.3,488.0,3451410
2024-02-20,488.0,488.95,479.05,483.35,4396705
2024-02-21,482.75,483.0,469.0,471.2,3665875
2024-02-22,471.8,479.95,466.6,479.05,2571220
2024-02-23,479.7,491.4,477.6,489.1,5723325
2024-02-26,490.0,507.0,489.6,497.05,5989015
2024-02-27,495.0,501.85,451.4,474.5,20513770
2024-02-28,478.4,487.6,461.6,469.75,11119410
2024-02-29,479.8,491.0,470.25,487.7,20232355
2024-03-01,493.9,494.75,487.0,490.1,5500370
2024-03-02,490.8,493.7,490.8,491.45,123285
2024-03-04,492.0,493.0,483.8,489.3,2666695
2024-03-05,482.2,491.15,482.2,486.3,6190170
2024-03-06,488.8,490.6,469.8,474.9,6744720
2024-03-07,474.9,491.1,474.9,489.9,5963990
2024-03-11,489.2,500.0,484.15,496.2,11377355
2024-03-12,496.8,496.8,482.05,484.35,7206710
2024-03-13,487.0,487.95,460.0,464.3,8118855
2024-03-14,463.0,465.6,453.25,458.3,10111785
2024-03-15,458.8,463.0,450.2,453.35,7257360
2024-03-18,453.0,466.6,452.95,461.8,5870405
2024-03-19,464.6,468.6,455.5,457.4,6619825
2024-03-20,458.0,465.6,456.0,462.85,4526425
2024-03-21,464.55,471.0,458.0,462.15,8698620
2024-03-22,467.8,471.75,461.05,466.15,6367775
2024-03-26,456.2,477.9,456.0,474.5,10693585
2024-03-27,482.0,486.0,469.0,477.25,77232200
2024-03-28,474.8,478.9,467.65,471.95,11625440
2024-04-01,474.2,487.4,473.2,486.35,4228910
2024-04-02,486.0,494.25,486.0,493.2,4433110
2024-04-03,495.4,513.35,491.75,511.3,11588495
2024-04-04,515.0,515.0,497.2,499.85,7019985
2024-04-05,502.1,506.4,499.6,503.75,3253480
2024-04-08,508.6,516.05,505.4,513.85,3678905
2024-04-09,518.0,521.15,504.6,510.1,4766875
2024-04-10,512.0,513.25,503.9,505.6,3504425
2024-04-12,504.0,504.0,495.8,497.1,4144555
2024-04-15,498.6,498.6,481.6,482.95,4750690
2024-04-16,480.0,484.8,473.65,480.15,4033025
2024-04-18,484.0,488.45,472.2,474.3,6791185
2024-04-19,469.95,475.75,465.0,473.3,4797160
2024-04-22,478.0,486.45,474.8,484.95,3489700
2024-04-23,488.4,491.3,483.4,485.4,2892585
2024-04-24,485.4,496.35,483.6,492.2,8459300
2024-04-25,491.8,500.85,484.45,498.35,14587660
2024-04-26,502.5,507.4,467.4,499.7,20810260
2024-04-29,514.0,515.4,486.05,498.45,11904615
2024-04-30,498.6,515.75,496.8,510.35,13426225
2024-05-02,509.3,519.8,507.0,516.4,9243475
2024-05-03,520.0,531.6,515.05,517.7,7622145
2024-05-06,520.0,521.8,499.75,509.5,4326785
2024-05-07,509.5,513.0,488.35,497.15,7825870
2024-05-08,496.7,499.6,486.55,489.6,7324775
2024-05-09,489.6,494.85,470.85,472.2,4104015
2024-05-10,474.8,481.35,466.2,468.85,10984650
2024-05-13,469.0,470.95,455.75,460.35,8390345
2024-05-14,469.0,483.55,463.35,466.05,12376035
2024-05-15,467.6,468.4,460.6,464.0,4269680
2024-05-16,467.4,469.15,453.0,467.75,12445545
2024-05-17,468.8,477.35,464.2,474.3,4729135
2024-05-18,475.95,479.0,471.0,474.1,297260
2024-05-21,474.0,477.9,469.75,474.65,3935580
2024-05-22,474.65,475.95,466.4,467.35,3465540
2024-05-23,469.2,481.95,465.7,480.1,5512760
2024-05-24,479.95,485.8,472.55,479.5,4877325
2024-05-27,482.0,484.7,475.2,476.0,3398210
2024-05-28,478.0,486.6,475.0,478.75,6493910
2024-05-29,475.0,479.55,471.6,474.95,2197930
2024-05-30,473.2,476.0,458.4,460.55,6688165
2024-05-31,463.8,477.45,462.75,470.8,12916455
2024-06-03,490.0,509.4,485.05,501.85,15161795
2024-06-04,508.0,508.0,438.6,452.15,17788625
2024-06-05,448.4,479.6,446.0,477.5,7114095
2024-06-06,486.0,507.0,480.0,494.95,10501485
2024-06-07,495.85,501.4,492.0,499.6,3706890
2024-06-10,502.0,510.5,497.05,503.8,4849020
2024-06-11,503.0,510.4,498.0,506.6,4681350
2024-06-12,506.95,516.7,506.1,513.4,3510365
2024-06-13,518.4,539.55,516.2,536.85,10022455
2024-06-14,542.4,549.4,539.0,546.45,15318425
2024-06-18,549.8,568.25,546.45,565.95,12393205
2024-06-19,565.95,566.2,552.0,558.25,9175135
2024-06-20,560.9,570.9,552.95,561.05,6948810
2024-06-21,562.0,568.4,559.0,564.35,9672340
2024-06-24,563.85,578.0,555.95,576.45,5367855
2024-06-25,576.65,600.0,572.35,597.95,15844875
2024-06-26,597.15,611.9,591.7,597.8,9032225
2024-06-27,597.4,599.35,584.8,590.2,12298175
2024-06-28,590.2,593.85,580.0,582.3,6005455
2024-07-01,580.4,588.4,580.4,584.85,6673330
2024-07-02,585.4,588.0,563.15,565.0,12638725
2024-07-03,568.0,577.0,561.1,570.1,7945600
2024-07-04,573.6,573.6,564.0,566.75,3958315
2024-07-05,567.0,574.45,562.85,573.15,6163345
2024-07-08,571.2,571.2,559.2,561.6,4065755
2024-07-09,561.8,562.8,555.05,558.4,6359760
2024-07-10,558.8,560.95,541.0,552.4,8300735
2024-07-11,552.4,557.1,542.85,547.8,5689115
2024-07-12,550.0,572.0,550.0,558.9,9030805
2024-07-15,562.6,577.8,561.45,576.45,7400215
2024-07-16,577.4,580.0,560.4,562.7,4907090
2024-07-18,555.4,574.8,555.4,573.45,4119020
2024-07-19,572.0,575.15,557.85,562.15,3677715
2024-07-22,560.0,569.6,552.8,565.5,2717785
2024-07-23,565.4,565.4,532.7,547.85,12227465
2024-07-24,547.8,552.0,533.05,544.85,5130575
2024-07-25,539.9,542.0,527.1,535.8,10445410
2024-07-26,541.15,608.8,538.0,585.0,32196680
2024-07-29,594.0,607.15,581.0,588.6,12753435
2024-07-30,588.6,596.3,578.4,582.4,9486875
2024-07-31,586.8,589.4,583.2,586.4,4655790
2024-08-01,586.6,599.8,584.0,597.85,8859720
2024-08-02,589.0,604.6,584.0,598.4,8905205
2024-08-05,575.2,588.35,561.6,578.3,9480440
2024-08-06,584.05,588.1,565.0,567.35,5917390
2024-08-07,578.0,586.4,574.1,585.0,3986695
2024-08-08,584.0,584.0,571.7,574.45,4434050
2024-08-09,582.0,594.65,576.0,591.6,4568775
2024-08-12,590.0,603.0,585.5,595.2,5709795
2024-08-13,596.0,599.1,572.1,578.25,7249815
2024-08-14,580.2,583.3,572.8,579.0,3626125
2024-08-16,582.6,598.4,580.4,596.3,4976095
2024-08-19,605.6,617.0,602.6,615.1,9092170
2024-08-20,623.6,635.4,610.45,631.95,12149555
2024-08-21,628.0,638.0,623.35,631.8,5227030
2024-08-22,633.0,633.4,624.65,628.7,4610695
2024-08-23,632.0,632.45,623.55,625.3,2466965
2024-08-26,628.0,635.95,622.2,632.45,3366050
2024-08-27,630.8,653.8,623.2,645.9,9915805
2024-08-28,645.0,649.6,638.35,640.35,3352220
2024-08-29,639.8,652.4,634.9,640.1,5976425
2024-08-30,640.15,644.9,635.4,640.9,11026125
2024-09-02,644.0,651.7,642.8,645.05,3165735
2024-09-03,642.2,656.6,638.0,654.3,7181415
2024-09-04,647.4,656.4,645.2,648.8,3467420
2024-09-05,649.4,658.8,645.85,649.1,3368300
2024-09-06,650.8,653.4,644.05,647.15,3058060
2024-09-09,658.0,664.65,643.2,663.15,8095085
2024-09-10,665.6,667.6,646.05,652.0,6190070
2024-09-11,653.0,659.6,650.8,656.0,2946285
2024-09-12,660.0,682.5,659.1,680.15,9163615
2024-09-13,679.95,685.0,673.0,673.65,4786700
2024-09-16,675.6,687.95,672.5,683.8,4724820
2024-09-17,683.0,693.35,681.5,684.9,8030320
2024-09-18,688.9,718.0,688.0,714.95,10582475
2024-09-19,714.3,724.75,700.0,705.05,6428925
2024-09-20,707.8,717.2,703.4,706.4,6407140
2024-09-23,710.2,722.4,708.0,713.55,2935070
2024-09-24,716.3,716.3,700.4,703.25,6681865
2024-09-25,703.25,707.95,691.6,704.8,3801635
2024-09-26,707.4,727.4,705.9,725.7,5359390
2024-09-27,723.6,730.45,719.15,724.2,4967200
2024-09-30,722.8,729.0,713.6,715.4,4405700
2024-10-01,715.4,725.55,711.55,714.1,3381135
2024-10-03,714.0,715.0,680.0,681.9,8036680
2024-10-04,681.4,682.9,663.1,667.25,8827525
2024-10-07,673.95,682.6,651.2,659.85,5480765
2024-10-08,655.6,674.6,655.6,665.85,9122180
2024-10-09,670.9,696.0,668.0,677.6,6569580
2024-10-10,680.0,683.2,665.2,667.55,3740385
2024-10-11,670.0,671.6,661.6,668.25,1799620
2024-10-14,673.6,686.0,670.75,679.05,3844085
2024-10-15,684.0,687.7,673.7,680.25,5209855
