date,open,high,low,close,volume
2023-12-26,3035.75,3060.55,3020.6,3050.5,237230
2023-12-27,3070.0,3087.45,3020.2,3030.15,556120
2023-12-28,3054.4,3071.35,3005.5,3016.6,991535
2023-12-29,3026.65,3070.6,3007.65,3066.0,251962
2024-01-01,3069.3,3091.4,3054.05,3066.65,168013
2024-01-02,3081.5,3084.55,3021.85,3078.9,276275
2024-01-03,3089.1,3131.0,3088.45,3112.05,455898
2024-01-04,3124.9,3144.05,3105.5,3114.75,290407
2024-01-05,3122.75,3134.45,3090.6,3106.0,183824
2024-01-08,3118.8,3120.4,3048.75,3059.0,221108
2024-01-09,3070.7,3213.25,3070.05,3194.55,858104
2024-01-10,3192.65,3221.85,3159.85,3184.9,350629
2024-01-11,3190.4,3197.95,3147.0,3168.95,171722
2024-01-12,3177.95,3191.05,3133.0,3164.6,210297
2024-01-15,3171.45,3183.95,3136.5,3171.8,201475
2024-01-16,3181.5,3199.55,3113.4,3126.0,247662
2024-01-17,3117.3,3148.4,3068.7,3128.55,233250
2024-01-18,3123.4,3127.75,3020.55,3079.05,246209
2024-01-19,3108.9,3162.25,3095.1,3155.0,146394
2024-01-20,3172.9,3172.9,3086.1,3103.8,66831
2024-01-23,3115.75,3149.0,3062.45,3111.1,629632
2024-01-24,3108.15,3208.7,3089.85,3198.8,287747
2024-01-25,3210.2,3215.65,3153.85,3203.65,215234
2024-01-29,3202.6,3290.2,3196.8,3279.95,604370
2024-01-30,3290.2,3302.4,3126.6,3156.55,641576
2024-01-31,3134.8,3209.35,3113.0,3154.15,642751
2024-02-01,3169.85,3237.15,3069.65,3126.9,837219
2024-02-02,3142.45,3268.1,3132.6,3170.85,710247
2024-02-05,3180.5,3237.65,3141.65,3159.9,403556
2024-02-06,3176.55,3237.65,3150.1,3212.3,207267
2024-02-07,3268.1,3268.1,3170.65,3237.05,299777
2024-02-08,3251.35,3302.4,3211.0,3219.8,308322
2024-02-09,3222.95,3276.65,3165.95,3257.3,303566
