date,open,high,low,close,volume
2023-12-26,579.95,589.8,576.0,578.85,962004
2023-12-27,582.0,625.7,581.0,614.5,10419288
2023-12-28,618.0,636.85,608.0,631.8,7406636
2023-12-29,639.05,651.65,633.1,644.5,4121670
2024-01-01,646.0,657.9,639.6,645.65,2080698
2024-01-02,646.0,651.7,630.0,641.7,1783141
2024-01-03,643.5,643.85,630.1,638.05,1062492
2024-01-04,640.25,669.95,638.35,648.5,3434482
2024-01-05,650.85,662.85,644.15,647.1,1446002
2024-01-08,648.0,649.25,635.5,638.1,801005
2024-01-09,641.1,646.5,632.15,637.55,956631
2024-01-10,640.0,643.0,611.05,614.7,2299073
2024-01-11,617.5,624.5,605.05,606.7,2528881
2024-01-12,607.3,611.4,602.65,605.35,1518070
2024-01-15,608.85,613.45,595.05,599.5,1443551
2024-01-16,597.95,599.8,585.0,589.65,1419145
2024-01-17,587.5,588.75,575.0,577.1,1370375
2024-01-18,577.0,581.25,562.1,576.95,1231476
2024-01-19,581.6,587.65,574.0,584.95,1622887
2024-01-20,587.4,592.0,585.25,587.05,365201
2024-01-23,590.1,591.5,571.25,579.95,1948854
2024-01-24,599.0,599.0,578.5,585.7,2193213
2024-01-25,585.25,590.55,578.5,585.4,1029950
2024-01-29,590.0,599.0,587.0,597.3,1113808
2024-01-30,597.35,608.4,591.65,596.9,1891243
2024-01-31,596.9,620.1,593.15,618.2,2892565
2024-02-01,622.15,632.7,620.0,629.25,1660958
2024-02-02,629.4,641.0,619.25,630.35,1737527
2024-02-05,630.35,646.2,626.15,639.5,1141079
2024-02-06,635.1,646.9,625.0,631.3,1086519
2024-02-07,635.0,636.5,621.85,627.4,567480
2024-02-08,629.5,629.95,603.25,607.55,761555
2024-02-09,607.0,621.85,590.7,619.35,794470
2024-02-12,627.0,627.9,585.0,593.95,613057
2024-02-13,593.95,599.15,581.25,583.4,544785
2024-02-14,580.0,613.5,580.0,606.3,1259798
2024-02-15,616.15,617.5,608.35,613.2,566335
2024-02-16,616.0,626.1,611.45,613.9,724514
2024-02-19,618.0,623.3,612.05,614.8,743984
2024-02-20,619.85,656.5,618.6,639.85,5326806
2024-02-21,642.0,642.0,608.5,612.3,1516659
2024-02-22,615.0,616.95,605.7,612.95,1034652
2024-02-23,642.8,652.0,617.3,649.25,4777513
2024-02-26,650.0,669.85,643.05,664.1,2873080
2024-02-27,666.0,694.8,665.0,688.1,4604527
2024-02-28,689.0,691.5,655.0,660.8,2014512
2024-02-29,654.0,718.85,653.05,689.35,8128571
2024-03-01,693.35,696.0,668.2,671.35,1345119
2024-03-02,673.2,703.9,671.95,694.2,278592
2024-03-04,694.2,694.2,671.0,672.95,1516854
2024-03-05,677.0,687.0,671.25,680.2,1165243
2024-03-06,681.0,686.7,663.15,681.3,1282712
2024-03-07,680.5,695.25,678.5,684.35,2177919
2024-03-11,690.0,715.2,682.55,701.35,2312254
2024-03-12,703.45,708.0,679.5,686.95,1391629
2024-03-13,684.0,688.05,603.65,642.5,6954030
2024-03-14,629.3,648.0,622.05,638.9,2642690
2024-03-15,639.0,647.15,626.4,641.6,1970945
2024-03-18,645.0,669.1,645.0,663.05,2360158
2024-03-19,664.0,664.4,648.0,653.8,1064611
