date,open,high,low,close,volume
2023-12-26,407.95,412.0,401.05,402.7,498815
2023-12-27,404.8,413.8,404.05,406.8,286993
2023-12-28,408.8,409.95,402.1,404.85,392019
2023-12-29,405.45,409.55,402.0,404.05,189738
2024-01-01,405.4,411.4,404.2,410.15,507213
2024-01-02,412.5,424.95,411.3,414.35,909272
2024-01-03,415.75,418.9,403.05,405.7,828260
2024-01-04,410.0,413.9,403.3,405.8,726829
2024-01-05,411.9,418.5,407.05,417.4,1413057
2024-01-08,421.0,430.6,418.0,419.95,1890944
2024-01-09,425.0,425.0,412.95,417.45,1277927
2024-01-10,418.85,418.9,407.5,408.2,504370
2024-01-11,411.25,414.1,406.0,407.6,447349
2024-01-12,407.0,413.7,406.9,408.25,1173960
2024-01-15,409.9,411.8,402.0,403.45,535341
2024-01-16,404.85,407.9,402.65,403.7,406015
2024-01-17,403.65,404.0,399.2,399.9,359229
2024-01-18,399.9,403.5,394.6,400.0,334564
2024-01-19,401.6,407.5,401.0,402.8,250607
2024-01-20,402.5,409.5,402.2,403.35,209761
2024-01-23,405.0,406.25,392.85,396.25,216370
2024-01-24,395.0,400.6,391.35,398.15,148650
2024-01-25,399.35,401.0,393.0,394.2,115214
2024-01-29,395.0,399.95,394.0,396.6,205549
2024-01-30,398.6,401.45,393.0,394.85,274426
2024-01-31,395.05,417.5,394.6,415.6,1099531
2024-02-01,413.1,414.25,400.0,402.75,419560
2024-02-02,400.0,401.2,393.55,400.05,476408
2024-02-05,400.85,405.7,395.05,396.65,296946
2024-02-06,397.85,402.4,394.0,396.45,238541
2024-02-07,398.9,399.95,388.25,390.35,310834
2024-02-08,393.85,393.85,382.85,390.15,245954
2024-02-09,390.15,391.0,380.8,382.95,181382
2024-02-12,381.9,384.95,378.65,379.25,173222
2024-02-13,380.0,384.0,375.0,379.7,185571
2024-02-14,375.15,381.55,370.0,375.55,272544
2024-02-15,380.0,383.25,374.6,377.8,240505
2024-02-16,381.0,383.1,374.8,378.15,230717
2024-02-19,378.15,380.35,374.7,378.05,237063
2024-02-20,375.0,380.5,375.0,377.8,151745
2024-02-21,379.9,379.95,375.0,375.2,201080
2024-02-22,378.0,378.25,372.2,376.0,78123
2024-02-23,377.1,395.0,375.0,384.7,525144
2024-02-26,384.7,385.25,380.5,384.65,245399
2024-02-27,386.8,387.9,381.25,382.95,191894
2024-02-28,382.95,383.6,373.0,374.4,374451
2024-02-29,374.05,376.85,372.3,374.15,171130
2024-03-01,375.65,376.85,373.5,374.6,147212
2024-03-02,379.8,379.95,374.55,376.4,21595
2024-03-04,377.95,378.25,370.5,371.35,266116
2024-03-05,371.0,374.0,370.1,370.75,169747
2024-03-06,372.75,372.75,358.55,361.6,445252
2024-03-07,365.7,369.0,359.25,360.1,323120
2024-03-11,360.15,360.85,351.95,353.3,610054
2024-03-12,354.0,355.0,347.05,347.95,542439
2024-03-13,348.0,350.7,336.65,339.35,494290
2024-03-14,339.4,347.85,336.1,344.8,428208
2024-03-15,345.9,347.4,339.5,344.0,182817
2024-03-18,345.35,346.0,340.15,343.4,176927
2024-03-19,345.8,349.0,342.0,344.3,209041
2024-03-20,344.3,350.0,344.3,347.05,289122
2024-03-21,349.05,351.3,346.0,346.2,169541
2024-03-22,345.2,373.2,345.15,366.15,584049
2024-03-26,362.65,364.35,347.0,349.2,809491
2024-03-27,353.95,353.95,343.85,345.7,872069
2024-03-28,346.75,349.0,341.8,347.75,473156
2024-04-01,354.95,362.85,350.05,361.95,271825
2024-04-02,363.95,364.35,360.0,361.55,173131
2024-04-03,362.5,374.0,359.4,371.45,364252
2024-04-04,373.35,375.45,364.5,365.5,291230
2024-04-05,366.3,382.4,364.55,380.15,697173
2024-04-08,381.05,393.2,377.1,390.65,638659
2024-04-09,390.75,391.9,383.1,385.45,172933
2024-04-10,385.45,414.4,382.25,404.35,1208380
2024-04-12,404.35,408.9,400.15,403.15,613304
2024-04-15,398.05,401.1,387.05,391.3,426191
2024-04-16,391.05,395.05,388.0,389.2,139220
2024-04-18,392.75,404.35,390.15,399.85,305342
2024-04-19,396.0,411.0,390.3,401.35,506094
2024-04-22,410.0,413.5,404.75,408.2,423944
2024-04-23,412.0,412.0,401.55,402.3,240656
2024-04-24,403.0,406.3,398.1,399.7,153651
2024-04-25,400.4,409.5,399.35,407.05,265736
2024-04-26,410.5,411.15,402.25,404.25,301705
2024-04-29,406.2,406.2,399.0,401.3,164617
2024-04-30,402.55,405.3,395.5,401.1,262446
2024-05-02,401.9,405.7,396.0,401.5,227937
2024-05-03,402.6,404.3,393.35,403.15,296255
2024-05-06,403.95,403.95,394.0,398.55,127499
2024-05-07,399.3,401.2,390.0,399.55,176254
2024-05-08,398.0,405.0,392.25,394.1,188454
2024-05-09,394.95,398.0,384.6,386.25,175201
2024-05-10,387.4,390.15,383.45,384.55,81907
2024-05-13,384.65,390.0,380.05,387.05,157988
2024-05-14,393.4,406.0,388.05,399.5,289918
2024-05-15,400.25,402.05,391.2,393.55,242802
2024-05-16,395.5,396.5,391.85,393.3,77343
2024-05-17,394.35,412.0,392.65,409.55,738423
2024-05-18,412.0,412.75,404.0,405.75,41379
2024-05-21,405.0,419.5,400.5,412.6,581170
2024-05-22,414.8,421.35,404.55,419.65,791056
2024-05-23,422.7,442.9,421.5,436.5,1920556
