date,open,high,low,close,volume
2023-12-26,3569.8,3594.7,3452.45,3498.0,72522
2023-12-27,3498.0,3667.5,3472.0,3596.6,76192
2023-12-28,3602.65,3619.95,3495.15,3526.45,51122
2023-12-29,3544.1,3589.75,3478.7,3508.3,34228
2024-01-01,3508.3,3595.0,3465.0,3496.35,12983
2024-01-02,3518.0,3543.95,3447.0,3531.1,16004
2024-01-03,3531.1,3640.9,3505.0,3611.5,39098
2024-01-04,3622.0,3642.6,3600.0,3613.1,9072
2024-01-05,3610.4,3640.0,3558.45,3625.85,16476
2024-01-08,3629.0,3750.0,3568.05,3719.4,64790
2024-01-09,3748.9,3865.0,3620.05,3657.15,52459
2024-01-10,3668.95,3700.0,3548.65,3671.25,46855
2024-01-11,3695.0,3708.0,3625.1,3683.4,20053
2024-01-12,3699.0,3794.4,3660.05,3709.75,49925
2024-01-15,3746.1,3785.0,3614.25,3640.1,28887
2024-01-16,3680.0,3680.0,3600.7,3626.55,27522
2024-01-17,3643.9,3680.0,3568.1,3589.2,40334
2024-01-18,3607.15,3673.85,3570.2,3633.3,29880
2024-01-19,3651.5,3683.0,3571.3,3587.9,36628
2024-01-20,3591.0,3627.8,3550.55,3565.85,6921
2024-01-23,3566.0,3665.5,3558.15,3598.35,43502
2024-01-24,3616.35,3675.0,3580.05,3596.85,28641
2024-01-25,3645.0,3664.5,3522.85,3547.7,25293
2024-01-29,3556.0,3603.7,3525.0,3540.8,29709
2024-01-30,3552.0,3607.25,3511.5,3535.6,55138
2024-01-31,3537.0,3619.3,3524.9,3567.65,35819
2024-02-01,3567.75,3596.4,3462.0,3523.5,138130
2024-02-02,3523.55,3655.0,3523.55,3610.0,165162
2024-02-05,3610.75,3783.0,3610.75,3698.05,109246
2024-02-06,3722.9,3837.05,3711.6,3745.35,85271
2024-02-07,3745.35,3929.9,3744.0,3809.65,96250
2024-02-08,3845.0,3941.0,3732.35,3751.65,102179
2024-02-09,3751.65,3897.0,3705.0,3717.55,103427
2024-02-12,3788.0,3840.0,3676.0,3692.55,66597
2024-02-13,3703.65,3810.05,3642.35,3723.9,126471
2024-02-14,3702.0,3753.95,3675.2,3699.8,105784
2024-02-15,3707.3,3814.8,3707.3,3755.0,107340
2024-02-16,3799.5,3930.85,3755.0,3872.15,525093
2024-02-19,3950.0,4110.7,3914.05,4063.85,630917
2024-02-20,4099.35,4203.95,4025.0,4119.65,488158
2024-02-21,4175.2,4241.9,4145.9,4159.8,355655
2024-02-22,4185.9,4200.0,4134.65,4172.9,298492
2024-02-23,4173.8,4245.95,4168.45,4186.6,276754
2024-02-26,4223.15,4244.95,4179.4,4198.3,282303
2024-02-27,4231.0,4231.0,4188.1,4198.8,226737
2024-02-28,4201.55,4214.35,4150.0,4175.5,258804
2024-02-29,4175.5,4268.8,4154.0,4169.55,310657
2024-03-01,4209.95,4209.95,4151.55,4178.35,287375
2024-03-02,4178.45,4199.0,4056.0,4075.15,5755
2024-03-04,4115.05,4259.95,4105.0,4186.7,266225
2024-03-05,4190.2,4230.0,4183.3,4194.7,250722
2024-03-06,4202.4,4211.35,4180.0,4199.55,319018
2024-03-07,4209.0,4297.95,4079.75,4152.95,378324
2024-03-11,4205.0,4220.3,3922.35,3978.85,634057
2024-03-12,3986.2,4093.7,3965.0,4018.65,323234
2024-03-13,4018.7,4107.45,3866.85,3898.85,254241
2024-03-14,3920.9,3978.0,3831.75,3947.75,357588
2024-03-15,3952.25,3952.25,3751.0,3795.95,4059282
2024-03-18,3743.05,3874.8,3622.25,3850.15,307707
2024-03-19,3879.65,3965.0,3821.8,3885.4,333994
2024-03-20,3900.0,4000.5,3890.05,3974.3,223483
2024-03-21,4000.0,4070.0,3967.7,4027.5,167361
2024-03-22,4053.95,4085.0,3982.35,4028.65,113090
