date,open,high,low,close,volume
2023-12-26,4589.0,4624.95,4503.0,4589.05,61344
2023-12-27,4641.55,4747.0,4525.2,4626.75,124661
2023-12-28,4650.95,4667.05,4481.0,4496.75,86028
2023-12-29,4513.8,4562.85,4422.05,4542.95,81387
2024-01-01,4540.0,4565.0,4456.0,4476.15,78967
2024-01-02,4476.15,4498.0,4410.45,4484.2,50198
2024-01-03,4450.0,4488.45,4420.0,4437.65,35101
2024-01-04,4438.0,4496.0,4341.05,4398.45,98876
2024-01-05,4404.45,4449.9,4360.0,4379.65,53534
2024-01-08,4402.65,4470.0,4343.1,4363.7,57436
2024-01-09,4383.7,4390.0,4268.0,4284.35,88741
2024-01-10,4305.7,4364.25,4290.0,4306.1,38046
2024-01-11,4309.8,4345.0,4211.7,4228.9,68146
2024-01-12,4234.8,4234.8,4185.0,4216.75,61056
2024-01-15,4199.95,4200.0,4041.4,4158.6,275531
2024-01-16,4181.05,4239.85,4140.0,4162.9,105065
2024-01-17,4135.0,4135.95,4050.0,4062.6,77970
2024-01-18,4059.0,4059.0,3911.0,3924.5,170956
2024-01-19,3970.0,4194.7,3925.2,4123.5,664795
2024-01-20,4189.0,4190.0,4052.0,4070.0,32334
2024-01-23,4130.0,4234.0,4075.05,4162.65,437848
2024-01-24,4150.0,4150.0,4051.0,4103.55,172155
2024-01-25,4103.45,4103.45,3985.1,4014.85,152664
2024-01-29,4033.0,4175.0,4005.0,4168.35,129389
2024-01-30,4159.05,4238.95,4142.5,4210.4,148586
2024-01-31,4210.0,4223.95,4083.35,4129.95,239012
2024-02-01,4129.0,4140.25,4040.0,4070.55,121930
2024-02-02,4070.55,4149.5,4025.0,4137.7,64558
2024-02-05,4135.5,4198.15,4116.45,4175.65,86647
2024-02-06,4174.45,4175.65,4126.0,4148.75,64070
2024-02-07,4126.0,4197.15,4126.0,4183.6,161758
2024-02-08,4204.5,4212.95,4088.5,4109.35,63542
2024-02-09,4114.95,4149.95,4023.6,4054.2,118865
2024-02-12,4059.45,4083.6,3910.0,3935.8,75400
2024-02-13,3956.0,3962.75,3841.0,3914.2,164605
2024-02-14,3909.6,3909.6,3785.0,3796.8,114859
2024-02-15,3820.55,3861.5,3784.05,3803.9,105379
2024-02-16,3800.0,3980.0,3800.0,3955.95,198581
2024-02-19,4012.95,4095.55,3951.0,4056.35,111700
2024-02-20,4077.7,4090.3,3983.35,4066.75,75726
2024-02-21,4068.9,4068.9,3926.0,3958.2,89096
2024-02-22,3957.0,4001.0,3629.05,3830.95,232309
2024-02-23,3910.9,4075.0,3900.0,4051.75,192111
2024-02-26,4051.75,4111.45,3987.25,4087.95,129468
2024-02-27,4088.0,4220.0,4051.5,4174.75,136720
2024-02-28,4174.75,4198.7,4070.05,4118.55,335337
2024-02-29,4092.65,4220.0,3983.3,4150.6,287549
2024-03-01,4139.0,4154.0,4096.7,4127.3,83612
2024-03-02,4184.95,4184.95,4061.95,4120.85,1799
2024-03-04,4161.2,4190.0,4029.0,4047.6,89374
