date,open,high,low,close,volume
2023-12-26,511.5,518.2,498.6,503.35,3651075
2023-12-27,504.4,514.0,498.6,508.75,18439691
2023-12-28,507.0,515.8,500.7,512.85,6211831
2023-12-29,520.0,525.3,505.15,511.0,8136438
2024-01-01,514.0,514.75,505.3,509.85,3015852
2024-01-02,512.0,512.55,496.9,502.05,2372316
2024-01-03,503.9,505.0,497.5,499.4,1437262
2024-01-04,500.95,532.9,500.95,524.4,8723012
2024-01-05,537.0,566.4,530.6,560.25,12859232
2024-01-08,564.95,575.0,540.5,543.2,16431835
2024-01-09,549.0,556.3,531.3,540.85,12229529
2024-01-10,543.9,544.6,533.2,536.95,3377848
2024-01-11,539.2,546.0,537.1,541.85,3127050
2024-01-12,545.0,564.5,537.15,562.15,8382631
2024-01-15,564.0,564.9,541.25,545.25,4130359
2024-01-16,545.2,552.3,531.5,541.65,3433178
2024-01-17,530.0,546.4,528.4,539.25,3016675
2024-01-18,536.1,552.6,525.8,549.15,3195368
2024-01-19,556.0,590.95,551.8,584.95,9583379
2024-01-20,592.5,615.95,587.0,603.9,5664680
2024-01-23,606.0,612.1,571.1,583.75,5673233
2024-01-24,581.7,586.0,566.35,579.6,4973130
2024-01-25,582.95,617.9,582.7,609.2,6518078
2024-01-29,610.5,620.9,594.0,607.25,7909487
2024-01-30,613.0,631.0,605.0,622.45,8660105
2024-01-31,623.0,641.9,616.0,639.05,8745894
2024-02-01,660.0,665.95,643.25,649.2,6454725
2024-02-02,656.0,693.7,648.0,686.9,16657700
2024-02-05,686.9,698.75,671.5,676.2,4033116
2024-02-06,677.5,685.0,666.05,673.6,2618820
2024-02-07,670.1,675.75,656.25,661.05,1305273
2024-02-08,664.0,684.8,652.35,658.45,3470007
2024-02-09,662.0,711.4,653.2,708.2,12687415
2024-02-12,709.25,720.0,677.65,694.7,5327006
2024-02-13,699.0,713.9,678.05,709.1,3367363
2024-02-14,697.5,722.2,695.0,719.1,4218962
2024-02-15,726.0,741.0,723.05,737.4,6000183
2024-02-16,745.05,764.25,716.6,729.15,5602826
2024-02-19,716.0,736.8,711.35,728.45,2972231
2024-02-20,731.95,756.0,729.25,751.3,3093865
2024-02-21,759.9,762.6,706.1,710.9,5195671
2024-02-22,711.0,725.4,701.4,722.2,2783832
2024-02-23,722.2,740.0,717.8,736.5,1838669
2024-02-26,741.0,744.1,724.15,729.4,1355242
