date,open,high,low,close,volume
2023-12-26,111.5,114.75,107.7,108.7,2814680
2023-12-27,109.5,113.0,107.2,109.55,1776924
2023-12-28,109.5,109.7,107.0,107.5,1235206
2023-12-29,106.5,124.0,106.5,115.7,6835924
2024-01-01,116.2,122.5,114.6,119.05,1569360
2024-01-02,119.5,122.6,115.8,118.65,2556244
2024-01-03,117.35,123.2,115.05,120.5,1745146
2024-01-04,121.5,126.5,121.5,124.8,2522006
2024-01-05,125.0,136.0,124.5,132.75,4400106
2024-01-08,134.2,143.85,133.95,137.2,3932444
2024-01-09,138.6,141.1,136.8,137.8,1292668
2024-01-10,137.8,138.2,131.05,134.2,1358740
2024-01-11,135.2,137.2,132.5,133.8,759598
2024-01-12,135.2,136.0,131.3,134.3,791002
2024-01-15,134.5,136.95,132.95,134.2,896888
2024-01-16,134.45,139.0,131.1,134.1,1876002
2024-01-17,131.5,135.85,129.0,131.25,1721084
2024-01-18,131.5,133.5,124.1,132.15,991476
2024-01-19,133.35,138.2,132.15,136.5,1503334
2024-01-20,136.95,138.45,133.9,135.4,697412
2024-01-23,137.5,141.5,124.1,138.0,4470432
2024-01-24,139.0,165.55,138.65,165.55,6916790
2024-01-25,177.0,198.65,173.0,184.45,10153642
2024-01-29,187.5,191.2,172.1,176.85,2593718
2024-01-30,179.4,185.0,175.55,177.0,1213826
2024-01-31,177.5,178.0,172.95,173.9,611774
2024-02-01,174.5,178.0,165.2,172.45,721564
2024-02-02,172.5,180.5,172.5,177.6,629422
2024-02-05,178.0,180.3,168.7,168.7,383628
2024-02-06,168.4,168.4,160.3,162.2,485698
2024-02-07,163.5,170.0,163.5,169.2,319998
2024-02-08,165.0,175.0,162.6,165.0,262614
2024-02-09,166.0,167.0,156.7,158.7,330774
2024-02-12,156.1,159.95,150.8,150.8,297938
2024-02-13,146.3,151.1,143.3,144.3,585208
2024-02-14,140.0,151.5,137.55,151.5,194624
2024-02-15,157.4,159.0,155.3,159.0,107006
2024-02-16,167.0,167.0,160.0,167.0,417348
2024-02-19,166.1,173.25,160.5,170.9,383314
2024-02-20,171.5,171.5,162.35,162.35,223200
2024-02-21,160.0,169.0,154.25,167.9,510688
2024-02-22,167.5,173.3,160.0,172.4,299624
2024-02-23,172.4,174.6,167.0,172.1,257356
2024-02-26,175.5,180.7,175.5,180.7,673852
2024-02-27,185.0,185.0,172.0,180.1,461790
2024-02-28,185.0,185.0,171.1,171.9,340688
2024-02-29,171.9,176.45,163.55,173.0,181100
2024-03-01,173.0,177.0,167.55,175.2,236222
2024-03-02,177.0,177.5,170.0,172.5,30080
2024-03-04,172.05,177.5,170.0,176.6,295736
2024-03-05,178.0,178.9,170.5,175.5,187448
2024-03-06,175.8,177.0,166.75,173.05,381108
2024-03-07,171.5,173.05,166.5,171.8,210936
2024-03-11,171.45,171.45,163.2,163.2,208840
2024-03-12,155.5,171.4,155.1,168.95,405728
2024-03-13,168.95,170.0,160.5,160.5,223008
2024-03-14,152.5,168.45,152.5,167.8,574328
2024-03-15,167.8,168.5,160.0,164.6,209510
2024-03-18,160.6,164.45,159.5,162.7,119552
2024-03-19,163.0,163.0,157.0,159.3,109770
2024-03-20,158.0,162.0,152.05,155.2,219504
2024-03-21,157.05,162.9,154.0,162.9,155378
2024-03-22,165.0,171.05,165.0,171.05,310480
2024-03-26,174.95,179.6,172.5,179.5,626456
2024-03-27,177.5,188.4,177.0,188.4,412772
2024-03-28,196.0,197.8,186.3,197.8,805724
2024-04-01,206.5,207.7,206.5,207.7,183022
2024-04-02,218.1,218.1,201.0,213.7,763560
2024-04-03,209.5,223.5,205.0,218.7,533356
2024-04-04,218.5,224.1,212.0,221.8,496244
2024-04-05,220.0,232.9,214.65,232.9,633636
2024-04-08,242.0,243.25,221.3,237.25,751202
2024-04-09,249.1,249.1,249.1,249.1,589366
2024-04-10,249.0,261.45,245.0,260.5,1484538
2024-04-12,261.95,273.5,250.0,273.5,947478
2024-04-15,270.5,287.1,259.8,287.0,1115436
2024-04-16,299.5,301.4,290.05,301.4,1217258
2024-04-18,315.9,316.4,312.5,316.4,484494
2024-04-19,327.5,332.2,316.4,332.2,1608048
