date,open,high,low,close,volume
2023-12-26,328.55,331.4,325.0,325.4,11314266
2023-12-27,327.05,329.9,321.65,324.85,10349372
2023-12-28,326.6,331.0,324.0,329.8,16182026
2023-12-29,330.1,336.0,326.05,332.15,19909151
2024-01-01,333.9,335.85,328.15,330.3,10096386
2024-01-02,331.7,332.7,319.6,329.85,15689859
2024-01-03,329.6,329.6,324.85,326.7,9954264
2024-01-04,326.8,340.8,326.8,337.85,26968463
2024-01-05,339.35,349.7,336.15,340.75,37557423
2024-01-08,344.0,344.0,337.35,338.95,14548833
2024-01-09,341.65,344.85,338.05,340.2,14504090
2024-01-10,342.2,348.75,340.75,346.45,23432704
2024-01-11,349.45,360.0,347.85,357.3,33499272
2024-01-12,361.65,361.85,356.55,357.75,20933438
2024-01-15,359.65,360.2,353.0,358.9,12869181
2024-01-16,358.95,360.7,349.0,353.45,14129539
2024-01-17,352.4,355.35,346.5,348.8,12084011
2024-01-18,347.8,350.0,335.3,345.55,16863929
2024-01-19,348.0,351.3,345.1,348.65,13483525
2024-01-20,350.0,351.8,345.0,345.85,5631401
2024-01-23,365.5,365.75,341.2,346.2,25989141
2024-01-24,348.5,357.9,343.75,356.95,19810051
2024-01-25,358.95,366.7,358.0,365.1,19949672
2024-01-29,369.45,387.25,366.85,381.9,34448280
2024-01-30,386.1,392.8,382.0,383.25,23860682
2024-01-31,385.0,391.2,383.7,389.75,15543971
2024-02-01,392.1,396.7,385.45,388.85,25396799
2024-02-02,391.55,394.8,387.55,389.8,13340756
2024-02-05,395.5,402.5,390.2,394.0,22188678
2024-02-06,396.65,396.65,386.75,392.95,12288416
2024-02-07,395.7,401.75,392.0,395.15,13281036
2024-02-08,396.5,410.9,393.1,407.4,21626429
2024-02-09,412.9,412.9,384.05,392.1,38295877
2024-02-12,379.9,386.15,359.2,361.7,44078652
2024-02-13,361.7,366.5,354.6,365.05,21221871
2024-02-14,364.3,374.6,358.2,373.7,15216135
2024-02-15,376.65,382.35,374.75,378.85,16001298
2024-02-16,383.0,383.0,375.25,376.3,9592754
2024-02-19,383.1,385.8,379.1,380.5,12557987
2024-02-20,381.0,382.5,376.05,378.95,7298102
2024-02-21,380.7,383.85,373.5,375.45,10283746
2024-02-22,377.05,379.7,369.25,377.9,8449170
2024-02-23,379.35,381.75,377.5,378.4,5691333
2024-02-26,379.0,381.4,377.7,378.4,6228934
2024-02-27,379.0,379.5,373.95,375.55,6322898
2024-02-28,375.5,378.25,364.6,365.75,8577264
2024-02-29,367.0,374.0,363.05,371.75,8088079
2024-03-01,375.55,379.75,374.55,377.4,7853708
2024-03-02,378.95,380.6,377.65,379.15,1088134
2024-03-04,381.05,394.0,380.2,391.75,25814019
2024-03-05,392.0,399.95,390.5,396.15,18795182
2024-03-06,396.15,397.6,384.7,394.95,15795532
2024-03-07,396.0,433.3,396.0,425.25,98883541
2024-03-11,414.0,421.5,404.65,413.15,39122073
2024-03-12,414.4,414.7,395.0,396.1,26812422
2024-03-13,399.25,399.8,367.75,371.95,36185918
2024-03-14,371.95,386.3,365.55,384.45,27089563
2024-03-15,384.45,388.0,372.0,380.75,20859247
2024-03-18,382.85,394.45,378.55,392.75,34069247
2024-03-19,392.15,392.9,381.1,383.25,14809242
2024-03-20,386.0,388.35,371.1,379.9,18068658
2024-03-21,385.1,394.35,384.0,392.15,16908086
2024-03-22,389.9,395.5,386.5,390.7,11759985
2024-03-26,390.5,394.0,387.75,390.1,9140496
2024-03-27,391.55,393.85,387.5,388.4,9084482
2024-03-28,391.0,398.9,391.0,394.2,16040575
2024-04-01,398.95,408.85,397.55,406.95,17765438
2024-04-02,407.0,412.15,406.6,408.8,10630906
2024-04-03,409.0,415.25,407.35,412.25,12195598
2024-04-04,415.7,419.85,410.7,414.1,16383105
2024-04-05,414.1,415.45,408.05,414.6,8530184
2024-04-08,417.5,418.7,414.75,416.35,7588327
2024-04-09,417.0,436.15,416.35,429.9,37377906
2024-04-10,432.0,439.4,431.0,431.95,18390566
