date,open,high,low,close,volume
2023-12-26,1247.0,1260.75,1232.55,1254.0,1720830
2023-12-27,1259.9,1263.5,1239.25,1252.15,1584695
2023-12-28,1257.0,1261.0,1242.55,1257.95,2284964
2023-12-29,1257.95,1263.95,1240.1,1244.65,1187193
2024-01-01,1245.0,1275.8,1237.25,1269.15,1776828
2024-01-02,1270.0,1271.1,1244.85,1250.1,1615064
2024-01-03,1237.0,1246.0,1212.0,1216.2,2231707
2024-01-04,1222.1,1226.7,1203.7,1219.5,3355191
2024-01-05,1226.9,1243.85,1217.55,1220.3,1756868
2024-01-08,1222.2,1226.25,1193.4,1200.95,1320667
2024-01-09,1212.55,1223.2,1204.6,1207.65,994439
2024-01-10,1208.5,1218.45,1200.3,1212.9,808638
2024-01-11,1212.9,1233.8,1212.9,1221.4,930492
2024-01-12,1243.8,1283.75,1239.0,1280.05,5023455
2024-01-15,1307.0,1373.5,1305.85,1309.65,6012767
2024-01-16,1302.1,1304.2,1282.5,1292.4,1883106
2024-01-17,1278.0,1306.5,1277.25,1298.75,2313059
2024-01-18,1298.7,1341.5,1278.0,1327.15,4533782
2024-01-19,1345.9,1369.85,1327.0,1361.9,4463826
2024-01-20,1377.0,1378.2,1348.0,1357.6,1001018
2024-01-23,1368.5,1388.3,1328.75,1338.65,2683661
2024-01-24,1344.95,1382.5,1337.55,1379.95,2008135
2024-01-25,1320.0,1328.35,1284.05,1294.05,8424862
2024-01-29,1310.0,1310.0,1283.0,1286.35,2495791
2024-01-30,1295.95,1312.95,1287.0,1289.85,2293154
2024-01-31,1290.1,1308.0,1284.3,1305.65,1798462
2024-02-01,1302.0,1308.35,1281.75,1284.5,2286420
2024-02-02,1295.5,1326.0,1295.05,1310.1,1838847
2024-02-05,1317.8,1325.1,1300.0,1304.75,953919
2024-02-06,1302.0,1334.4,1300.1,1323.05,2713529
2024-02-07,1323.5,1330.7,1286.05,1290.0,2004588
2024-02-08,1298.0,1301.65,1274.0,1281.25,2308756
2024-02-09,1289.0,1293.45,1277.95,1283.05,1085349
2024-02-12,1290.4,1303.0,1283.1,1290.8,1149683
2024-02-13,1293.95,1306.8,1272.0,1300.45,1127361
2024-02-14,1282.0,1291.95,1254.65,1264.9,3426103
2024-02-15,1276.7,1280.0,1263.55,1272.35,1703763
2024-02-16,1277.1,1281.2,1270.0,1274.55,1994659
2024-02-19,1274.95,1290.0,1259.45,1282.0,1496111
2024-02-20,1282.0,1295.65,1274.0,1292.55,2113200
2024-02-21,1292.0,1297.0,1264.2,1268.6,1769508
2024-02-22,1279.0,1302.5,1271.35,1300.1,2201424
2024-02-23,1310.9,1314.55,1288.3,1294.25,1660506
2024-02-26,1294.25,1296.9,1267.0,1270.25,1196507
2024-02-27,1267.0,1277.05,1255.7,1268.05,1488661
2024-02-28,1274.0,1278.05,1243.0,1257.85,1289779
2024-02-29,1252.0,1257.2,1236.25,1245.85,2251498
2024-03-01,1259.0,1259.0,1240.0,1243.8,1560034
2024-03-02,1250.0,1254.0,1243.0,1244.5,217683
2024-03-04,1247.6,1257.5,1242.1,1252.05,1843831
2024-03-05,1246.9,1251.9,1231.1,1244.5,1420379
2024-03-06,1239.5,1246.35,1222.1,1243.0,2064350
