date,open,high,low,close,volume
2023-12-26,859.0,868.25,849.0,855.45,313304
2023-12-27,873.0,887.95,863.0,866.05,872886
2023-12-28,872.0,875.45,859.05,862.1,259360
2023-12-29,866.0,881.0,857.1,869.7,333938
2024-01-01,875.0,887.95,870.25,872.85,344732
2024-01-02,878.0,878.4,853.6,861.9,232960
2024-01-03,860.0,861.9,847.0,852.8,149854
2024-01-04,858.0,864.5,844.0,857.55,216393
2024-01-05,864.3,871.1,856.7,865.65,163698
2024-01-08,872.0,880.0,858.9,869.65,400279
2024-01-09,875.0,878.05,860.0,862.0,276088
2024-01-10,868.0,868.0,854.1,863.85,245573
2024-01-11,868.0,868.0,856.0,859.35,239182
2024-01-12,863.0,865.5,855.6,860.45,289237
2024-01-15,864.3,864.3,855.05,857.3,175759
2024-01-16,857.9,862.0,846.0,849.45,263006
2024-01-17,842.0,859.6,836.5,854.4,240720
2024-01-18,850.05,855.95,830.1,848.6,239074
2024-01-19,852.0,869.0,845.4,861.85,487198
2024-01-20,812.8,829.9,802.85,812.8,753761
2024-01-23,811.0,820.0,738.0,743.5,1102690
2024-01-24,743.0,788.0,742.7,785.45,647200
2024-01-25,785.45,795.2,770.0,771.2,228693
2024-01-29,775.95,780.65,754.0,755.8,416407
2024-01-30,760.0,767.9,745.0,748.15,256951
2024-01-31,753.0,789.2,750.0,785.45,802067
2024-02-01,793.0,795.75,767.6,770.55,273159
2024-02-02,776.7,789.2,765.05,768.7,225298
2024-02-05,765.0,767.0,745.2,753.45,316779
2024-02-06,753.45,762.15,750.0,759.3,172382
2024-02-07,765.0,776.0,759.3,762.35,259273
2024-02-08,766.9,768.35,745.05,748.0,234438
2024-02-09,753.0,756.0,725.5,727.35,351796
2024-02-12,730.15,732.45,685.0,689.2,512249
2024-02-13,689.25,701.95,652.85,682.8,531549
2024-02-14,675.0,721.95,665.0,709.55,857157
2024-02-15,716.0,756.0,705.25,738.5,1213598
2024-02-16,740.8,754.8,719.9,748.6,521608
2024-02-19,748.0,759.0,734.4,740.45,344892
2024-02-20,740.45,750.0,734.5,737.75,234954
2024-02-21,743.0,758.0,737.5,750.5,561452
2024-02-22,755.0,760.0,744.55,750.9,240065
2024-02-23,755.0,769.95,747.3,752.05,339720
2024-02-26,758.0,758.0,733.25,745.15,221761
2024-02-27,749.0,751.5,730.1,733.15,156317
2024-02-28,736.5,763.75,734.0,750.35,545493
2024-02-29,750.35,759.8,737.3,746.7,289180
2024-03-01,751.7,760.0,746.0,748.65,170601
2024-03-02,750.05,759.95,747.0,753.15,38050
2024-03-04,759.75,765.0,748.2,757.7,212063
2024-03-05,758.05,762.25,738.65,744.55,197592
2024-03-06,740.05,745.5,719.45,728.8,262008
2024-03-07,730.75,779.0,726.05,766.2,855222
2024-03-11,770.0,770.0,730.0,731.0,355481
2024-03-12,736.9,736.9,705.0,710.9,373928
2024-03-13,705.0,720.95,667.35,672.9,708244
2024-03-14,679.95,709.95,674.55,705.75,421341
2024-03-15,705.0,717.3,694.35,714.5,254335
2024-03-18,715.0,718.9,704.0,706.75,129565
2024-03-19,706.75,709.95,690.9,692.7,169622
2024-03-20,692.7,699.0,678.1,684.65,207470
2024-03-21,689.95,700.5,688.0,692.75,218580
2024-03-22,688.0,693.8,683.0,687.0,201522
2024-03-26,693.0,698.9,670.0,673.0,361260
2024-03-27,678.0,683.7,655.0,661.05,431174
2024-03-28,666.95,672.0,651.25,656.4,352077
2024-04-01,669.0,735.0,664.5,728.5,1476636
2024-04-02,731.0,767.0,720.55,757.65,712390
2024-04-03,753.0,767.0,741.5,754.2,497885
2024-04-04,754.75,788.25,750.5,774.7,950378
2024-04-05,779.1,779.1,762.3,767.5,266541
2024-04-08,805.0,820.0,791.0,799.25,1946173
2024-04-09,800.0,832.45,792.4,805.8,1035654
2024-04-10,805.0,816.15,797.55,803.3,349517
2024-04-12,804.95,812.0,778.2,784.0,464988
2024-04-15,768.0,789.8,750.55,766.75,462234
2024-04-16,763.5,816.05,761.3,794.2,1275586
2024-04-18,794.05,812.0,790.35,796.25,505641
2024-04-19,794.95,794.95,771.1,775.55,263935
2024-04-22,784.9,926.4,775.0,906.9,5248327
2024-04-23,1004.95,1088.25,984.4,1088.25,11997709
2024-04-24,1120.0,1135.0,1042.0,1069.1,4859643
2024-04-25,1058.3,1083.9,1031.0,1045.4,1297451
2024-04-26,1050.0,1054.3,1015.1,1027.95,1075204
2024-04-29,1040.0,1125.85,1040.0,1117.45,3097957
2024-04-30,1124.4,1183.35,1100.15,1144.35,1915080
2024-05-02,1146.9,1150.35,1100.0,1111.7,839918
2024-05-03,1118.95,1132.65,1080.0,1090.5,525053
2024-05-06,1094.05,1119.0,1052.5,1071.55,986071
2024-05-07,1072.35,1125.95,1034.0,1109.3,1324712
2024-05-08,1110.0,1128.5,1092.35,1118.25,997253
2024-05-09,1123.35,1159.4,1069.95,1079.7,1039450
2024-05-10,1066.0,1129.75,1066.0,1119.45,669890
2024-05-13,1124.95,1219.0,1088.45,1199.85,1636036
2024-05-14,1220.0,1220.0,1183.25,1195.6,650236
2024-05-15,1201.6,1204.7,1153.05,1197.35,605340
2024-05-16,1210.0,1246.0,1196.1,1202.35,907988
2024-05-17,1220.0,1220.35,1198.0,1204.45,353657
2024-05-18,1208.7,1218.0,1197.0,1203.15,96700
2024-05-21,1224.0,1224.0,1145.0,1155.05,579144
2024-05-22,1161.9,1177.0,1130.1,1158.1,473691
2024-05-23,1165.0,1199.3,1165.0,1169.45,363492
2024-05-24,1180.0,1189.95,1151.05,1155.2,280170
2024-05-27,1159.5,1191.2,1120.5,1160.05,413016
2024-05-28,1164.3,1184.0,1130.05,1174.2,305055
2024-05-29,1170.0,1209.0,1160.0,1176.9,373044
2024-05-30,1177.95,1181.55,1125.0,1132.25,315946
2024-05-31,1139.95,1153.9,1095.3,1114.4,601608
2024-06-03,1200.0,1200.0,1127.65,1169.25,575443
2024-06-04,1165.0,1166.8,1052.35,1053.0,1077030
2024-06-05,1063.3,1142.0,1000.55,1126.1,831830
2024-06-06,1159.9,1208.0,1132.75,1160.8,695857
2024-06-07,1165.9,1305.3,1161.15,1284.85,2881936
2024-06-10,1299.9,1308.3,1265.0,1285.9,1182423
2024-06-11,1295.0,1414.0,1285.9,1370.0,4474175
2024-06-12,1365.0,1375.0,1333.3,1364.4,1005427
2024-06-13,1373.05,1409.85,1362.0,1371.1,995768
2024-06-14,1375.0,1427.7,1353.05,1363.6,1297973
2024-06-18,1372.7,1394.95,1355.6,1375.25,620403
2024-06-19,1385.0,1480.0,1335.95,1428.95,2887326
2024-06-20,1438.65,1480.0,1400.25,1418.4,1398687
2024-06-21,1425.45,1436.95,1383.05,1414.8,855158
2024-06-24,1414.5,1450.0,1389.0,1419.45,550055
2024-06-25,1427.4,1440.0,1403.75,1411.5,553562
2024-06-26,1414.0,1414.0,1386.0,1394.3,419607
2024-06-27,1398.0,1495.0,1386.65,1432.15,2011442
2024-06-28,1450.0,1459.7,1405.95,1413.1,502007
2024-07-01,1420.0,1464.0,1408.0,1426.05,687721
2024-07-02,1433.0,1475.0,1415.0,1435.7,798649
2024-07-03,1436.0,1462.9,1436.0,1452.25,563259
2024-07-04,1457.9,1462.8,1425.1,1432.75,386300
2024-07-05,1440.9,1466.7,1416.5,1439.1,577794
2024-07-08,1447.1,1470.7,1412.0,1422.35,429823
2024-07-09,1431.75,1436.55,1358.45,1373.2,462852
2024-07-10,1380.05,1393.0,1290.8,1375.0,640666
2024-07-11,1380.8,1388.65,1350.0,1356.8,237230
2024-07-12,1375.4,1440.0,1370.25,1412.4,686100
2024-07-15,1435.0,1461.6,1411.0,1424.75,486931
2024-07-16,1435.0,1439.0,1425.0,1427.45,262459
2024-07-18,1440.0,1468.6,1410.25,1438.0,793445
2024-07-19,1445.95,1458.45,1340.4,1405.2,709667
2024-07-22,1385.0,1405.2,1305.0,1312.75,1541811
2024-07-23,1321.9,1351.95,1221.3,1271.4,1259594
2024-07-24,1293.0,1348.0,1293.0,1313.9,643293
2024-07-25,1313.65,1325.0,1280.0,1294.55,443084
2024-07-26,1302.7,1337.0,1292.0,1298.55,310710
2024-07-29,1308.8,1328.8,1286.0,1288.2,300982
2024-07-30,1292.95,1314.5,1286.15,1290.4,257883
2024-07-31,1296.95,1299.15,1233.45,1240.45,468098
2024-08-01,1255.0,1267.75,1222.55,1230.2,269538
2024-08-02,1206.0,1226.35,1193.3,1202.95,364340
2024-08-05,1140.0,1169.95,1106.0,1148.9,994759
2024-08-06,1170.0,1210.0,1140.0,1151.05,438825
2024-08-07,1191.0,1312.95,1165.0,1290.45,1798066
2024-08-08,1300.0,1300.0,1230.65,1234.85,572206
2024-08-09,1250.85,1265.4,1194.0,1204.85,433526
2024-08-12,1195.0,1266.0,1180.05,1251.85,369160
2024-08-13,1254.7,1276.45,1201.1,1206.1,282130
2024-08-14,1209.0,1215.9,1190.2,1202.05,185810
2024-08-16,1214.4,1239.85,1202.5,1206.4,170093
2024-08-19,1215.0,1235.45,1212.1,1224.3,172700
2024-08-20,1233.9,1270.0,1211.35,1262.95,391300
