date,open,high,low,close,volume
2023-12-26,3635.0,3665.0,3623.45,3656.7,526101
2023-12-27,3668.0,3695.0,3645.0,3689.25,666625
2023-12-28,3699.9,3737.0,3680.7,3715.1,1033648
2023-12-29,3715.1,3715.1,3660.25,3675.45,709614
2024-01-01,3689.0,3698.0,3667.5,3677.15,286683
2024-01-02,3689.0,3707.85,3642.5,3698.25,453685
2024-01-03,3708.0,3709.95,3665.0,3693.05,356757
2024-01-04,3696.0,3727.0,3686.65,3719.7,545228
2024-01-05,3719.7,3750.0,3687.25,3712.55,963628
2024-01-08,3770.0,3776.85,3695.8,3706.05,1202148
2024-01-09,3736.95,3753.95,3685.15,3694.0,572612
2024-01-10,3708.0,3730.0,3690.0,3714.45,556311
2024-01-11,3726.9,3742.7,3692.6,3698.6,392818
2024-01-12,3700.0,3734.3,3647.95,3726.0,990582
2024-01-15,3740.0,3775.0,3736.0,3758.85,661292
2024-01-16,3758.85,3858.0,3756.0,3820.3,1170685
2024-01-17,3818.95,3855.0,3800.0,3830.05,723356
2024-01-18,3791.35,3824.65,3718.85,3734.7,1293580
2024-01-19,3742.2,3861.5,3740.7,3810.6,2566367
2024-01-20,3833.95,3834.4,3780.0,3784.7,238575
2024-01-23,3786.0,3858.0,3705.75,3739.65,1053510
2024-01-24,3764.0,3780.0,3711.75,3767.85,636988
2024-01-25,3770.4,3796.95,3730.1,3770.2,646135
2024-01-29,3760.6,3875.0,3760.55,3866.65,699215
2024-01-30,3882.0,3886.95,3715.0,3735.75,852445
2024-01-31,3749.0,3775.0,3653.25,3697.55,1386754
2024-02-01,3738.0,3738.0,3601.0,3627.45,1408462
2024-02-02,3635.0,3713.45,3602.45,3612.4,2320153
2024-02-05,3612.95,3624.65,3534.9,3552.05,1771614
2024-02-06,3552.05,3577.95,3531.6,3559.15,1069901
2024-02-07,3578.0,3620.0,3555.8,3576.5,900220
2024-02-08,3604.8,3610.0,3503.0,3549.1,1011857
2024-02-09,3549.1,3597.9,3532.85,3591.6,838509
2024-02-12,3599.0,3618.6,3570.05,3585.25,487283
2024-02-13,3607.0,3608.75,3551.15,3559.95,796060
2024-02-14,3546.0,3593.85,3503.3,3585.55,1046318
2024-02-15,3595.05,3632.0,3571.0,3622.05,759063
2024-02-16,3648.0,3690.0,3624.5,3655.4,915502
2024-02-19,3671.95,3709.5,3650.0,3695.05,528874
2024-02-20,3700.0,3719.95,3665.5,3686.7,744107
2024-02-21,3652.05,3707.5,3640.0,3656.35,660426
2024-02-22,3676.0,3676.0,3555.35,3652.05,1017437
2024-02-23,3672.0,3737.0,3655.0,3691.95,897831
2024-02-26,3690.0,3690.0,3610.85,3622.5,546842
2024-02-27,3630.0,3675.0,3621.05,3653.85,673959
2024-02-28,3655.0,3669.0,3582.15,3594.7,538608
2024-02-29,3595.2,3654.0,3585.3,3624.4,1692242
2024-03-01,3630.0,3774.0,3626.0,3765.9,1533727
2024-03-02,3778.0,3778.0,3747.35,3764.1,51206
2024-03-04,3761.6,3764.1,3715.0,3732.4,787542
2024-03-05,3748.0,3759.15,3708.0,3750.75,733660
2024-03-06,3748.05,3815.0,3702.7,3810.75,765602
2024-03-07,3812.05,3824.25,3768.1,3786.9,838514
2024-03-11,3802.9,3808.0,3742.05,3750.15,597848
2024-03-12,3762.0,3766.0,3713.5,3748.8,564569
2024-03-13,3759.0,3762.0,3590.0,3625.7,1027729
2024-03-14,3629.95,3648.0,3580.15,3640.15,1293906
2024-03-15,3634.7,3655.95,3610.0,3633.2,1207241
2024-03-18,3619.0,3620.0,3565.1,3579.7,785257
