date,open,high,low,close,volume
2023-12-26,2986.1,2991.95,2961.65,2970.0,315645
2023-12-27,2975.65,3059.7,2975.55,3010.75,584065
2023-12-28,3025.0,3045.0,3003.0,3026.0,503705
2023-12-29,3030.3,3060.35,3001.4,3054.95,430702
2024-01-01,3061.8,3067.0,2995.5,3002.1,421730
2024-01-02,3015.45,3017.9,2940.75,2995.2,408928
2024-01-03,3009.0,3107.9,2988.35,3058.35,714968
2024-01-04,3074.0,3108.45,3060.85,3067.85,299498
2024-01-05,3085.45,3096.55,3045.0,3065.55,258565
2024-01-08,3080.95,3083.2,3037.8,3044.55,303947
2024-01-09,3069.0,3143.0,3058.8,3115.45,723237
2024-01-10,3126.5,3189.95,3112.15,3173.6,951897
2024-01-11,3190.0,3213.2,3168.5,3175.8,485141
2024-01-12,3203.0,3240.95,3162.1,3212.15,597455
2024-01-15,3238.0,3238.0,3180.5,3193.3,381958
2024-01-16,3203.55,3224.9,3143.15,3166.1,370700
2024-01-17,3153.0,3183.95,3117.15,3147.85,420338
2024-01-18,3138.0,3185.0,3090.0,3151.75,439730
2024-01-19,3169.95,3218.75,3147.55,3210.05,406436
2024-01-20,3229.0,3252.6,3187.0,3192.6,196720
2024-01-23,3207.0,3225.75,3150.0,3164.15,344687
2024-01-24,3164.1,3241.3,3130.0,3222.75,339968
2024-01-25,3223.05,3252.5,3180.0,3231.8,489321
2024-01-29,3248.0,3295.0,3225.6,3246.4,604096
2024-01-30,3263.0,3275.0,3029.05,3054.95,1206541
2024-01-31,3054.0,3104.5,2992.3,3086.95,986931
2024-02-01,3089.0,3133.8,3061.55,3102.8,742113
2024-02-02,3130.0,3213.15,3108.0,3126.05,892545
2024-02-05,3175.0,3180.0,3006.7,3027.15,808544
2024-02-06,3025.0,3121.4,3021.65,3035.0,718388
2024-02-07,3080.0,3634.7,2955.0,3607.5,5846891
2024-02-08,3735.35,3937.4,3619.65,3841.95,7374486
2024-02-09,3800.0,3858.0,3667.1,3759.55,2001715
2024-02-12,3767.8,3834.65,3700.1,3802.05,1087518
2024-02-13,3785.0,3880.0,3767.0,3851.25,1288707
2024-02-14,3802.15,3950.5,3792.1,3921.0,725269
2024-02-15,3931.1,4006.85,3875.75,3952.65,964837
2024-02-16,3970.0,4036.3,3930.3,4024.6,736660
2024-02-19,4048.0,4099.8,4013.7,4047.15,374829
2024-02-20,4057.95,4074.2,4010.55,4025.9,468003
2024-02-21,4045.1,4047.05,3873.85,3894.75,614056
2024-02-22,3922.0,3966.0,3829.7,3954.0,1012228
2024-02-23,3950.0,3950.0,3868.45,3885.8,555204
2024-02-26,3875.0,3913.95,3824.0,3844.6,671311
2024-02-27,3864.8,3995.0,3841.8,3937.5,861671
2024-02-28,3939.95,3954.95,3885.0,3924.8,411252
2024-02-29,3931.45,3969.95,3782.0,3881.8,1235124
2024-03-01,3924.0,3928.95,3858.35,3901.25,645099
2024-03-02,3922.7,3935.0,3900.0,3909.6,26075
2024-03-04,3909.6,3936.75,3842.5,3919.8,291319
2024-03-05,3929.5,3935.85,3845.05,3852.3,549270
2024-03-06,3876.45,3893.85,3750.25,3872.0,1009678
2024-03-07,3890.0,3978.0,3840.3,3952.2,680535
2024-03-11,3982.0,4243.95,3900.1,4004.7,3757634
2024-03-12,4025.8,4078.6,3957.55,4008.6,899570
2024-03-13,4022.95,4037.95,3877.5,3944.05,968084
2024-03-14,3900.0,4105.0,3870.6,4081.1,723158
2024-03-15,4051.05,4145.0,3981.25,4063.9,1197832
2024-03-18,4063.9,4084.0,4005.9,4071.05,328538
2024-03-19,4080.0,4088.0,3943.7,3955.65,489357
2024-03-20,3971.45,4004.95,3843.25,3965.05,607192
2024-03-21,3965.0,4015.7,3957.7,4001.85,622994
2024-03-22,4010.0,4025.0,3921.95,3948.6,678055
2024-03-26,3885.0,3948.6,3866.05,3881.75,844731
2024-03-27,3882.5,3922.5,3867.0,3875.2,524636
2024-03-28,3875.2,3975.0,3875.2,3948.0,837624
2024-04-01,3974.95,3983.4,3869.05,3886.8,523250
2024-04-02,3900.0,3909.8,3873.25,3891.9,604885
2024-04-03,3885.0,3947.95,3843.0,3922.85,727717
2024-04-04,3950.0,4028.95,3915.05,4003.2,910922
2024-04-05,4009.0,4052.9,3912.2,3932.6,679916
2024-04-08,3932.6,3980.0,3923.6,3931.85,471027
2024-04-09,3958.95,3958.95,3894.9,3902.35,483412
2024-04-10,3929.0,4113.35,3904.15,4021.15,1107300
2024-04-12,4047.0,4113.95,4025.0,4053.85,776121
2024-04-15,3950.05,4066.75,3934.25,3969.2,597371
2024-04-16,3968.0,4033.6,3912.4,3988.2,577349
2024-04-18,3988.0,4177.9,3976.6,4087.1,1484951
2024-04-19,4087.95,4174.75,3964.05,4158.95,1180675
2024-04-22,4215.3,4304.8,4115.0,4168.6,1179181
2024-04-23,4215.0,4225.0,4140.0,4158.3,626656
2024-04-24,4158.3,4245.0,4158.3,4221.75,641190
2024-04-25,4250.0,4347.0,4195.7,4323.15,761557
2024-04-26,4340.0,4373.0,4293.45,4304.85,622336
2024-04-29,4359.0,4515.0,4052.4,4314.1,2349939
2024-04-30,4450.0,4670.0,4380.05,4409.9,4924865
2024-05-02,4409.9,4676.7,4395.1,4646.7,1998618
2024-05-03,4680.2,4680.55,4482.0,4523.65,1313008
2024-05-06,4555.0,4580.0,4480.25,4509.05,735051
2024-05-07,4532.0,4558.0,4416.9,4503.95,982212
2024-05-08,4498.95,4542.0,4470.4,4498.6,596788
2024-05-09,4512.8,4548.5,4381.3,4407.95,688477
2024-05-10,4433.0,4484.25,4401.0,4471.4,549717
2024-05-13,4475.7,4521.65,4358.0,4465.7,637292
2024-05-14,4471.0,4549.0,4448.3,4540.35,559577
2024-05-15,4550.0,4579.5,4509.2,4527.0,413777
2024-05-16,4530.1,4634.2,4530.1,4596.65,500593
2024-05-17,4600.0,4673.0,4555.0,4634.55,752254
2024-05-18,4674.9,4674.9,4609.35,4643.0,53867
2024-05-21,4690.0,4727.95,4623.65,4667.3,668195
2024-05-22,4680.3,4713.85,4545.0,4646.95,742788
2024-05-23,4653.0,4712.0,4608.05,4698.55,459499
2024-05-24,4708.0,4777.9,4654.1,4715.4,549566
2024-05-27,4759.0,4760.85,4650.0,4682.0,611635
2024-05-28,4697.85,4723.75,4600.0,4615.9,445558
2024-05-29,4650.0,4719.5,4600.1,4672.05,744694
2024-05-30,4669.1,4698.0,4602.2,4651.35,523206
2024-05-31,4665.0,4710.0,4498.9,4559.15,3005008
2024-06-03,4745.8,4745.8,4604.5,4662.2,450140
2024-06-04,4685.0,4685.0,4196.0,4538.15,1175204
2024-06-05,4684.0,4932.05,4524.25,4903.8,1231971
2024-06-06,4910.05,4928.6,4821.05,4878.45,512601
