date,open,high,low,close,volume
2023-12-26,333.55,335.35,330.95,334.7,299442
2023-12-27,336.4,345.9,333.05,336.45,1125363
2023-12-28,338.75,349.0,334.8,346.3,845388
2023-12-29,346.0,355.0,342.35,344.7,1461366
2024-01-01,345.05,349.0,342.1,345.1,518097
2024-01-02,346.05,346.95,337.3,339.7,350186
2024-01-03,341.0,341.6,337.65,338.65,263244
2024-01-04,340.0,344.05,338.5,341.0,320282
2024-01-05,340.1,344.6,338.5,341.15,298937
2024-01-08,343.85,344.0,337.25,338.95,183720
2024-01-09,340.55,343.65,337.0,341.05,377830
2024-01-10,341.0,342.4,336.15,338.3,288429
2024-01-11,338.85,341.85,332.0,333.05,482322
2024-01-12,334.75,336.05,332.8,334.15,231085
2024-01-15,336.75,336.95,332.2,334.9,302920
2024-01-16,334.0,336.75,331.9,333.7,358414
2024-01-17,333.0,333.6,327.1,328.35,271231
2024-01-18,330.0,337.65,324.2,334.65,484027
2024-01-19,337.0,344.95,333.5,341.35,678272
2024-01-20,344.95,345.0,333.9,334.75,318975
2024-01-23,336.0,337.6,323.05,325.0,638127
2024-01-24,324.75,328.0,321.7,326.1,349425
2024-01-25,327.5,335.75,326.1,330.3,398557
2024-01-29,332.35,337.95,322.6,330.8,775652
2024-01-30,332.5,334.8,326.75,328.1,471347
2024-01-31,330.0,345.25,330.0,342.25,1217066
2024-02-01,342.3,345.0,333.85,336.95,390733
2024-02-02,339.0,344.65,336.75,337.9,643389
2024-02-05,339.9,361.4,339.7,349.9,2084611
2024-02-06,352.5,356.0,346.7,352.65,731546
2024-02-07,355.0,368.4,352.05,362.1,2025806
2024-02-08,362.15,364.4,354.6,358.1,563283
2024-02-09,355.9,355.9,338.45,348.55,537019
2024-02-12,350.0,351.3,330.6,333.6,439555
2024-02-13,333.6,335.0,325.95,331.65,276354
2024-02-14,328.75,340.95,325.9,332.85,439225
2024-02-15,335.45,339.25,333.0,335.95,264646
2024-02-16,338.4,344.4,334.25,337.9,261486
