date,open,high,low,close,volume
2023-12-26,39.6,39.75,39.15,39.2,6430312
2023-12-27,39.2,40.2,39.2,39.9,14024472
2023-12-28,40.1,40.85,39.5,39.7,17673803
2023-12-29,39.9,40.1,39.5,39.75,7127439
2024-01-01,39.85,40.35,39.6,40.0,8350081
2024-01-02,40.05,40.75,39.65,39.85,11186544
2024-01-03,39.85,41.75,39.8,41.05,31102708
2024-01-04,41.45,42.35,41.35,41.7,21629930
2024-01-05,42.1,42.6,41.0,41.35,15382544
2024-01-08,41.5,41.55,40.3,40.45,8154156
2024-01-09,40.55,40.85,40.15,40.35,5393378
2024-01-10,40.35,40.55,39.7,39.9,6614395
2024-01-11,40.05,40.7,40.0,40.1,6360989
2024-01-12,40.35,42.0,40.1,41.45,26451180
2024-01-15,42.0,43.25,41.25,41.65,32543074
2024-01-16,41.8,43.0,41.4,41.95,29996129
2024-01-17,41.05,41.8,40.6,40.9,16691879
2024-01-18,40.75,42.25,39.2,41.4,32142637
2024-01-19,41.9,42.1,41.15,41.5,14879619
2024-01-20,41.75,43.0,41.6,42.75,21796059
2024-01-23,43.8,44.25,41.35,41.75,42159975
2024-01-24,41.7,43.6,40.85,42.7,35928040
2024-01-25,42.3,42.5,40.85,41.2,25855430
2024-01-29,41.7,43.9,41.3,42.65,35608209
2024-01-30,42.95,44.95,42.3,43.75,46398613
2024-01-31,44.05,49.5,43.7,46.5,156641592
2024-02-01,47.2,49.85,46.25,48.9,96347496
2024-02-02,49.9,51.6,48.7,50.55,112088186
2024-02-05,51.35,60.65,51.2,57.75,206465797
2024-02-06,59.35,62.9,55.85,58.8,140960899
2024-02-07,59.8,70.55,58.9,68.4,210883479
2024-02-08,70.0,70.65,62.8,63.3,115529709
2024-02-09,63.7,64.9,58.1,60.55,64490554
2024-02-12,60.9,60.9,54.5,55.1,38435300
2024-02-13,54.9,58.1,52.3,56.6,53510740
2024-02-14,54.9,59.5,54.2,58.9,42505539
2024-02-15,59.35,62.0,57.55,61.6,62332576
2024-02-16,62.0,62.8,60.15,60.6,32557812
2024-02-19,60.75,62.6,59.6,60.65,32126033
2024-02-20,60.85,61.55,59.15,59.55,15928493
2024-02-21,59.75,61.35,59.1,59.55,19995228
2024-02-22,59.8,60.7,57.4,60.5,19840925
2024-02-23,60.55,60.85,59.0,59.2,13532627
2024-02-26,59.05,59.2,57.55,58.0,9910633
2024-02-27,58.0,58.3,56.15,56.6,11867390
2024-02-28,56.8,57.4,54.15,55.1,14956835
2024-02-29,55.2,57.1,54.0,56.7,17501630
2024-03-01,56.95,58.9,56.7,58.1,17607355
2024-03-02,58.2,58.4,57.55,57.75,1533145
2024-03-04,58.0,58.2,55.45,56.1,12236994
2024-03-05,56.3,60.9,55.6,60.3,43450872
2024-03-06,60.2,61.5,58.0,58.55,27983760
2024-03-07,58.9,59.8,56.45,57.5,26835442
2024-03-11,54.5,55.9,54.05,55.0,22217194
2024-03-12,55.0,55.2,51.1,51.65,25029847
2024-03-13,51.5,52.9,47.3,48.15,30333152
2024-03-14,48.15,52.95,47.3,52.95,20943620
2024-03-15,52.9,55.0,50.4,52.4,21270818
2024-03-18,51.5,52.7,50.35,50.6,12999880
2024-03-19,50.75,51.35,49.55,49.7,10933672
2024-03-20,50.15,50.7,48.95,50.4,12804494
2024-03-21,51.2,52.25,50.4,50.8,10268589
2024-03-22,51.0,52.1,50.8,51.5,10865434
2024-03-26,51.6,52.2,50.05,50.45,10068136
2024-03-27,50.9,51.2,49.25,49.55,11071605
2024-03-28,50.0,53.35,49.9,52.2,27813819
2024-04-01,52.65,55.4,52.45,55.15,20149810
2024-04-02,55.4,56.3,54.45,55.05,18838846
2024-04-03,55.0,57.3,54.5,56.95,24797023
2024-04-04,57.4,57.6,55.3,56.15,16041916
2024-04-05,56.0,57.5,55.45,57.05,19797356
2024-04-08,57.25,57.45,55.55,55.8,8629371
2024-04-09,56.2,57.2,55.5,56.25,12408265
2024-04-10,56.55,56.8,55.4,56.15,10378291
2024-04-12,55.8,56.4,54.9,55.1,8541579
2024-04-15,52.0,54.15,51.55,53.15,12592638
2024-04-16,52.8,55.0,52.35,54.1,11705631
2024-04-18,54.5,55.05,53.4,53.55,7032784
2024-04-19,53.0,53.8,51.75,53.5,10567274
2024-04-22,53.9,55.55,53.85,55.35,11536211
2024-04-23,55.6,55.7,54.6,54.9,9908514
2024-04-24,55.25,55.7,54.1,54.45,7614323
2024-04-25,54.6,57.5,54.25,56.8,24141393
2024-04-26,57.1,57.75,56.15,57.0,18891679
2024-04-29,57.65,59.15,57.3,58.5,28267184
2024-04-30,58.75,59.5,57.0,57.3,25571222
2024-05-02,57.7,57.7,56.1,56.25,9984238
2024-05-03,56.6,56.8,55.15,55.45,8197745
2024-05-06,55.8,55.85,53.5,54.3,9898683
2024-05-07,54.4,54.8,51.65,52.25,15443374
2024-05-08,52.4,53.65,51.8,53.3,7720267
2024-05-09,55.25,55.25,51.5,51.95,10456379
2024-05-10,52.05,53.3,50.2,52.95,11439270
2024-05-13,52.95,53.0,51.0,51.65,8255633
2024-05-14,51.95,52.7,51.6,52.1,6695898
2024-05-15,52.45,53.75,52.4,52.75,7033933
2024-05-16,53.15,53.4,52.1,52.55,6190952
2024-05-17,52.75,53.2,52.35,52.8,4948681
2024-05-18,53.1,53.85,52.9,53.65,1503991
2024-05-21,53.85,57.5,53.1,56.55,23833643
2024-05-22,56.95,57.35,55.55,56.8,11394151
2024-05-23,57.05,58.55,57.05,57.4,19489510
2024-05-24,57.45,58.5,56.7,56.95,16017808
2024-05-27,57.4,61.9,56.7,61.0,71172486
2024-05-28,61.45,61.9,57.25,58.15,34211309
2024-05-29,57.55,58.7,57.0,57.3,20788148
2024-05-30,57.1,57.9,55.7,55.95,19466033
2024-05-31,56.2,57.45,54.6,56.95,20207629
2024-06-03,60.5,62.35,58.05,61.8,64998905
2024-06-04,61.8,61.8,50.0,53.65,49622302
2024-06-05,54.05,55.1,50.95,54.45,25912998
2024-06-06,55.35,57.5,55.05,56.2,21285217
2024-06-07,56.4,57.3,55.4,56.95,13814874
2024-06-10,57.1,57.56,56.15,56.42,12334185
2024-06-11,56.5,56.93,55.8,56.16,10079346
2024-06-12,56.2,58.5,56.07,57.3,18590268
2024-06-13,57.9,58.04,56.7,56.94,9800932
2024-06-14,57.0,57.55,56.5,56.8,7897385
2024-06-18,57.0,57.76,56.0,56.26,8672742
2024-06-19,56.45,57.6,55.02,56.31,15082270
2024-06-20,56.59,59.1,56.42,57.42,26678575
2024-06-21,57.85,57.85,56.4,56.75,9426725
2024-06-24,56.5,57.08,55.92,56.2,6734795
2024-06-25,56.39,56.8,55.5,55.6,7446858
2024-06-26,55.8,56.32,55.0,55.12,7426029
2024-06-27,55.13,55.35,53.61,54.2,10268001
2024-06-28,54.3,56.08,54.29,54.78,9214823
2024-07-01,55.0,57.52,54.3,54.66,13845823
2024-07-02,54.89,55.24,53.75,53.94,6087072
2024-07-03,54.2,54.69,54.0,54.13,4852673
2024-07-04,54.27,54.55,53.75,53.91,5339473
2024-07-05,54.28,55.45,54.25,54.54,9989864
2024-07-08,54.88,54.9,53.81,54.08,5110957
2024-07-09,54.07,57.4,53.95,55.13,29728972
2024-07-10,55.35,55.74,53.9,54.72,8337963
2024-07-11,55.0,55.19,54.2,54.36,5754856
2024-07-12,54.5,55.33,54.2,54.38,6254547
2024-07-15,54.7,57.69,53.9,56.39,36859416
2024-07-16,56.5,57.85,55.67,56.09,11756138
2024-07-18,56.04,58.45,55.02,56.8,28686740
2024-07-19,56.8,57.7,54.66,55.06,14134582
2024-07-22,55.0,57.2,54.3,56.08,17290366
2024-07-23,56.25,56.4,52.25,54.45,14925419
2024-07-24,54.5,57.14,54.31,55.8,15792376
2024-07-25,55.49,56.54,55.12,55.65,7828296
2024-07-26,55.9,58.45,55.66,57.14,26098098
2024-07-29,58.0,60.68,57.16,57.34,31499863
2024-07-30,57.53,57.73,56.75,56.95,8823670
2024-07-31,57.2,57.28,56.01,56.26,7710637
2024-08-01,56.5,57.34,55.29,55.54,8569531
2024-08-02,54.99,55.9,54.57,55.18,7563458
2024-08-05,54.0,54.25,51.4,51.67,16249844
2024-08-06,52.45,53.45,50.26,50.55,12588351
2024-08-07,52.0,52.2,50.61,51.95,7958004
2024-08-08,52.0,52.92,51.21,51.47,8771018
2024-08-09,52.0,52.3,51.39,51.61,7221320
2024-08-12,51.01,51.38,50.62,51.17,5572721
2024-08-13,51.4,51.84,50.21,50.42,4405887
2024-08-14,50.4,50.65,49.6,49.74,6397489
2024-08-16,50.4,50.85,50.05,50.68,3238713
2024-08-19,51.2,52.25,51.19,51.95,5609042
2024-08-20,52.1,52.4,51.67,52.2,5435698
2024-08-21,52.5,52.53,52.05,52.23,3336026
2024-08-22,52.5,53.05,52.22,52.5,4892821
2024-08-23,52.7,52.7,51.55,51.86,3105359
2024-08-26,51.99,52.08,51.5,51.67,3827212
2024-08-27,51.7,51.98,51.37,51.5,3363183
2024-08-28,51.75,52.08,51.12,51.23,2800309
2024-08-29,51.3,51.44,50.6,50.93,3112900
2024-08-30,51.2,51.7,50.8,51.02,3340159
2024-09-02,51.1,51.19,50.24,50.58,4195476
2024-09-03,50.71,51.39,50.01,50.67,3255159
2024-09-04,50.49,50.74,48.2,50.02,3857406
2024-09-05,50.3,50.45,49.7,49.85,3540044
2024-09-06,49.85,50.08,48.8,49.03,4165472
2024-09-09,48.61,48.99,47.72,48.48,4946741
2024-09-10,48.71,49.5,48.71,49.17,3253890
2024-09-11,49.45,49.45,48.28,48.46,2923287
2024-09-12,48.9,48.99,48.33,48.53,2546370
2024-09-13,48.81,50.6,48.57,49.64,7055468
2024-09-16,49.9,50.57,49.3,49.5,4657048
2024-09-17,49.66,49.66,48.71,48.94,2418841
2024-09-18,48.94,49.21,48.36,48.64,2707251
2024-09-19,48.9,49.17,47.01,47.51,4645329
2024-09-20,47.7,48.24,47.25,47.93,3526300
2024-09-23,48.0,50.64,48.0,50.26,12083132
2024-09-24,50.39,50.39,49.21,49.38,5308366
2024-09-25,49.3,49.37,48.3,48.55,3118518
2024-09-26,48.7,49.48,48.02,48.55,5184091
2024-09-27,48.55,49.48,48.5,48.81,6274512
2024-09-30,48.69,48.88,48.0,48.24,3307722
2024-10-01,48.2,48.54,48.0,48.08,2294537
2024-10-03,47.05,47.7,47.0,47.1,3542627
2024-10-04,47.1,47.43,45.68,46.72,5999970
2024-10-07,47.01,47.44,44.2,44.56,6631537
2024-10-08,44.72,45.77,44.16,45.43,4286385
2024-10-09,45.9,46.43,44.2,45.78,3726064
2024-10-10,45.99,46.36,44.4,45.5,2717372
2024-10-11,45.84,45.84,45.15,45.26,2039918
2024-10-14,45.44,45.8,45.02,45.11,2282907
2024-10-15,45.33,45.4,44.91,45.18,2453597
2024-10-16,45.0,46.09,45.0,45.56,2748784
2024-10-17,45.71,45.79,44.9,45.11,2817461
2024-10-18,45.0,46.0,44.31,45.68,4760112
2024-10-21,47.8,48.43,46.1,46.39,19914386
2024-10-22,46.29,46.29,43.36,43.76,7825214
2024-10-23,43.99,44.35,41.83,43.54,10053249
2024-10-24,43.64,45.29,43.42,44.77,9342196
2024-10-25,44.8,44.81,42.52,43.03,5891822
2024-10-28,43.05,44.35,42.76,43.99,6924275
2024-10-29,44.2,45.24,42.52,44.98,6049017
2024-10-30,44.99,46.5,44.59,46.0,7701365
2024-10-31,45.6,46.74,45.58,46.11,5409076
2024-11-01,46.35,46.73,46.07,46.56,1337498
2024-11-04,46.41,46.41,44.97,45.44,3579786
2024-11-05,45.1,46.4,45.1,46.05,4435181
2024-11-06,46.15,46.8,45.99,46.67,4310476
2024-11-07,46.75,47.79,46.4,46.66,5141083
2024-11-08,46.39,46.59,45.25,45.48,2367241
2024-11-11,45.3,45.55,44.2,44.4,3655128
2024-11-12,44.55,45.18,43.52,43.87,2949524
2024-11-13,42.5,43.64,41.36,41.61,5791301
2024-11-14,41.8,42.2,40.2,41.27,4957458
2024-11-18,41.86,42.42,40.6,41.59,4366441
2024-11-19,41.75,43.17,41.71,42.48,6765690
2024-11-21,42.75,42.75,41.03,41.51,4234302
2024-11-22,41.95,42.19,41.5,41.87,3938304
2024-11-25,42.7,45.4,42.7,44.33,11462693
2024-11-26,44.36,44.62,43.38,43.81,4275132
2024-11-27,43.94,44.36,43.74,44.25,2936139
2024-11-28,44.32,45.38,44.06,44.96,5033496
2024-11-29,45.36,45.65,43.47,44.48,6167156
2024-12-02,44.4,44.6,43.91,44.24,2387025
2024-12-03,44.49,45.48,44.41,45.13,4584272
2024-12-04,45.3,51.5,45.2,50.39,92480063
2024-12-05,51.8,52.0,49.0,49.69,27264597
2024-12-06,49.8,51.94,49.11,50.03,30551055
2024-12-09,50.19,50.33,49.3,49.6,7623623
2024-12-10,49.49,49.89,48.3,48.73,9357157
2024-12-11,48.75,49.28,48.25,48.39,6279652
2024-12-12,48.39,48.88,47.66,48.62,5749588
2024-12-13,48.48,48.6,45.84,46.89,12962580
2024-12-16,47.0,48.3,46.8,47.06,6958293
2024-12-17,46.96,47.15,46.11,46.41,3816666
2024-12-18,46.25,46.49,45.2,45.36,4414375
2024-12-19,44.5,45.57,44.3,45.24,4350063
2024-12-20,45.0,45.6,44.0,44.18,4956288
2024-12-23,44.5,44.84,43.5,43.57,4202249
2024-12-24,43.93,43.99,43.43,43.8,2468672
2024-12-26,43.8,44.2,42.9,43.26,3720196
2024-12-27,43.56,43.77,42.91,43.01,2647177
2024-12-30,43.0,43.31,42.2,42.39,3263546
2024-12-31,42.49,44.09,42.25,43.87,4291824
2025-01-01,43.6,44.1,43.43,43.86,2797343
2025-01-02,43.96,44.62,43.21,44.08,4603742
2025-01-03,44.3,45.73,44.15,44.96,7623451
2025-01-06,45.6,45.63,42.65,43.01,5647250
2025-01-07,43.27,43.75,42.72,43.5,4133134
2025-01-08,43.5,43.5,42.76,43.23,2965117
2025-01-09,43.25,43.35,41.81,42.05,2712396
2025-01-10,42.25,42.42,40.6,40.92,3750249
2025-01-13,40.85,40.89,38.01,38.56,6077828
2025-01-14,38.63,46.27,38.63,45.27,21598947
2025-01-15,44.0,44.0,41.62,42.41,17827124
2025-01-16,42.85,44.15,42.81,42.94,8347158
2025-01-17,43.0,43.73,42.44,43.07,4663324
2025-01-20,43.25,45.12,43.07,44.56,8592601
2025-01-21,44.62,44.95,43.7,44.09,12740420
2025-01-22,44.11,44.14,42.63,43.15,5049227
2025-01-23,43.3,44.23,42.75,43.5,4294556
2025-01-24,43.7,43.71,41.9,42.13,4262055
2025-01-27,41.8,44.77,40.62,42.86,16383428
2025-01-28,42.85,43.74,42.02,42.67,7522475
2025-01-29,43.16,43.66,42.45,42.74,5058909
2025-01-30,42.9,43.19,42.63,42.85,2653483
2025-01-31,42.85,43.99,42.57,43.51,4932718
2025-02-01,43.94,44.25,42.67,42.9,4199404
2025-02-03,42.3,42.56,41.5,41.62,3401618
2025-02-04,42.49,42.7,41.85,42.11,3379616
2025-02-05,42.58,43.57,42.58,42.94,5004399
2025-02-06,43.2,43.2,42.27,42.45,3694025
2025-02-07,42.65,43.1,41.8,41.99,4884203
2025-02-10,42.0,42.2,41.14,41.24,2006388
2025-02-11,41.24,41.38,39.9,40.08,2669713
2025-02-12,40.39,40.43,38.27,39.96,5767287
2025-02-13,40.0,40.75,39.9,40.2,3064165
2025-02-14,40.46,40.46,39.0,39.25,3102799
2025-02-17,39.25,39.4,38.2,38.66,4462857
2025-02-18,38.4,38.8,37.25,37.4,4715214
2025-02-19,37.38,38.8,36.99,38.58,3527775
2025-02-20,38.32,39.48,38.13,39.36,3253029
2025-02-21,39.25,39.89,38.3,38.58,3168923
2025-02-24,38.2,38.35,37.78,38.06,2026948
2025-02-25,38.51,39.32,38.0,38.06,3551847
2025-02-27,38.48,38.65,37.35,37.65,2439181
2025-02-28,37.4,37.45,35.9,36.37,3739510
2025-03-03,36.6,36.79,34.01,34.84,6531729
2025-03-04,34.5,36.28,34.15,35.79,5195111
2025-03-05,35.99,36.9,35.9,36.76,3113428
2025-03-06,37.22,37.8,37.05,37.26,2934925
2025-03-07,37.3,37.75,37.01,37.44,3230191
2025-03-10,37.44,37.7,36.09,36.3,3689131
2025-03-11,35.81,36.56,35.41,36.11,3172649
2025-03-12,36.35,36.5,35.56,35.68,1837971
2025-03-13,35.8,36.1,35.11,35.2,2531661
2025-03-17,35.64,35.64,35.0,35.04,2045484
2025-03-18,35.3,36.44,35.14,36.13,4399454
2025-03-19,36.44,37.42,36.35,37.35,4570362
2025-03-20,37.72,38.12,37.0,37.09,3440932
2025-03-21,37.16,38.08,37.06,37.74,5080285
2025-03-24,37.74,38.76,37.73,38.18,8236005
2025-03-25,38.2,38.34,36.4,36.54,8165646
2025-03-26,36.89,37.09,35.9,35.98,6305039
2025-03-27,35.97,36.85,35.5,36.7,7615889
2025-03-28,37.0,37.29,35.4,35.7,6939432
2025-04-01,34.27,34.27,30.85,31.2,43855897
2025-04-02,31.5,32.09,29.65,30.04,41857217
2025-04-03,30.29,31.11,29.81,30.38,28503936
2025-04-04,30.79,31.2,29.7,29.81,22405832
2025-04-07,28.7,28.7,26.81,28.06,24418188
2025-04-08,28.85,29.21,28.12,28.89,15423300
2025-04-09,28.97,29.2,28.3,28.69,10978676
2025-04-11,29.5,29.5,28.72,28.94,8172251
2025-04-15,29.36,29.71,29.01,29.53,8009816
2025-04-16,29.5,30.61,29.5,30.25,11147302
2025-04-17,30.18,30.69,30.04,30.43,8134012
2025-04-21,30.5,31.73,30.5,31.27,13918704
2025-04-22,31.7,32.19,31.06,31.49,13340665
2025-04-23,31.8,31.8,30.62,31.17,9647933
2025-04-24,31.02,31.55,30.94,31.0,9360643
2025-04-25,31.1,31.1,29.78,30.45,15285336
2025-04-28,30.29,31.25,29.95,30.78,10755522
2025-04-29,32.15,33.14,31.8,32.07,61404161
2025-04-30,32.0,32.0,30.95,31.05,12632473
2025-05-02,31.0,32.25,30.76,31.53,14326310
2025-05-05,31.53,31.6,31.03,31.42,4533117
2025-05-06,31.4,31.6,30.3,30.38,8970239
