date,open,high,low,close,volume
2023-12-26,115.3,115.3,113.1,113.55,7968782
2023-12-27,114.2,116.55,113.7,115.45,12995015
2023-12-28,116.05,117.9,113.4,114.2,17861879
2023-12-29,115.0,116.15,114.0,115.5,10246266
2024-01-01,116.05,117.9,115.5,117.15,8090321
2024-01-02,117.8,120.15,116.4,117.3,15399801
2024-01-03,117.45,119.95,116.65,119.45,13474009
2024-01-04,120.0,121.4,119.8,120.45,16066005
2024-01-05,120.75,121.95,119.75,120.55,12856589
2024-01-08,121.55,122.0,118.2,118.95,12122073
2024-01-09,119.6,120.6,118.65,119.25,8045492
2024-01-10,119.2,120.4,118.15,119.8,8604396
2024-01-11,120.7,121.15,119.9,120.85,7312380
2024-01-12,121.4,128.9,120.75,127.6,42620166
2024-01-15,129.1,132.15,128.9,130.5,25866683
2024-01-16,131.35,136.6,129.9,132.35,30974573
2024-01-17,130.9,131.75,127.35,128.35,23673815
2024-01-18,127.2,130.25,124.5,129.35,21609345
2024-01-19,131.05,133.8,127.65,132.3,29183335
2024-01-20,133.3,141.8,132.1,138.2,37359672
2024-01-23,141.4,141.65,131.85,136.35,42032631
2024-01-24,135.6,139.5,131.45,139.25,25283547
2024-01-25,139.6,140.8,136.0,136.75,14886698
2024-01-29,137.4,141.4,137.35,138.5,15534613
2024-01-30,137.4,140.9,136.45,137.4,23496983
2024-01-31,137.65,137.95,135.5,136.25,21053555
2024-02-01,137.3,143.3,136.1,141.0,41841032
2024-02-02,142.6,148.85,142.55,145.2,38195913
2024-02-05,146.25,151.75,142.2,143.15,35858580
2024-02-06,144.4,145.85,140.6,141.35,18584278
2024-02-07,143.4,146.6,141.6,143.05,20366561
2024-02-08,144.8,150.35,144.1,145.85,36435011
2024-02-09,146.4,147.4,137.55,145.25,29123961
2024-02-12,146.4,146.45,134.6,136.15,22342661
2024-02-13,138.0,142.25,131.8,132.55,33817049
2024-02-14,130.4,136.15,129.0,135.45,28323626
2024-02-15,137.2,142.9,136.55,142.15,32155272
2024-02-16,144.25,145.9,140.1,141.1,28730074
2024-02-19,141.4,141.85,137.0,137.55,19834182
2024-02-20,138.8,141.4,137.2,137.5,20767191
2024-02-21,143.1,147.2,140.55,141.5,58178774
2024-02-22,142.85,144.35,138.5,143.7,24062941
2024-02-23,145.6,145.6,141.5,142.3,18645495
2024-02-26,141.4,145.05,140.65,143.55,21337245
2024-02-27,144.4,144.5,140.25,142.5,19010674
2024-02-28,139.4,140.05,135.25,137.25,44713845
2024-02-29,137.6,147.2,135.35,142.7,227287955
2024-03-01,143.35,144.1,141.7,143.1,17073718
2024-03-02,143.0,143.9,142.5,143.35,1346228
2024-03-04,145.2,146.8,143.65,145.25,18755485
2024-03-05,145.25,155.1,144.25,154.3,63767342
2024-03-06,154.4,155.0,149.4,151.4,27499978
2024-03-07,152.35,158.3,150.05,153.75,28694977
2024-03-11,154.55,157.25,149.15,150.15,19818827
2024-03-12,150.8,151.85,144.4,146.8,22173988
2024-03-13,147.9,149.4,135.9,137.95,27124015
2024-03-14,135.9,140.85,134.5,140.05,19666323
2024-03-15,140.3,146.9,134.1,144.4,24676537
2024-03-18,145.4,150.4,142.8,149.65,16880446
2024-03-19,149.25,151.75,144.55,145.55,13193308
2024-03-20,145.55,146.7,140.2,141.05,14794112
2024-03-21,143.3,145.65,142.55,143.2,9946607
2024-03-22,144.9,147.25,144.0,144.5,18104178
2024-03-26,144.5,147.25,143.1,146.4,10248530
2024-03-27,146.75,148.35,145.1,147.6,11982782
2024-03-28,148.4,150.6,147.65,149.9,11097927
2024-04-01,150.9,153.4,150.5,153.15,8727492
2024-04-02,153.0,154.6,152.0,153.2,8622393
2024-04-03,153.4,154.6,151.4,153.9,13943614
2024-04-04,155.55,156.55,153.5,155.5,15754706
2024-04-05,155.55,159.6,154.5,156.6,19219975
2024-04-08,154.4,155.8,150.5,151.4,17595394
2024-04-09,152.3,152.9,147.4,147.85,15084804
2024-04-10,148.25,148.6,146.25,147.3,17948422
2024-04-12,147.4,149.75,145.4,145.6,16088871
2024-04-15,141.4,143.6,139.8,141.7,15095810
2024-04-16,140.55,142.9,139.25,139.65,11737571
2024-04-18,140.7,143.3,137.75,138.95,11659346
2024-04-19,137.0,138.15,134.5,137.1,16570593
2024-04-22,139.1,148.4,139.1,147.0,27745626
2024-04-23,148.05,148.5,142.6,143.3,18952074
2024-04-24,144.7,145.35,142.9,143.5,8377083
2024-04-25,143.9,147.4,143.15,146.4,17834511
2024-04-26,147.9,149.7,146.7,147.3,14002368
2024-04-29,148.4,153.4,148.25,153.15,23970707
2024-04-30,153.4,153.4,149.65,150.6,16033285
2024-05-02,151.4,152.1,150.2,151.05,8371301
2024-05-03,152.0,152.4,145.85,148.9,13310526
2024-05-06,150.4,150.6,141.4,144.1,17264861
2024-05-07,146.4,146.4,137.2,138.2,20164121
2024-05-08,138.9,142.2,137.25,140.5,16847052
2024-05-09,141.4,143.5,137.2,138.5,14936492
2024-05-10,139.6,140.35,133.95,138.4,16412431
2024-05-13,135.35,135.8,126.75,132.8,33666442
2024-05-14,134.25,134.35,129.8,130.05,17206316
2024-05-15,131.5,137.0,131.2,135.35,19140585
2024-05-16,136.2,139.75,135.25,137.1,16210090
2024-05-17,137.1,137.55,135.4,135.55,11480094
2024-05-18,136.35,138.2,136.0,137.65,1429531
2024-05-21,137.8,140.15,135.65,139.15,16455024
2024-05-22,140.3,145.95,139.9,144.6,29496408
2024-05-23,145.4,149.4,145.35,149.0,18477670
2024-05-24,148.4,153.4,147.6,152.9,31907317
2024-05-27,153.6,158.2,152.55,156.4,26988783
2024-05-28,155.6,156.8,147.4,154.3,23175943
2024-05-29,152.25,155.15,150.9,151.4,11401297
2024-05-30,151.15,153.1,148.15,149.0,11542863
2024-05-31,149.6,158.0,145.4,156.55,76445028
2024-06-03,164.4,168.9,160.3,166.4,37182648
2024-06-04,166.3,166.3,132.4,135.4,58454122
2024-06-05,138.45,140.1,125.95,137.35,39006751
2024-06-06,141.15,146.3,139.45,140.95,23237245
2024-06-07,143.4,147.15,142.05,142.85,17894835
2024-06-10,144.4,147.4,142.9,143.62,16860939
2024-06-11,144.55,144.7,141.7,142.7,16386567
2024-06-12,143.4,145.2,142.99,143.78,16530250
2024-06-13,145.21,145.54,142.16,142.64,10014371
2024-06-14,142.94,144.25,141.25,143.95,8892430
2024-06-18,145.0,145.02,142.75,143.45,8014001
2024-06-19,144.05,145.5,141.7,143.65,9434557
2024-06-20,144.25,145.34,141.4,142.31,11132479
2024-06-21,143.8,143.89,141.15,143.34,12066820
2024-06-24,138.5,141.4,137.41,137.89,19720757
2024-06-25,138.9,139.65,135.9,136.61,14819259
2024-06-26,137.0,137.81,135.25,136.87,17100052
2024-06-27,136.87,136.87,133.65,134.79,15516200
2024-06-28,135.3,137.7,132.78,133.09,17791152
2024-07-01,133.79,133.8,131.4,131.8,15752734
2024-07-02,132.3,133.35,129.9,130.51,13862976
2024-07-03,131.45,133.3,130.95,132.58,11382619
2024-07-04,133.45,133.66,131.3,132.33,9703546
2024-07-05,131.9,133.6,131.6,132.13,9751722
2024-07-08,131.4,132.2,129.4,129.64,10139728
2024-07-09,130.27,137.19,130.01,136.18,24150550
2024-07-10,136.7,137.47,132.25,134.77,10287227
2024-07-11,135.7,135.85,132.4,133.18,9215193
2024-07-12,132.9,135.45,132.2,132.51,9543098
2024-07-15,132.9,137.4,131.8,135.58,22327366
2024-07-16,136.58,139.14,135.41,136.05,13617156
2024-07-18,136.4,138.2,135.44,136.2,14015928
2024-07-19,137.0,137.4,135.1,135.65,9426470
2024-07-22,134.65,138.96,133.51,136.17,12569391
2024-07-23,136.98,137.18,129.1,134.73,12529462
2024-07-24,134.01,136.35,133.45,134.52,8709147
2024-07-25,133.88,133.88,131.66,132.03,9428228
2024-07-26,132.3,133.35,130.82,132.87,8580365
2024-07-29,134.25,137.12,134.25,136.86,15178338
2024-07-30,136.5,137.46,134.65,134.9,11787457
2024-07-31,135.25,135.5,134.11,134.8,7821311
2024-08-01,135.69,136.09,134.4,135.26,7500594
2024-08-02,134.3,134.4,131.79,133.27,8343959
2024-08-05,129.5,129.84,125.18,125.73,22510832
2024-08-06,127.0,128.5,122.06,122.73,10663265
2024-08-07,125.0,125.44,120.84,122.17,17701548
2024-08-08,122.8,124.75,120.1,120.4,12293949
2024-08-09,122.35,123.37,121.23,123.02,10893251
2024-08-12,122.51,122.88,120.31,121.57,12166477
2024-08-13,122.0,122.33,119.02,119.37,12424537
2024-08-14,119.5,119.92,116.3,116.7,14750576
2024-08-16,117.74,118.94,116.7,117.53,8032926
2024-08-19,118.51,121.19,118.21,120.19,8738303
2024-08-20,121.42,127.0,120.02,125.56,18480067
2024-08-21,126.0,126.25,124.05,124.86,6350192
2024-08-22,125.4,128.0,124.87,127.68,10170504
2024-08-23,127.7,128.02,125.87,127.08,7380835
2024-08-26,127.1,127.75,124.2,124.56,9410059
2024-08-27,124.8,125.37,123.9,124.53,5719506
2024-08-28,124.59,125.25,122.91,123.34,6711889
2024-08-29,123.34,123.79,121.4,123.23,9647527
2024-08-30,123.85,125.39,121.1,121.54,13015776
2024-09-02,122.49,123.4,120.51,122.42,9080218
2024-09-03,122.95,123.45,121.48,122.54,8543755
2024-09-04,120.0,122.65,120.0,122.06,7475894
2024-09-05,122.98,123.62,122.0,122.98,5827144
2024-09-06,122.95,123.51,120.51,121.2,7379080
2024-09-09,120.51,120.9,117.11,120.08,12913331
2024-09-10,121.55,123.0,120.68,121.18,6293832
2024-09-11,121.0,121.28,117.25,117.56,6913248
2024-09-12,119.19,121.4,117.8,118.21,7510455
2024-09-13,118.99,121.75,118.0,120.19,11548234
2024-09-16,122.8,127.3,121.7,123.21,27066741
2024-09-17,123.22,124.48,121.83,124.13,9509474
2024-09-18,124.0,124.3,122.29,122.99,6371039
2024-09-19,123.35,123.89,119.3,122.62,9388649
2024-09-20,122.8,125.5,122.8,123.43,14117339
2024-09-23,124.4,127.95,122.52,127.37,16543781
2024-09-24,128.1,128.5,126.56,127.3,10044990
2024-09-25,129.0,129.0,125.67,127.0,9163939
2024-09-26,126.5,127.55,124.62,126.96,8084395
2024-09-27,127.4,127.55,121.47,123.51,31323568
2024-09-30,123.2,123.9,122.2,122.77,12931210
2024-10-01,122.56,123.64,121.5,121.86,4801876
2024-10-03,120.0,121.22,118.73,118.98,10929576
2024-10-04,118.5,120.86,116.73,118.86,13145222
2024-10-07,119.45,120.19,112.59,114.04,13576169
2024-10-08,113.51,114.9,112.9,114.56,7239203
2024-10-09,115.4,117.74,114.56,114.8,6626406
2024-10-10,115.3,116.24,113.71,114.01,4773755
2024-10-11,114.05,114.65,113.25,114.12,5448535
2024-10-14,114.45,116.45,113.34,114.05,10010655
2024-10-15,114.6,115.38,112.2,113.19,9770330
2024-10-16,113.18,114.35,111.72,111.96,9657072
2024-10-17,112.46,113.83,110.7,111.53,10159094
2024-10-18,111.16,114.27,110.27,112.22,11285455
2024-10-21,112.65,114.11,111.2,111.66,8437712
2024-10-22,113.2,113.2,108.31,109.24,17168854
2024-10-23,109.5,111.43,106.9,109.35,12706619
2024-10-24,109.35,111.78,108.1,110.27,8549338
2024-10-25,110.45,110.77,106.68,108.24,8890099
2024-10-28,108.79,113.47,108.16,112.87,10326648
2024-10-29,112.87,116.2,111.57,115.93,9796225
2024-10-30,115.93,118.7,114.89,116.68,9785179
2024-10-31,116.42,118.2,115.62,117.17,5161468
2024-11-01,118.0,118.1,117.6,117.85,1174904
2024-11-04,118.7,118.7,113.16,115.97,10185394
2024-11-05,115.94,118.4,114.89,117.38,7204485
2024-11-06,118.17,121.64,117.72,120.81,11111457
2024-11-07,120.81,122.41,119.85,120.07,6601342
2024-11-08,120.62,120.7,116.64,117.52,7220742
2024-11-11,117.5,119.64,116.05,119.15,7359808
2024-11-12,119.16,120.64,117.8,119.0,7092442
2024-11-13,117.6,117.85,114.71,115.66,8694315
2024-11-14,115.66,117.64,113.25,113.9,6290516
2024-11-18,114.0,116.0,112.0,115.18,6674880
2024-11-19,115.18,117.79,115.1,116.02,5367834
2024-11-21,115.5,115.83,112.34,115.22,9168096
2024-11-22,115.28,116.89,114.81,115.04,7863396
2024-11-25,117.09,121.34,117.09,119.79,17624755
2024-11-26,119.9,121.65,119.36,121.4,6930332
2024-11-27,122.44,123.5,120.24,122.88,7535056
2024-11-28,122.95,124.18,121.05,121.69,11913462
