date,open,high,low,close,volume
2023-12-26,1097.3,1108.9,1072.2,1077.05,784200
2023-12-27,1078.95,1090.05,1075.35,1083.2,502279
2023-12-28,1086.4,1103.8,1083.0,1093.8,685526
2023-12-29,1093.8,1122.0,1085.4,1117.75,1411353
2024-01-01,1124.0,1125.0,1101.85,1107.2,563368
2024-01-02,1110.9,1113.85,1078.8,1093.9,686566
2024-01-03,1097.2,1105.1,1085.05,1098.2,444285
2024-01-04,1102.0,1114.55,1100.6,1108.6,512069
2024-01-05,1110.0,1117.35,1093.2,1101.05,616100
2024-01-08,1110.05,1127.15,1095.0,1097.8,1238667
2024-01-09,1097.0,1110.35,1080.1,1096.35,922305
2024-01-10,1102.9,1129.9,1095.8,1117.35,1348846
2024-01-11,1119.0,1132.0,1108.3,1117.9,820469
2024-01-12,1119.5,1119.5,1101.35,1111.5,1306539
2024-01-15,1112.25,1112.9,1085.2,1105.85,950039
2024-01-16,1105.0,1123.6,1101.1,1110.0,1509427
2024-01-17,1101.0,1114.5,1086.35,1095.45,647461
2024-01-18,1087.0,1092.3,1061.3,1069.45,927129
2024-01-19,1080.0,1088.4,1063.85,1082.6,843847
2024-01-20,1080.0,1112.0,1080.0,1108.75,424326
2024-01-23,1113.0,1129.0,1095.1,1108.05,1288819
2024-01-24,1145.05,1146.0,1092.25,1112.2,2174641
2024-01-25,1112.85,1112.95,1077.2,1096.0,928881
2024-01-29,1100.0,1120.05,1089.55,1093.9,786771
2024-01-30,1098.05,1102.55,1078.0,1080.4,795246
2024-01-31,1082.0,1092.2,1074.15,1089.75,760259
2024-02-01,1090.0,1096.35,1077.7,1080.05,548008
2024-02-02,1090.95,1097.35,1080.6,1086.05,510352
2024-02-05,1089.9,1093.95,1058.95,1062.9,993598
2024-02-06,1074.0,1076.95,1054.7,1072.0,778083
2024-02-07,1076.5,1085.15,1065.1,1081.65,522858
2024-02-08,1087.0,1090.0,1076.05,1081.05,1155336
2024-02-09,1075.05,1113.0,1071.05,1111.5,1438336
2024-02-12,1111.5,1119.6,1090.0,1095.45,800005
2024-02-13,1095.0,1116.0,1075.0,1113.45,1031556
2024-02-14,1113.0,1132.0,1104.1,1129.1,965064
2024-02-15,1135.0,1148.95,1128.35,1144.05,1105029
2024-02-16,1140.0,1146.0,1120.9,1126.4,1186754
2024-02-19,1128.0,1163.9,1126.45,1156.9,855770
2024-02-20,1160.0,1160.0,1120.15,1143.6,884842
2024-02-21,1142.05,1149.0,1130.35,1141.2,859276
2024-02-22,1141.25,1162.65,1135.7,1159.75,573609
2024-02-23,1159.9,1180.0,1159.75,1166.05,874210
2024-02-26,1160.65,1167.0,1144.7,1146.8,436233
