date,open,high,low,close,volume
2023-12-26,220.0,220.9,217.55,219.7,12322864
2023-12-27,220.9,223.4,219.8,221.4,10673963
2023-12-28,222.0,228.35,222.0,226.55,15441735
2023-12-29,225.0,228.5,223.1,227.55,9136816
2024-01-01,227.55,229.3,225.0,226.15,6352734
2024-01-02,226.5,228.4,222.1,227.15,5803881
2024-01-03,227.5,236.25,224.85,232.8,22285124
2024-01-04,239.0,239.65,234.35,235.15,10745140
2024-01-05,235.15,240.25,232.1,234.85,12327980
2024-01-08,234.85,236.6,226.8,227.45,7890414
2024-01-09,230.9,233.4,224.65,229.4,10284498
2024-01-10,224.65,237.2,220.95,236.05,19849401
2024-01-11,237.6,245.0,235.55,243.6,24108269
2024-01-12,243.6,244.0,239.2,241.55,10048702
2024-01-15,243.0,244.0,238.7,242.0,9881531
2024-01-16,246.0,247.05,238.35,242.2,12507371
2024-01-17,239.45,241.45,232.6,233.85,10649774
2024-01-18,234.5,237.9,227.0,236.55,9930238
2024-01-19,237.15,238.7,234.9,235.45,4537034
2024-01-20,235.75,236.75,233.35,233.85,2943766
2024-01-23,235.85,236.0,219.65,221.15,8740319
2024-01-24,223.8,232.3,222.1,231.55,6563186
2024-01-25,233.35,235.8,229.65,232.6,5195068
2024-01-29,232.75,238.15,229.5,236.8,11648515
2024-01-30,237.15,240.3,234.25,235.25,6620878
2024-01-31,235.8,245.9,234.75,242.85,9537630
2024-02-01,244.45,245.5,234.05,237.5,7974578
2024-02-02,239.2,245.8,237.75,241.55,9665486
2024-02-05,241.85,248.85,240.55,242.6,10619393
2024-02-06,242.7,253.5,238.85,252.0,11559491
2024-02-07,254.0,254.85,246.6,251.3,7603119
2024-02-08,253.0,254.5,245.6,247.6,6966850
2024-02-09,248.0,249.45,237.4,243.35,4627489
2024-02-12,245.95,250.05,234.05,237.15,6191878
2024-02-13,236.55,240.0,229.7,238.5,4469509
2024-02-14,238.0,251.6,233.55,248.65,11916664
2024-02-15,251.55,253.0,236.0,236.95,108103036
2024-02-16,238.25,241.0,234.1,235.8,16394886
2024-02-19,237.9,242.2,236.1,239.15,10944899
2024-02-20,239.9,241.2,237.1,239.15,9025475
2024-02-21,242.0,245.4,237.5,239.0,12329064
2024-02-22,240.9,241.95,236.1,240.5,6661898
2024-02-23,241.0,241.2,237.0,237.35,5955886
2024-02-26,237.95,237.95,233.05,234.25,4923166
2024-02-27,235.7,237.0,231.6,232.9,5033046
2024-02-28,237.5,241.3,230.55,231.95,17579831
2024-02-29,232.1,238.9,229.8,237.05,9404521
2024-03-01,234.1,241.9,232.6,240.8,12244554
2024-03-02,241.0,242.5,239.7,242.05,2057755
2024-03-04,242.05,248.0,241.75,245.35,10443351
2024-03-05,246.5,257.4,243.6,254.7,19847512
2024-03-06,255.5,258.25,244.0,251.45,13944430
2024-03-07,252.7,256.4,250.05,251.85,9134995
2024-03-11,251.85,251.85,243.0,244.35,6214148
2024-03-12,245.0,245.8,236.5,239.3,7220451
2024-03-13,237.5,239.5,218.5,220.9,15451474
2024-03-14,220.8,230.5,220.6,229.15,10335603
2024-03-15,229.15,235.0,224.15,234.1,17681404
2024-03-18,234.0,241.95,231.25,240.05,7234156
2024-03-19,239.0,243.75,234.6,235.65,5908875
2024-03-20,237.0,238.9,230.8,236.65,4421057
2024-03-21,240.0,243.2,239.15,242.4,5477627
2024-03-22,242.0,243.4,238.9,240.1,9338889
2024-03-26,240.8,241.8,236.35,237.55,10405333
2024-03-27,238.9,243.25,236.75,240.6,5949040
2024-03-28,241.0,244.0,239.75,240.65,6625066
2024-04-01,242.5,257.25,242.35,256.5,17331916
2024-04-02,255.95,270.95,254.85,270.3,27928247
2024-04-03,270.2,277.0,266.8,267.8,19966252
2024-04-04,275.05,281.5,270.7,278.95,24723528
2024-04-05,280.05,291.4,274.95,287.95,22256365
2024-04-08,292.9,294.35,286.1,292.3,16694867
2024-04-09,293.1,308.5,289.6,307.0,32086038
2024-04-10,316.0,338.65,314.7,330.8,75804480
2024-04-12,334.55,343.9,329.8,341.95,39995547
2024-04-15,343.0,352.95,329.25,339.55,44715399
2024-04-16,339.1,350.5,333.05,347.2,28859435
2024-04-18,354.05,363.75,352.05,357.5,35907412
2024-04-19,357.2,365.75,351.2,354.95,33307212
2024-04-22,361.15,362.15,342.4,350.0,19626373
2024-04-23,352.2,352.2,340.1,346.05,14434838
2024-04-24,345.0,355.6,345.0,352.45,11074253
2024-04-25,349.0,356.7,346.1,350.05,10150138
2024-04-26,355.9,371.95,355.0,365.55,24602811
2024-04-29,370.15,377.2,366.1,375.3,11228541
2024-04-30,378.1,378.95,365.0,366.85,11863519
2024-05-02,369.0,382.9,366.3,379.8,12788526
2024-05-03,384.0,389.0,373.4,384.65,14324148
2024-05-06,387.0,387.7,373.45,379.5,8108475
2024-05-07,379.5,380.5,361.0,365.0,8797213
2024-05-08,362.0,378.95,361.85,373.85,8831897
2024-05-09,375.8,377.4,362.0,363.65,6134997
2024-05-10,366.0,380.85,364.25,379.7,11076423
2024-05-13,381.55,384.5,367.1,383.05,10884162
2024-05-14,390.0,407.5,384.05,401.55,22195946
2024-05-15,407.0,418.0,403.75,406.4,20115791
2024-05-16,414.0,416.05,396.05,402.05,16155897
2024-05-17,405.0,414.0,401.6,411.65,13366917
2024-05-18,415.0,430.45,414.2,427.6,5346229
2024-05-21,440.0,462.9,432.0,460.7,34592201
2024-05-22,467.0,475.75,445.8,456.0,33932802
2024-05-23,449.0,449.1,430.8,441.7,25849836
2024-05-24,443.9,450.0,439.6,440.8,12873214
2024-05-27,441.9,448.5,436.85,439.7,11775106
2024-05-28,442.9,451.9,433.3,434.95,17930755
2024-05-29,433.8,442.3,431.15,434.25,11526945
