date,open,high,low,close,volume
2023-12-26,293.25,294.9,289.55,290.65,270238
2023-12-27,292.25,292.35,287.2,288.0,379768
2023-12-28,288.95,290.65,283.35,284.2,313944
2023-12-29,286.9,294.0,285.1,292.35,485620
2024-01-01,293.3,294.6,289.9,291.4,229908
2024-01-02,291.4,292.4,287.85,290.0,264805
2024-01-03,289.95,295.5,288.55,294.75,394304
2024-01-04,296.0,297.0,294.15,295.1,273672
2024-01-05,295.45,296.5,292.25,293.95,257381
2024-01-08,294.8,295.4,289.75,294.3,396290
2024-01-09,294.3,296.5,292.0,292.2,257272
2024-01-10,291.5,293.05,290.5,291.75,131061
2024-01-11,292.45,297.85,291.6,295.55,443394
2024-01-12,296.5,297.5,293.4,294.1,164416
2024-01-15,295.2,295.5,289.85,290.65,236708
2024-01-16,290.9,295.5,290.7,294.05,176983
2024-01-17,293.95,296.2,291.0,293.0,196000
2024-01-18,293.8,295.9,289.5,292.6,220141
2024-01-19,295.0,295.0,289.65,291.2,181883
2024-01-20,292.1,296.0,291.0,293.45,103672
2024-01-23,293.6,295.8,285.8,288.85,171916
2024-01-24,288.0,294.5,285.85,292.9,362406
2024-01-25,296.45,297.0,287.35,293.35,235015
2024-01-29,295.6,295.6,290.7,290.95,119883
2024-01-30,290.5,292.4,289.05,289.6,163541
2024-01-31,289.65,293.0,288.95,292.4,203518
2024-02-01,293.05,305.7,291.05,299.15,1854141
2024-02-02,303.9,316.0,297.7,310.05,2692855
2024-02-05,314.95,319.8,313.1,314.65,860036
2024-02-06,316.0,317.95,307.0,308.25,719025
2024-02-07,310.35,322.0,309.0,314.1,1479980
2024-02-08,318.05,319.0,309.0,310.7,354148
2024-02-09,312.1,313.9,304.1,311.4,450911
2024-02-12,314.45,315.4,305.0,307.0,274810
2024-02-13,307.25,310.85,302.0,307.85,290728
2024-02-14,302.0,314.7,301.95,309.75,316761
2024-02-15,313.5,321.9,309.05,316.3,1331774
2024-02-16,320.0,320.0,310.0,311.15,466816
2024-02-19,312.75,317.85,312.35,314.35,287351
2024-02-20,315.0,323.45,311.3,313.3,348832
2024-02-21,314.85,320.7,310.3,312.75,951817
