date,open,high,low,close,volume
2023-12-26,412.0,427.3,410.75,419.4,1528910
2023-12-27,422.0,424.55,408.35,417.45,999274
2023-12-28,418.95,420.4,408.9,411.9,849667
2023-12-29,411.9,431.75,408.35,424.35,3091408
2024-01-01,428.95,474.2,427.05,469.7,6942255
2024-01-02,472.4,486.7,462.2,484.25,4162769
2024-01-03,486.0,508.0,476.35,494.35,3696298
2024-01-04,495.0,505.0,489.15,493.45,1729342
2024-01-05,496.0,497.0,481.0,486.8,1173848
2024-01-08,486.05,487.9,456.4,459.9,1398603
2024-01-09,462.0,478.5,462.0,469.25,893196
2024-01-10,468.8,474.55,456.95,461.5,801892
2024-01-11,462.9,469.95,460.5,466.15,529658
2024-01-12,466.15,477.95,462.75,466.35,875032
2024-01-15,468.75,470.15,455.15,458.9,781657
2024-01-16,457.1,458.9,432.35,441.8,1359605
2024-01-17,435.0,442.7,419.8,424.45,745510
2024-01-18,426.9,460.0,402.65,456.6,2058276
2024-01-19,460.3,461.75,446.25,452.85,623915
2024-01-20,456.0,456.0,445.0,448.8,528569
2024-01-23,448.1,451.95,415.3,422.85,928710
2024-01-24,425.0,454.2,420.95,448.05,821845
2024-01-25,447.0,456.5,436.3,453.95,768695
2024-01-29,455.7,473.9,453.55,457.05,1096384
2024-01-30,460.05,463.75,442.5,445.35,594294
2024-01-31,448.0,470.1,445.3,460.25,1003094
2024-02-01,460.25,460.25,449.0,450.1,453120
2024-02-02,453.0,457.95,440.1,443.45,455263
2024-02-05,444.0,453.0,436.55,440.9,623599
2024-02-06,446.1,474.95,445.8,458.1,1734864
2024-02-07,460.2,465.0,445.8,455.75,586381
2024-02-08,459.6,490.0,459.6,468.7,3157138
2024-02-09,472.5,478.95,449.1,458.55,1221755
2024-02-12,461.7,470.35,420.0,434.3,1060981
2024-02-13,434.3,440.8,421.2,435.3,712352
2024-02-14,428.3,458.0,421.0,448.55,2023117
2024-02-15,442.95,456.8,441.1,444.25,624835
2024-02-16,446.7,503.5,445.9,487.2,5518508
2024-02-19,492.0,558.3,490.7,551.65,7747431
2024-02-20,553.0,589.8,533.75,578.65,5401529
2024-02-21,580.0,582.2,557.0,562.9,1486456
2024-02-22,564.0,577.15,545.2,567.15,1286391
2024-02-23,570.5,595.0,562.55,568.4,1455415
2024-02-26,570.2,619.0,554.65,610.5,2983059
2024-02-27,614.8,624.95,595.55,602.35,1568854
2024-02-28,601.95,605.8,566.45,582.5,1568796
2024-02-29,575.0,613.6,566.6,604.15,1552849
2024-03-01,605.0,630.0,605.0,613.75,1273130
2024-03-02,618.35,619.5,606.0,610.7,194571
2024-03-04,611.05,613.9,584.25,591.45,694863
2024-03-05,579.5,587.5,570.0,580.9,435808
2024-03-06,580.0,580.8,551.85,560.95,442715
2024-03-07,554.6,574.95,551.0,554.1,195541
2024-03-11,560.0,575.9,560.0,565.2,263138
2024-03-12,570.5,575.5,536.95,551.3,459734
2024-03-13,552.0,563.0,523.75,523.75,513135
2024-03-14,516.85,535.0,497.6,520.45,421440
2024-03-15,520.0,534.6,494.45,508.15,430125
2024-03-18,502.1,533.55,502.1,533.55,284495
2024-03-19,543.9,555.0,540.0,551.4,328482
2024-03-20,559.0,560.0,525.2,546.15,233673
2024-03-21,570.0,570.0,545.0,547.0,255298
2024-03-22,545.0,554.0,534.9,544.95,253266
2024-03-26,549.9,553.15,521.5,531.3,294119
2024-03-27,546.0,557.85,546.0,557.85,549325
2024-03-28,578.0,585.7,565.2,585.7,682740
2024-04-01,613.0,613.0,586.1,598.7,398433
2024-04-02,598.7,610.0,582.25,598.4,188155
2024-04-03,598.0,607.1,584.85,587.3,237224
2024-04-04,583.0,599.0,580.0,584.7,159751
2024-04-05,583.0,595.0,578.0,584.7,173697
2024-04-08,584.0,590.0,570.1,573.6,182545
2024-04-09,579.5,600.0,570.0,592.55,210169
2024-04-10,592.0,592.0,571.05,574.3,200229
2024-04-12,578.95,584.95,551.0,555.4,232172
