date,open,high,low,close,volume
2023-12-26,622.7,626.25,612.7,619.15,1352026
2023-12-27,621.0,644.0,619.3,627.25,3151200
2023-12-28,631.6,631.95,613.4,620.05,1171054
2023-12-29,623.0,624.3,606.85,610.65,1288502
2024-01-01,613.4,626.65,605.15,607.2,1269873
2024-01-02,610.6,614.25,587.0,591.7,1627720
2024-01-03,592.95,596.4,571.05,577.75,1868440
2024-01-04,582.0,589.0,571.4,584.7,2356075
2024-01-05,586.55,595.0,577.1,583.85,1184596
2024-01-08,586.15,590.0,571.5,573.2,729154
2024-01-09,578.4,585.65,560.0,562.0,1898648
2024-01-10,563.95,582.1,560.35,565.0,1495212
2024-01-11,568.05,574.0,561.0,563.15,989599
2024-01-12,569.0,587.05,566.25,569.75,2645387
2024-01-15,579.0,596.65,578.15,583.0,2141163
2024-01-16,585.25,585.55,565.0,572.95,1042281
2024-01-17,566.95,579.9,560.9,575.7,986550
2024-01-18,575.7,575.7,548.0,557.05,1560624
2024-01-19,562.4,570.7,554.0,557.85,1027908
2024-01-20,560.8,565.75,558.9,561.65,357992
2024-01-23,562.0,573.0,541.0,544.2,2033183
2024-01-24,549.4,572.0,548.3,569.95,1400404
2024-01-25,574.85,579.65,567.0,575.95,870449
2024-01-29,582.0,584.4,565.0,570.6,841293
2024-01-30,570.6,576.95,561.3,566.1,760595
2024-01-31,569.8,578.0,563.05,574.25,819183
2024-02-01,570.05,574.0,563.3,566.6,775514
2024-02-02,571.0,574.95,559.0,560.95,782580
2024-02-05,562.45,570.0,560.0,564.4,584942
2024-02-06,564.8,604.0,564.4,592.15,4594128
2024-02-07,600.1,604.0,582.5,591.75,1377771
2024-02-08,593.05,594.9,579.5,582.2,681785
2024-02-09,582.2,584.8,555.0,564.7,1045958
2024-02-12,567.95,574.5,535.0,539.5,1095517
2024-02-13,537.85,541.1,521.2,525.0,1498364
2024-02-14,525.0,534.45,519.05,520.0,865263
2024-02-15,525.2,541.3,525.05,532.0,603140
2024-02-16,537.3,539.55,531.05,535.9,533431
2024-02-19,537.5,541.15,527.2,532.85,647968
2024-02-20,534.5,536.0,525.0,527.85,538820
2024-02-21,531.85,534.95,522.8,528.2,539306
2024-02-22,531.85,537.0,527.55,529.35,578322
2024-02-23,530.5,539.8,525.65,537.75,1229770
2024-02-26,538.0,540.2,530.3,532.15,414739
2024-02-27,535.0,547.35,528.9,545.1,864765
2024-02-28,547.25,553.95,538.15,544.25,1042518
2024-02-29,544.2,555.0,540.1,549.6,784335
2024-03-01,553.0,557.7,542.0,544.35,379961
2024-03-02,547.35,552.8,545.95,549.95,44793
2024-03-04,554.7,565.0,545.5,557.2,958732
2024-03-05,555.0,557.2,536.25,543.0,1175793
2024-03-06,539.05,567.0,528.7,563.5,1554356
2024-03-07,567.0,596.0,554.3,591.0,2892318
2024-03-11,594.0,594.95,570.95,574.25,995925
2024-03-12,574.25,584.1,555.55,564.15,1217880
2024-03-13,563.0,563.25,515.0,525.2,1345464
2024-03-14,523.95,557.0,516.0,551.95,738682
2024-03-15,551.05,562.7,545.15,554.15,702722
2024-03-18,551.5,604.25,548.7,583.55,6076286
2024-03-19,584.9,584.9,563.0,578.3,1378417
2024-03-20,578.3,584.25,569.15,576.2,938581
2024-03-21,587.8,595.1,580.05,591.2,1879577
2024-03-22,584.15,591.4,578.6,590.3,942129
2024-03-26,590.0,607.85,587.15,600.35,1653802
2024-03-27,606.2,609.45,594.35,606.8,1081187
2024-03-28,613.0,622.0,597.8,606.75,1446556
2024-04-01,605.0,619.0,602.0,610.1,953277
2024-04-02,610.0,612.4,599.55,601.75,842185
2024-04-03,601.75,629.0,598.35,619.35,1751540
2024-04-04,620.0,637.0,620.0,627.25,1561560
2024-04-05,625.1,636.5,620.55,633.0,1043224
2024-04-08,638.4,646.45,611.45,615.25,1015355
2024-04-09,618.5,621.9,601.0,606.45,829986
2024-04-10,610.0,614.5,602.0,611.05,392850
2024-04-12,608.5,619.45,604.0,608.65,576272
2024-04-15,600.55,604.05,579.95,591.15,566051
2024-04-16,587.95,607.4,582.6,591.1,891413
2024-04-18,592.3,603.0,575.0,579.35,474367
2024-04-19,565.05,581.95,565.05,575.45,365792
2024-04-22,587.0,592.75,569.8,573.3,567626
2024-04-23,574.6,579.75,569.0,571.6,377045
2024-04-24,574.7,584.0,573.05,581.05,330685
2024-04-25,581.1,583.35,571.5,574.7,415059
2024-04-26,595.0,643.7,585.2,620.75,14962926
2024-04-29,621.1,630.55,608.3,612.25,1494300
2024-04-30,615.05,638.7,605.6,613.25,2736791
2024-05-02,614.8,630.0,611.55,626.65,1297525
2024-05-03,630.0,662.65,626.35,636.2,2769630
2024-05-06,642.6,642.6,614.4,629.35,874171
2024-05-07,629.9,629.9,598.35,609.9,891523
2024-05-08,609.9,610.0,597.0,603.5,507721
2024-05-09,603.5,606.0,574.8,580.5,885740
2024-05-10,584.6,610.0,572.6,603.45,975704
2024-05-13,605.0,612.4,588.05,608.15,593353
2024-05-14,609.95,611.65,596.35,603.95,529865
2024-05-15,607.0,633.0,606.0,623.0,1312823
2024-05-16,629.75,658.0,627.35,640.15,2598575
2024-05-17,637.0,637.55,612.5,616.5,1116442
2024-05-18,619.8,626.7,619.8,623.25,83599
2024-05-21,625.0,625.0,602.7,605.45,695906
2024-05-22,609.9,625.3,602.25,621.05,1268953
2024-05-23,621.0,630.0,619.9,622.95,662018
2024-05-24,625.4,632.95,620.05,623.7,372605
2024-05-27,627.0,630.0,622.0,623.55,330026
2024-05-28,624.0,650.3,614.8,623.25,1683057
2024-05-29,623.0,642.0,617.25,626.1,825892
2024-05-30,626.1,642.0,620.85,625.05,797232
2024-05-31,626.0,629.5,603.05,610.1,1043405
2024-06-03,629.55,630.0,600.0,601.25,1658679
2024-06-04,602.85,604.95,530.25,576.4,1048690
2024-06-05,580.95,613.95,580.0,606.05,866641
2024-06-06,615.0,675.0,613.95,667.75,2984627
2024-06-07,675.0,696.9,667.8,673.15,3539729
2024-06-10,673.15,699.0,660.0,688.4,1886440
2024-06-11,688.4,721.65,676.0,692.2,2530830
2024-06-12,697.95,718.0,693.0,699.45,1374199
2024-06-13,707.1,723.0,697.05,715.85,1490080
2024-06-14,719.7,721.8,694.1,696.45,838693
2024-06-18,700.55,711.5,689.55,702.4,876393
2024-06-19,706.0,731.9,692.55,711.4,1422015
2024-06-20,715.0,724.0,705.0,720.9,740475
2024-06-21,730.0,782.5,728.5,752.05,4173169
2024-06-24,752.05,764.65,747.0,753.5,855635
2024-06-25,754.0,762.0,748.8,751.3,441114
2024-06-26,760.3,769.0,748.0,751.25,695251
2024-06-27,752.05,757.3,739.2,743.0,865815
2024-06-28,744.7,750.95,735.95,747.35,522382
2024-07-01,746.05,766.0,738.0,754.95,715813
2024-07-02,760.0,767.8,746.9,751.4,660914
2024-07-03,754.0,754.95,738.3,745.05,475872
2024-07-04,753.0,769.45,743.0,752.3,931344
2024-07-05,758.0,759.5,732.0,737.2,718141
2024-07-08,744.5,744.6,722.6,734.35,979753
2024-07-09,735.5,748.0,724.55,726.35,534732
2024-07-10,727.95,738.0,714.85,734.7,619778
2024-07-11,737.85,737.85,714.45,718.05,604530
2024-07-12,728.45,788.0,720.55,769.7,5502711
2024-07-15,778.0,839.5,770.1,786.9,7353619
2024-07-16,788.55,803.75,775.1,779.2,1169899
2024-07-18,790.0,801.85,772.0,790.3,2679955
2024-07-19,798.2,800.7,742.45,747.55,1675559
2024-07-22,742.0,759.5,732.25,748.55,748743
2024-07-23,740.0,787.15,701.15,758.95,3988863
2024-07-24,760.0,782.85,750.75,767.05,830737
2024-07-25,754.55,778.0,754.1,773.6,527939
2024-07-26,773.6,826.0,773.6,808.85,4148620
2024-07-29,815.0,817.25,803.1,812.7,1016925
2024-07-30,810.0,812.65,799.15,810.0,508483
2024-07-31,809.95,815.5,790.0,793.35,930935
2024-08-01,797.9,812.0,775.0,776.85,1095180
2024-08-02,765.0,779.7,750.55,762.4,1352152
2024-08-05,739.75,752.15,722.75,727.75,640236
2024-08-06,735.05,763.7,731.0,734.65,1154781
2024-08-07,746.05,752.95,732.55,745.25,349119
2024-08-08,749.75,761.15,739.65,753.05,464099
2024-08-09,761.0,777.85,757.55,772.35,429951
2024-08-12,780.7,785.0,765.1,767.15,357844
2024-08-13,766.95,766.95,744.15,748.25,501864
2024-08-14,752.0,753.15,731.8,740.35,619702
2024-08-16,747.0,805.0,747.0,797.6,4344166
2024-08-19,801.6,813.9,780.0,782.55,2138159
2024-08-20,790.0,811.6,783.0,790.75,961249
2024-08-21,793.0,805.1,788.5,800.55,464425
2024-08-22,813.5,824.8,781.3,786.5,1364423
2024-08-23,785.0,787.5,773.05,775.8,405748
2024-08-26,783.55,796.0,768.0,772.95,431973
2024-08-27,772.95,782.25,766.25,775.8,470072
2024-08-28,775.8,792.95,761.8,778.0,873504
2024-08-29,776.1,786.0,770.05,773.1,259644
2024-08-30,774.5,784.8,760.0,767.9,505350
2024-09-02,774.0,797.0,770.2,789.8,807566
2024-09-03,791.85,803.0,783.95,794.7,483590
2024-09-04,784.0,796.15,781.0,790.5,393160
2024-09-05,795.0,810.0,786.45,798.6,594657
2024-09-06,798.5,814.8,775.0,778.6,771824
2024-09-09,777.75,777.75,755.3,764.45,419878
2024-09-10,766.2,796.1,766.2,792.6,445523
2024-09-11,793.0,807.75,761.45,766.1,894510
2024-09-12,774.0,778.8,759.0,770.4,387816
2024-09-13,778.0,794.0,770.05,789.85,750612
2024-09-16,793.95,797.7,768.3,773.65,349950
2024-09-17,778.5,784.55,767.4,769.2,308667
2024-09-18,771.45,772.15,738.0,744.6,893464
2024-09-19,755.0,761.2,713.15,724.6,795146
2024-09-20,733.9,745.0,718.7,724.1,640787
2024-09-23,737.3,737.3,716.15,719.9,402766
2024-09-24,720.0,726.4,691.0,710.25,2103532
2024-09-25,710.25,715.0,680.0,682.7,933910
2024-09-26,688.0,692.25,673.45,685.0,868856
2024-09-27,693.95,703.3,674.25,676.7,2199235
2024-09-30,675.0,685.0,665.05,675.35,951560
2024-10-01,679.45,682.45,659.6,678.75,1196173
2024-10-03,664.95,682.85,660.0,667.35,788793
2024-10-04,660.0,686.1,660.0,674.15,748609
2024-10-07,684.1,684.15,661.8,667.7,608540
2024-10-08,663.3,683.65,663.3,681.65,458164
2024-10-09,689.75,694.05,677.35,687.9,403272
2024-10-10,690.0,695.0,683.15,688.05,282712
2024-10-11,687.55,708.95,684.3,694.95,619590
2024-10-14,699.0,726.0,689.7,722.45,1400313
2024-10-15,724.45,725.6,705.3,708.35,651845
2024-10-16,706.9,709.3,692.1,701.8,454397
2024-10-17,702.1,704.95,691.0,695.1,279865
2024-10-18,690.05,696.0,675.0,691.55,350811
2024-10-21,695.0,699.3,679.4,682.1,249134
2024-10-22,683.05,684.75,649.2,656.05,631291
