date,open,high,low,close,volume
2023-12-26,758.45,782.0,747.0,771.8,295803
2023-12-27,779.0,810.35,775.0,810.15,953498
2023-12-28,823.5,831.0,797.0,806.35,425606
2023-12-29,806.35,810.0,781.0,794.6,120453
2024-01-01,814.0,814.0,784.0,789.95,138452
2024-01-02,789.95,799.0,760.0,777.65,177257
2024-01-03,775.0,780.1,765.0,773.6,75974
2024-01-04,779.0,789.0,765.05,769.3,139788
2024-01-05,777.0,783.0,765.5,768.3,130505
2024-01-08,787.85,787.85,764.5,766.3,98743
2024-01-09,766.3,777.95,760.0,762.75,89006
2024-01-10,766.0,768.0,750.0,755.65,129643
2024-01-11,759.05,765.0,750.0,762.7,102630
2024-01-12,767.95,784.45,766.0,770.25,111947
2024-01-15,782.1,782.1,756.85,761.85,192290
2024-01-16,765.25,791.4,761.6,772.75,261353
2024-01-17,761.0,782.8,760.0,767.3,170165
2024-01-18,767.0,768.8,730.0,754.5,168588
2024-01-19,755.5,759.5,745.0,748.05,93543
2024-01-20,753.0,756.4,739.05,749.3,106910
2024-01-23,750.0,750.0,711.85,711.85,373792
2024-01-24,710.0,730.0,688.05,706.2,336968
2024-01-25,723.0,729.7,712.0,726.0,159330
2024-01-29,762.3,762.3,762.3,762.3,62316
2024-01-30,800.4,800.4,800.4,800.4,98636
2024-01-31,840.4,840.4,820.0,840.4,711307
2024-02-01,867.7,882.4,831.1,880.8,1918409
2024-02-02,894.0,898.0,837.0,849.4,309517
2024-02-05,862.0,867.0,830.0,837.75,204545
2024-02-06,849.0,849.0,824.75,827.5,196737
2024-02-07,831.0,850.5,820.0,834.7,174851
2024-02-08,846.0,849.0,821.0,835.1,136748
2024-02-09,854.55,854.55,803.0,827.2,167403
2024-02-12,849.1,865.0,810.0,817.15,279383
2024-02-13,818.1,839.5,777.0,831.85,213828
2024-02-14,815.05,835.1,810.0,826.4,126792
2024-02-15,829.0,848.5,825.05,829.65,169731
2024-02-16,844.0,844.0,795.0,810.4,407695
2024-02-19,810.4,827.15,803.3,805.65,165428
2024-02-20,830.0,834.8,807.0,814.6,255312
2024-02-21,829.95,829.95,800.0,806.45,482342
2024-02-22,818.4,829.95,802.8,805.5,205188
2024-02-23,809.75,813.85,800.05,801.4,204190
2024-02-26,814.35,818.8,804.0,809.0,268475
2024-02-27,815.7,844.0,810.0,835.55,261706
2024-02-28,850.0,860.55,812.0,833.05,373336
2024-02-29,836.95,874.7,812.8,865.85,397052
2024-03-01,882.0,909.1,878.0,909.1,851812
2024-03-02,954.55,954.55,936.55,954.55,315045
2024-03-04,975.9,999.65,945.6,964.35,1104880
2024-03-05,973.4,987.4,919.0,933.8,468881
2024-03-06,956.95,956.95,887.15,903.45,386547
2024-03-07,912.0,948.6,906.95,948.6,301907
2024-03-11,940.0,944.0,909.0,914.75,300737
2024-03-12,919.0,920.0,869.05,898.2,455276
2024-03-13,898.2,907.0,853.3,853.3,318416
2024-03-14,814.5,872.35,814.5,866.9,344972
2024-03-15,870.0,879.65,836.95,855.15,210732
2024-03-18,855.95,897.9,855.95,897.9,379018
2024-03-19,901.0,924.8,876.0,900.95,351124
2024-03-20,909.0,919.0,880.0,902.15,209688
2024-03-21,906.0,917.7,893.0,897.0,143280
2024-03-22,908.95,908.95,872.0,883.0,178760
2024-03-26,883.0,904.9,882.0,889.75,172156
2024-03-27,882.0,934.2,882.0,934.2,327729
2024-03-28,946.2,980.9,941.95,956.5,545471
2024-04-01,980.0,980.0,939.0,945.6,238829
2024-04-02,962.0,992.85,951.0,992.85,612084
2024-04-03,992.0,1042.45,982.05,1012.35,928286
2024-04-04,1039.95,1059.35,990.0,1035.55,399829
2024-04-05,1040.0,1047.25,1025.0,1039.1,155110
2024-04-08,1056.95,1056.95,1023.5,1027.65,154534
2024-04-09,1031.0,1044.0,1008.0,1013.0,116850
2024-04-10,1012.55,1022.95,995.0,1002.35,113993
2024-04-12,1002.95,1018.45,990.5,993.75,98342
