symbol,days_of_data,date_from,date_to,avg_volume,avg_close
IDEA,337,2023-12-26,2025-05-06,634832337.4362018,11.849584569732944
YESBANK,337,2023-12-26,2025-05-06,184695747.88724035,21.996231454005926
SUZLON,337,2023-12-26,2025-05-06,62152688.81602374,56.08356083086052
NHPC,337,2023-12-26,2025-05-06,59197385.83976261,88.21258160237386
ETERNAL,337,2023-12-26,2025-05-06,57921990.40652819,217.10397626112763
OLAELEC,182,2024-08-09,2025-05-06,57594606.65934066,80.51560439560437
IRFC,337,2023-12-26,2025-05-06,50627417.45994065,151.30667655786345
JPPOWER,337,2023-12-26,2025-05-06,49612492.038575664,17.44356083086053
TATASTEEL,337,2023-12-26,2025-05-06,43456343.58456973,149.2371513353116
PNB,337,2023-12-26,2025-05-06,41393391.213649854,110.66091988130559
RPOWER,337,2023-12-26,2025-05-06,40470957.90207715,33.8266765578635
NMDC,337,2023-12-26,2025-05-06,38759531.483679526,71.87281899109792
IDFCFIRSTB,337,2023-12-26,2025-05-06,36386761.985163204,72.26777448071223
VMM,93,2024-12-18,2025-05-06,34416173.65591398,106.93784946236559
CANBK,337,2023-12-26,2025-05-06,32700430.997032642,103.57902077151337
NBCC,337,2023-12-26,2025-05-06,32589100.608308606,95.20210682492583
IRB,337,2023-12-26,2025-05-06,32574119.448071215,57.78827893175071
SAIL,337,2023-12-26,2025-05-06,30294262.62908012,128.66976261127581
BEL,337,2023-12-26,2025-05-06,28187583.302670624,265.76465875370917
GMRAIRPORT,337,2023-12-26,2025-05-06,27889065.727002967,84.3751335311573
IREDA,337,2023-12-26,2025-05-06,27550117.207715135,188.63032640949558
HFCL,337,2023-12-26,2025-05-06,26713062.56676558,109.13320474777463
JIOFIN,337,2023-12-26,2025-05-06,25296859.183976263,305.99258160237395
BAJAJHFL,157,2024-09-16,2025-05-06,24213122.86624204,127.98375796178351
IOC,337,2023-12-26,2025-05-06,23133199.84866469,150.15065281899103
MAHABANK,337,2023-12-26,2025-05-06,23113669.480712168,56.96501483679526
IFCI,337,2023-12-26,2025-05-06,23017060.75667656,55.01718100890206
BHEL,337,2023-12-26,2025-05-06,22706335.50445104,247.36735905044512
SJVN,337,2023-12-26,2025-05-06,21824448.548961423,117.21388724035612
NATIONALUM,337,2023-12-26,2025-05-06,20969454.62017804,181.90347181008912
MOTHERSON,337,2023-12-26,2025-05-06,20901484.46290801,151.14685459940648
RVNL,337,2023-12-26,2025-05-06,20032552.569732938,389.28635014836794
GAIL,337,2023-12-26,2025-05-06,19178650.489614245,189.074955489614
NTPCGREEN,108,2024-11-27,2025-05-06,18840569.046296295,112.8151851851852
ZEEL,337,2023-12-26,2025-05-06,18654317.673590504,141.69620178041535
HDFCBANK,337,2023-12-26,2025-05-06,18558471.19287834,1644.7770029673577
SAGILITY,117,2024-11-12,2025-05-06,18490678.170940172,43.468034188034174
ONGC,337,2023-12-26,2025-05-06,17938635.418397628,262.50982195845677
IOB,337,2023-12-26,2025-05-06,17753696.044510387,55.63729970326412
ITC,337,2023-12-26,2025-05-06,17033731.47477745,403.2532640949554
HUDCO,337,2023-12-26,2025-05-06,16923531.31454006,224.25780415430256
INDUSTOWER,337,2023-12-26,2025-05-06,16776328.928783383,338.3959940652822
POWERGRID,337,2023-12-26,2025-05-06,16406951.899109792,302.8675074183978
NTPC,337,2023-12-26,2025-05-06,16226381.563798219,358.8980712166169
SBIN,337,2023-12-26,2025-05-06,15977500.753709199,779.7087537091991
UNIONBANK,337,2023-12-26,2025-05-06,15724896.379821958,127.97026706231458
BANKBARODA,337,2023-12-26,2025-05-06,15694706.12759644,243.82175074183962
TRIDENT,337,2023-12-26,2025-05-06,15660747.866468843,35.700000000000024
WIPRO,337,2023-12-26,2025-05-06,15536692.777448071,259.24462908011856
UCOBANK,337,2023-12-26,2025-05-06,15040065.332344214,47.45715133531159
BPCL,337,2023-12-26,2025-05-06,14756092.498516321,293.57166172106827
CENTRALBK,337,2023-12-26,2025-05-06,14634194.519287834,56.24287833827899
SWIGGY,116,2024-11-13,2025-05-06,14607084.02586207,420.14698275862065
ALOKINDS,337,2023-12-26,2025-05-06,14344671.741839763,24.192403560830872
ICICIBANK,337,2023-12-26,2025-05-06,14217818.210682493,1196.006231454007
RENUKA,337,2023-12-26,2025-05-06,13974411.267062314,42.052789317507376
BANDHANBNK,337,2023-12-26,2025-05-06,13329015.522255193,183.7672700296737
IRCON,337,2023-12-26,2025-05-06,13260564.21958457,220.8595252225518
VEDL,337,2023-12-26,2025-05-06,13137098.970326409,394.5103857566764
RELIANCE,337,2023-12-26,2025-05-06,13106446.587537091,1380.2218100890204
TATAPOWER,337,2023-12-26,2025-05-06,13064140.661721068,404.27062314540063
TATAMOTORS,337,2023-12-26,2025-05-06,13059123.691394659,872.9353115727
PFC,337,2023-12-26,2025-05-06,12887650.881305639,449.9623145400595
IDBI,337,2023-12-26,2025-05-06,12745044.53115727,83.04718100890213
RECLTD,337,2023-12-26,2025-05-06,12418363.376854599,497.1418397626114
BANKINDIA,337,2023-12-26,2025-05-06,12313136.035608308,118.28142433234424
FEDERALBNK,337,2023-12-26,2025-05-06,12265487.774480712,179.8189317507418
ASHOKLEY,337,2023-12-26,2025-05-06,11966279.430267062,210.57370919881305
IEX,337,2023-12-26,2025-05-06,11775824.020771513,171.3720178041543
TTML,337,2023-12-26,2025-05-06,10965445.664688427,78.90314540059349
MANAPPURAM,337,2023-12-26,2025-05-06,10389755.376854599,190.70391691394664
COALINDIA,337,2023-12-26,2025-05-06,10264534.706231454,427.8864985163205
INOXWIND,337,2023-12-26,2025-05-06,9758261.382789318,167.7645994065281
HINDPETRO,337,2023-12-26,2025-05-06,9692963.94065282,352.68916913946595
AXISBANK,337,2023-12-26,2025-05-06,9467479.703264095,1124.1774480712172
NSLNISP,337,2023-12-26,2025-05-06,9263188.65875371,50.98718100890207
RBLBANK,337,2023-12-26,2025-05-06,9083965.388724037,213.94679525222548
SAMMAANCAP,337,2023-12-26,2025-05-06,8798755.091988131,157.6667359050446
HINDCOPPER,337,2023-12-26,2025-05-06,8749085.724035608,286.80115727002953
JMFINANCIL,337,2023-12-26,2025-05-06,8709655.504451038,105.72724035608307
NYKAA,337,2023-12-26,2025-05-06,8263518.038575668,175.6877151335311
PAYTM,337,2023-12-26,2025-05-06,7560300.940652819,630.9390207715134
MSUMI,337,2023-12-26,2025-05-06,7285233.913946588,64.17854599406525
ENGINERSIN,337,2023-12-26,2025-05-06,7284836.611275964,207.05409495548963
SHRIRAMFIN,337,2023-12-26,2025-05-06,7260630.03264095,564.0112759643914
KALYANKJIL,337,2023-12-26,2025-05-06,7219241.540059348,520.8240356083083
PPLPHARMA,337,2023-12-26,2025-05-06,7202162.56379822,189.70670623145404
INFY,337,2023-12-26,2025-05-06,7083958.916913946,1703.7264094955492
IGL,337,2023-12-26,2025-05-06,6885218.12462908,221.53985163204737
LTF,337,2023-12-26,2025-05-06,6854509.50148368,159.98216617210696
CESC,337,2023-12-26,2025-05-06,6827919.430267062,153.91703264094969
HINDALCO,337,2023-12-26,2025-05-06,6791706.278931751,634.5772997032645
CASTROLIND,337,2023-12-26,2025-05-06,6756598.121661721,212.1537982195844
MMTC,337,2023-12-26,2025-05-06,6516938.495548962,75.50047477744806
BHARTIARTL,337,2023-12-26,2025-05-06,6436279.878338279,1471.3584569732936
NCC,337,2023-12-26,2025-05-06,6370144.762611276,262.65359050445073
OIL,337,2023-12-26,2025-05-06,6348759.459940652,448.79732937685475
ADANIPOWER,337,2023-12-26,2025-05-06,6328840.694362018,588.9320474777446
RCF,337,2023-12-26,2025-05-06,6251404.49851632,163.2911275964392
VBL,337,2023-12-26,2025-05-06,6210829.5222551925,578.6146884273002
ABCAPITAL,337,2023-12-26,2025-05-06,6121149.115727003,198.11213649851626
INDUSINDBK,337,2023-12-26,2025-05-06,5853742.851632047,1261.695994065282
RTNINDIA,337,2023-12-26,2025-05-06,5669620.765578635,68.92545994065283
BIOCON,337,2023-12-26,2025-05-06,5626460.620178042,326.6094955489616
RAILTEL,337,2023-12-26,2025-05-06,5617706.12462908,399.6649851632045
MRPL,337,2023-12-26,2025-05-06,5615502.367952522,178.27866468842723
ITI,337,2023-12-26,2025-05-06,5484538.958456974,296.29988130563805
KOTAKBANK,337,2023-12-26,2025-05-06,5357128.919881306,1826.3816023738868
SCI,337,2023-12-26,2025-05-06,5219684.777448071,220.43997032640968
NLCINDIA,337,2023-12-26,2025-05-06,5037056.545994066,243.74905044510376
EXIDEIND,337,2023-12-26,2025-05-06,4920160.6676557865,422.183827893175
ABFRL,337,2023-12-26,2025-05-06,4900734.065281899,278.31795252225515
MAZDOCK,337,2023-12-26,2025-05-06,4871786.008902078,1917.3280415430268
FSL,337,2023-12-26,2025-05-06,4657514.931750742,280.5297922848664
PETRONET,337,2023-12-26,2025-05-06,4593957.738872403,306.8182492581604
LEMONTREE,337,2023-12-26,2025-05-06,4542181.459940652,135.99703264094956
RITES,337,2023-12-26,2025-05-06,4405648.49851632,305.3540652818991
HDFCLIFE,337,2023-12-26,2025-05-06,4299618.84272997,643.3912462908011
ADANIPORTS,337,2023-12-26,2025-05-06,4246700.403560831,1296.9965875370922
J&KBANK,337,2023-12-26,2025-05-06,4146872.955489614,112.78795252225521
NETWORK18,337,2023-12-26,2025-05-06,4115819.6320474776,79.60243323442134
JSWENERGY,337,2023-12-26,2025-05-06,3987504.93768546,597.8786350148368
DLF,337,2023-12-26,2025-05-06,3984273.0860534124,805.8178041543023
CDSL,337,2023-12-26,2025-05-06,3897412.415430267,1243.5001483679534
BLS,337,2023-12-26,2025-05-06,3869838.9198813057,379.83323442136515
CUB,337,2023-12-26,2025-05-06,3838339.1097922847,159.44305637982202
INDHOTEL,337,2023-12-26,2025-05-06,3832198.0356083084,665.4811572700296
IGIL,91,2024-12-20,2025-05-06,3816182.4615384615,437.8467032967033
PREMIERENE,166,2024-09-03,2025-05-06,3769140.198795181,1062.7159638554215
INDIACEM,337,2023-12-26,2025-05-06,3766302.931750742,293.5735608308606
NIVABUPA,115,2024-11-14,2025-05-06,3651094.0608695652,78.52686956521742
GPPL,337,2023-12-26,2025-05-06,3631101.955489614,187.50560830860516
